Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
N. Baier,Darmstadt 98,2,0,160,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
N. Aséko,Hannover 96,5,22,161,0,,0,0,0.0,,0.0,1,0,0,0,0,1,2,2,0,0,0,0,Midfielder
K. Affo,Fortuna Düsseldorf,11,8,162,0,,0,0,0.0,,0.0,1,0,0,0,0,2,2,1,1,1,0,0,Midfielder
TJT. Janisch,1. FC Nürnberg,20,1112,163,0,3.0,0,0,0.0,,0.0,35,23,10,2,0,74,536,434,50,5,2,4,Midfielder
M. Grüger,FC Schalke 04,31,1409,164,0,16.0,4,1,0.0,,0.0,22,10,15,5,6,34,769,669,78,18,1,13,Midfielder
H. Chakroun,Hannover 96,8,13,165,0,,0,0,0.0,,0.0,0,0,0,0,0,0,2,0,1,0,0,0,Midfielder
S. Suso,Fortuna Düsseldorf,4,1,166,0,,0,0,0.0,,0.0,0,0,0,0,0,1,4,4,0,0,1,1,Midfielder
L. Ben Farhat,Karlsruher SC,14,452,167,0,14.0,8,3,0.0,,0.0,5,1,3,7,3,26,66,45,3,1,3,6,Midfielder
M. Kritzer,Karlsruher SC,1,0,168,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
A. Røssing-Lelesiit,Hamburger SV,4,9,169,0,,0,0,0.0,,0.0,0,0,0,0,0,2,2,2,0,0,0,0,Midfielder
