Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
N. Serrano,Athletic Club,18,0,116,0.1618,0.0506,
U. González,Espanyol,27,0,1425,0.5469,0.8182,
A. Zakharyan,Real Sociedad,7,1,71,0.1954,0.1337,
A. Rebbach,Deportivo Alavés,18,0,383,0.1715,0.4186,
P. Torre,Mallorca,36,3,315,0.3702,1.2791,
P. Ibáñez,Deportivo Alavés,38,1,1307,1.5385,0.3356,
N. Williams,Athletic Club,29,5,1998,4.0242,4.1442,
R. Terrats,Espanyol,31,4,1374,2.1338,1.3975,
I. Akhomach,Rayo Vallecano,12,1,587,0.5706,1.684,
A. Güler,Real Madrid,38,3,1273,3.2328,4.4397,
A. Roca,Espanyol,35,0,1042,0.8718,1.0404,
G. Simeone,Atlético Madrid,38,2,1950,2.1998,4.6813,
Gavi,Barcelona,29,1,1104,0.8815,1.4903,
I. Muñoz,Osasuna,28,0,618,0.4339,0.6886,
H. Sotelo,Celta Vigo,36,0,1269,0.1928,1.8276,
J. Guerra,Valencia,37,3,2593,2.2084,3.2105,
W. Swedberg,Celta Vigo,33,4,1347,5.307,2.2394,
S. Altimira,Real Betis,38,0,1977,1.7528,1.1486,
P. Marín,Real Sociedad,34,1,1261,1.4196,0.7612,
M. Bueno,Sevilla,18,1,144,0.1534,0.0556,
P. Barrios,Atlético Madrid,31,1,2336,1.2941,2.0334,
DJD. Jiménez,Real Madrid,2,0,0,0,0,
J. Garcia,Osasuna,1,0,0,0,0,
F. López,Barcelona,31,6,1255,5.6664,4.2692,
M. Martín,Getafe,33,0,1761,1.7599,1.2173,
H. Álvarez,Celta Vigo,34,4,1570,2.4646,2.0593,
J. Llabrés,Mallorca,9,0,58,0.0477,0.1282,
J. El-Abdellaoui,Celta Vigo,7,0,0,0,0,
U. Gómez,Athletic Club,36,1,1277,1.8484,0.8257,
MRM. Román,Celta Vigo,4,0,0,0,0,
A. Osambela,Osasuna,4,0,0,0,0,
L. Yamal,Barcelona,35,9,2861,9.8122,11.6123,
Y. Enríquez,Deportivo Alavés,6,0,0,0,0,
P. Canales,Athletic Club,21,0,259,0.1898,0.2333,
M. Jauregizar,Athletic Club,36,2,2243,1.0798,1.1621,
E. Buján,Athletic Club,3,0,10,0,0,
M. Bernal,Barcelona,3,0,243,0.0672,0.0846,
OOso,Sevilla,4,0,0,0,0,
JSJ. Salas,Mallorca,15,0,44,0.0434,0.0843,
M. Domenech,Mallorca,22,0,305,0.6839,0.27,
LNL. Núñez,Valencia,1,0,0,0,0,
