Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
B. Prados,Athletic Club,775,640,50,0,9,1,1725,11,
A. Moleiro,Villarreal,993,828,40,1,32,6,2727,41,
J. Carreras,Espanyol,457,330,31,3,54,2,2191,24,
N. Serrano,Athletic Club,31,24,1,0,13,0,116,1,
U. González,Espanyol,443,344,35,2,4,1,1425,10,
A. Zakharyan,Real Sociedad,32,27,4,0,1,0,71,1,
A. Rebbach,Deportivo Alavés,99,69,9,0,17,0,383,6,
P. Torre,Mallorca,206,176,5,1,13,1,315,8,
P. Ibáñez,Deportivo Alavés,492,377,37,1,13,2,1307,6,
N. Williams,Athletic Club,580,460,25,5,108,6,1998,40,
R. Terrats,Espanyol,384,281,51,1,40,4,1374,17,
I. Akhomach,Rayo Vallecano,164,131,8,0,18,1,587,9,
A. Güler,Real Madrid,815,734,54,4,57,11,1273,40,
A. Roca,Espanyol,195,142,8,1,20,2,1042,7,
G. Simeone,Atlético Madrid,717,565,13,6,49,13,1950,25,
Gavi,Barcelona,799,727,30,1,9,2,1104,15,
I. Muñoz,Osasuna,295,236,31,1,7,1,618,6,
H. Sotelo,Celta Vigo,967,857,110,0,50,4,1269,19,
J. Guerra,Valencia,1252,1007,125,3,45,6,2593,23,
W. Swedberg,Celta Vigo,342,261,19,5,18,3,1347,16,
S. Altimira,Real Betis,1249,1120,71,1,5,2,1977,22,
P. Marín,Real Sociedad,453,372,26,2,12,3,1261,14,
M. Bueno,Sevilla,73,67,4,0,1,0,144,0,
P. Barrios,Atlético Madrid,1477,1289,104,4,26,6,2336,27,
DJD. Jiménez,Real Madrid,0,0,0,0,0,0,0,0,
J. Garcia,Osasuna,0,0,0,0,0,0,0,0,
F. López,Barcelona,621,535,35,5,47,8,1255,29,
M. Martín,Getafe,786,674,60,1,11,3,1761,12,
H. Álvarez,Celta Vigo,851,674,41,3,31,2,1570,19,
J. Llabrés,Mallorca,20,19,1,0,4,0,58,1,
J. El-Abdellaoui,Celta Vigo,0,0,0,0,0,0,0,0,
