Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
F. Valverde,Real Madrid,37,3032,1377,4,57.0,22,6,2.6593,2.66,3.1541,50,51,55,27,14,108,2162,1970,199,26,7,39,Midfielder
B. Díaz,Real Madrid,31,1405,1378,2,28.0,17,4,5.5139,5.293,2.257,25,2,4,3,6,86,638,564,16,8,4,23,Midfielder
Y. Herrera,Real Sociedad,30,2265,1379,3,39.0,14,4,3.6114,3.613,1.2407,66,49,31,52,6,203,1015,857,68,44,5,17,Midfielder
S. Comesaña,Villarreal,37,2581,1380,2,39.0,8,4,4.667,4.611,2.582,85,52,19,32,9,162,1350,1156,99,14,3,28,Midfielder
B. Méndez,Real Sociedad,32,1547,1381,2,28.0,9,3,3.5289,3.063,2.2614,24,15,7,19,6,101,745,614,45,52,2,23,Midfielder
A. Almeida,Valencia,36,1998,1382,4,18.0,5,0,1.2134,1.201,4.8878,48,12,8,5,6,113,861,763,54,67,4,43,Midfielder
L. De La Torre,Celta Vigo,4,11,1383,0,,0,0,0.0,,0.0,0,0,0,0,0,0,5,4,0,0,0,0,Midfielder
M. Roca,Real Betis,15,909,1384,2,12.0,4,2,1.0615,1.061,0.4992,20,12,14,5,4,34,526,461,54,10,2,12,Midfielder
A. Blanco,Deportivo Alavés,36,2738,1385,1,25.0,3,0,0.8322,0.828,1.7883,67,44,42,29,9,137,1234,998,163,29,2,15,Midfielder
S. Gómez,Real Sociedad,38,2743,1386,5,18.0,10,2,1.8865,1.917,7.5397,70,23,19,20,4,128,1154,976,82,231,15,57,Midfielder
A. Tchouaméni,Real Madrid,32,2692,1387,0,19.0,3,0,1.6516,1.653,0.9016,47,91,46,74,4,155,2004,1862,101,12,2,5,Midfielder
Ó. Mingueza,Celta Vigo,34,2741,1388,6,33.0,10,4,1.457,1.453,6.4282,38,36,22,11,11,105,1779,1439,205,139,12,35,Midfielder
R. Vargas,Sevilla,12,677,1389,1,17.0,5,2,1.9781,2.004,0.8762,7,10,3,7,5,35,201,148,19,37,1,13,Midfielder
C. Benavídez,Deportivo Alavés,31,515,1390,1,5.0,2,1,0.2645,0.249,0.618,19,12,8,8,0,37,228,160,49,1,2,3,Midfielder
C. Ejuke,Sevilla,29,969,1391,1,20.0,8,2,1.0784,1.078,1.1752,19,8,5,4,2,86,410,345,28,22,2,21,Midfielder
E. Expósito,Espanyol,24,1052,1392,2,18.0,6,0,1.071,0.998,2.385,23,21,15,11,3,71,413,299,63,66,8,28,Midfielder
P. Gueye,Villarreal,34,2232,1393,0,55.0,17,4,3.3149,3.376,2.1029,54,49,27,32,14,158,1111,906,164,20,2,17,Midfielder
T. Kubo,Real Sociedad,37,2382,1394,0,43.0,14,5,3.5584,3.386,3.7491,31,10,17,11,16,190,862,664,41,85,9,45,Midfielder
J. Puado,Espanyol,35,2987,1395,4,71.0,24,12,11.4759,7.695,2.0484,22,18,5,9,12,79,640,509,41,27,5,22,Midfielder
A. Guevara,Deportivo Alavés,38,1953,1396,1,12.0,3,0,0.8657,0.863,0.616,49,41,14,32,2,106,980,760,105,5,1,12,Midfielder
I. Palazón,Rayo Vallecano,35,2190,1397,4,61.0,18,4,4.6199,4.739,4.6941,22,13,8,18,21,118,888,740,62,111,8,48,Midfielder
J. de Frutos,Rayo Vallecano,36,2511,1398,3,52.0,19,6,6.3508,6.352,2.3221,37,15,19,15,11,117,577,426,25,69,8,32,Midfielder
Ó. Valentín,Rayo Vallecano,37,1845,1399,0,5.0,1,0,0.4318,0.431,1.0823,55,49,21,33,3,124,826,687,70,2,1,13,Midfielder
L. Rioja,Valencia,37,2866,1400,3,30.0,14,5,3.2384,1.675,5.6542,35,32,22,16,5,131,962,743,76,209,5,36,Midfielder
P. Díaz,Rayo Vallecano,38,1220,1401,0,32.0,8,3,2.3714,1.57,2.0734,23,5,7,5,10,54,518,436,41,42,3,26,Midfielder
A. Baena,Atlético Madrid,32,2602,1402,9,70.0,18,7,7.1752,6.338,12.5839,28,14,22,17,21,112,1043,772,124,207,21,98,Midfielder
P. Ismaël Ciss,Rayo Vallecano,36,2158,1403,1,21.0,6,4,1.9165,2.016,0.7766,49,58,40,49,5,136,1162,995,104,4,2,16,Midfielder
Á. Aguado,Espanyol,36,463,1404,1,10.0,1,0,0.5805,0.597,0.4058,5,5,4,3,5,21,232,186,29,12,2,4,Midfielder
R. Navarro,Athletic Club,25,1286,1405,0,18.0,6,1,1.9946,2.038,1.4649,30,8,19,5,4,91,434,347,24,29,4,13,Midfielder
L. Sučić,Real Sociedad,32,1811,1406,1,43.0,11,1,3.243,3.29,2.1645,25,15,15,26,18,91,857,724,56,18,7,25,Midfielder
A. Sánchez,Mallorca,36,1401,1407,0,17.0,2,0,1.0825,1.063,0.9335,28,30,18,7,6,59,472,360,72,33,0,5,Midfielder
Antony,Real Betis,17,1365,1408,2,43.0,17,5,2.8688,2.859,2.8953,25,6,10,5,13,81,707,594,30,40,8,38,Midfielder
L. Agoumé,Sevilla,36,2130,1409,3,10.0,2,1,0.8685,0.869,1.5713,70,40,41,42,3,140,1204,998,101,18,4,27,Midfielder
G. Valera,Valencia,16,142,1410,0,3.0,2,0,0.1329,0.133,0.0303,1,2,4,1,1,9,40,33,2,6,0,1,Midfielder
F. Pérez,Rayo Vallecano,31,604,1411,0,6.0,1,0,0.3138,0.314,1.5296,17,2,3,5,1,42,196,160,12,27,4,7,Midfielder
O. Sancet,Athletic Club,30,1626,1412,1,50.0,20,15,9.7292,7.311,1.4887,13,6,5,12,12,73,544,456,32,18,1,21,Midfielder
Á. Sola,Granada,35,1035,1413,1,15.0,2,0,0.965,0.967,0.7658,21,11,7,19,6,86,221,152,17,18,2,9,Midfielder
T. Buchanan,Villarreal,14,423,1414,2,7.0,2,1,0.9379,0.883,0.5199,10,1,1,3,2,43,121,99,5,16,1,5,Midfielder
E. Camavinga,Real Madrid,20,1096,1415,2,8.0,2,1,0.4366,0.436,0.7006,42,19,18,22,4,108,761,677,43,2,1,11,Midfielder
J. Moncayola,Osasuna,33,2112,1416,0,21.0,9,0,1.6771,1.588,4.6134,70,19,11,15,4,98,874,701,106,107,4,34,Midfielder
R. Moro,Osasuna,33,2346,1417,5,46.0,16,4,4.1736,4.118,5.4804,22,19,10,8,16,103,611,445,64,149,8,44,Midfielder
B. Turrientes,Real Sociedad,34,939,1418,0,7.0,2,0,0.5512,0.551,0.3672,15,13,5,10,1,61,432,398,34,19,1,3,Midfielder
A. Oroz,Osasuna,37,2981,1419,4,48.0,16,5,4.1606,3.549,3.4769,35,10,20,19,18,166,1086,912,59,29,6,41,Midfielder
S. Costa,Mallorca,32,2654,1420,2,30.0,8,0,1.8375,1.827,1.8829,88,82,33,72,8,233,1412,1152,139,21,3,15,Midfielder
R. Riquelme,Real Betis,35,522,1421,1,14.0,4,0,0.8606,0.91,0.7789,11,2,2,3,5,28,227,198,3,34,1,15,Midfielder
Johnny,Atlético Madrid,31,2143,1422,1,19.0,7,3,2.0338,2.033,0.7821,55,63,48,29,2,137,1103,949,66,3,2,9,Midfielder
J. Bellingham,Real Madrid,31,2494,1423,8,62.0,23,9,11.4952,9.929,4.4977,61,21,28,30,15,196,1509,1321,91,18,4,42,Midfielder
I. Losada,Real Betis,38,718,1424,0,8.0,3,1,1.527,1.629,0.7958,13,9,4,5,2,24,260,200,12,9,2,11,Midfielder
Pedri,Barcelona,37,2892,1425,5,25.0,11,4,2.1757,2.202,9.0021,61,12,26,7,6,159,2672,2379,207,58,14,70,Midfielder
P. Alemañ,Granada,2,0,1426,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
P. Fernández,Sevilla,37,1164,1427,1,19.0,4,1,2.4896,2.489,0.9236,16,4,8,9,9,61,339,278,16,10,2,12,Midfielder
D. López,Valencia,38,2760,1428,5,44.0,14,8,6.7,6.597,4.6581,31,13,16,14,13,101,840,636,32,67,11,38,Midfielder
M. Casadó,Barcelona,30,1623,1429,3,14.0,1,1,1.0592,1.058,1.7922,44,15,22,9,6,92,1355,1218,60,9,3,9,Midfielder
S. Carreira,Celta Vigo,32,1657,1430,4,13.0,3,0,0.5984,0.598,2.3644,28,29,17,3,6,52,708,556,67,41,4,16,Midfielder
J. Ander Olasagasti,Levante UD,38,852,1431,1,13.0,2,1,0.9196,0.933,0.6997,21,10,15,12,5,43,395,312,35,10,2,6,Midfielder
J. Sánchez,Sevilla,35,1731,1432,4,13.0,6,4,2.1458,2.147,1.6728,50,14,17,21,2,92,600,512,16,40,4,25,Midfielder
A. Ezzalzouli,Real Betis,33,1995,1433,2,62.0,26,2,7.7936,7.258,2.1116,37,11,7,26,10,147,691,525,22,49,2,28,Midfielder
B. Prados,Athletic Club,35,1725,1434,0,16.0,5,1,1.0136,1.016,1.3182,55,20,28,29,4,113,775,640,50,9,1,11,Midfielder
A. Moleiro,Villarreal,36,2727,1435,1,68.0,24,6,5.4807,5.607,3.6421,27,6,18,5,21,136,993,828,40,32,6,41,Midfielder
J. Carreras,Espanyol,37,2191,1436,3,40.0,11,3,2.5117,2.532,1.828,22,22,15,5,17,125,457,330,31,54,2,24,Midfielder
N. Serrano,Athletic Club,18,116,1437,0,5.0,1,0,0.1618,0.161,0.0506,1,1,1,0,3,6,31,24,1,13,0,1,Midfielder
U. González,Espanyol,27,1425,1438,2,4.0,2,0,0.5469,0.545,0.8182,46,36,8,21,1,83,443,344,35,4,1,10,Midfielder
A. Zakharyan,Real Sociedad,7,71,1439,0,4.0,2,1,0.1954,0.195,0.1337,1,0,1,0,0,2,32,27,4,1,0,1,Midfielder
