Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
Y. Álvarez,Athletic Club,30,1788,1161,0,9.0,2,1,0.4824,0.482,0.3898,24,125,34,51,1,94,1175,992,189,3,1,4,Defender
E. Cömert,Valencia,32,1789,1162,0,9.0,1,0,0.8824,0.882,0.077,25,73,24,21,2,64,915,805,115,0,0,0,Defender
É. Militão,Real Madrid,12,940,1163,1,10.0,3,1,0.6351,0.625,0.1607,19,34,12,21,3,53,706,634,84,2,1,6,Defender
J. Galán,Osasuna,36,1790,1164,3,9.0,0,0,0.2026,0.204,3.0621,51,42,12,25,2,139,800,683,49,57,8,15,Defender
J. Koundé,Barcelona,33,2606,1165,3,18.0,6,2,1.8102,1.908,3.7909,63,58,20,30,4,134,1806,1601,102,63,6,32,Defender
T. Lato,Mallorca,30,650,1166,0,,0,0,0.0,,0.7515,17,29,6,6,0,26,234,182,27,23,0,7,Defender
N. Molina,Atlético Madrid,36,1581,1167,3,9.0,1,0,0.799,0.8,1.9121,44,44,13,10,1,77,967,798,72,55,3,13,Defender
I. Zubeldia,Real Sociedad,29,2273,1168,0,12.0,4,0,0.7015,0.624,0.5526,34,98,31,65,2,116,1473,1280,164,1,0,4,Defender
Marcão,Sevilla,34,565,1169,0,,0,0,0.0,,0.0637,10,29,7,14,0,36,314,284,23,0,0,0,Defender
S. Van Der Heyden,Mallorca,15,101,1170,0,1.0,0,0,0.0323,0.032,0.1063,1,3,2,2,0,4,63,57,4,2,0,1,Defender
V. Rosier,Osasuna,34,2592,1171,2,14.0,4,1,0.9104,0.903,1.2384,72,131,52,27,4,139,955,770,119,39,1,11,Defender
A. Mumin,Rayo Vallecano,24,2020,1172,1,10.0,4,2,0.6087,0.608,0.0827,37,122,23,32,0,85,1075,899,159,6,0,1,Defender
F. García,Real Madrid,38,2189,1173,2,14.0,3,0,0.8669,0.873,2.2706,51,52,28,17,5,98,1314,1169,73,66,3,24,Defender
T. Correia,Valencia,11,771,1174,0,7.0,3,0,0.3208,0.322,0.7555,27,16,4,4,0,54,338,248,47,18,0,5,Defender
F. Calero,Espanyol,31,738,1175,0,2.0,1,1,0.2205,0.272,0.0673,18,47,16,13,0,38,374,321,57,2,0,3,Defender
A. Gorosabel,Athletic Club,37,1489,1176,2,2.0,1,0,0.3325,0.332,1.6699,47,57,18,20,0,78,664,556,33,41,4,15,Defender
J. Foyth,Villarreal,21,1526,1177,0,17.0,5,1,2.3872,2.419,0.8878,25,112,19,41,3,75,923,808,117,4,0,7,Defender
E. García,Barcelona,32,1575,1178,3,14.0,8,2,2.3181,2.318,1.643,38,40,14,27,3,78,1287,1189,50,7,2,7,Defender
M. Morey,Mallorca,34,763,1179,0,3.0,1,0,0.438,0.414,0.2052,22,29,15,8,2,49,318,261,26,16,1,4,Defender
F. Garcés,Deportivo Alavés,18,676,1180,0,5.0,1,0,0.098,0.099,0.7106,6,51,5,13,3,21,195,150,39,1,1,3,Defender
A. Ruibal,Real Betis,31,1312,1181,3,16.0,4,1,0.8984,0.912,1.9017,32,35,14,7,5,71,494,419,50,32,5,21,Defender
M. Kumbulla,Mallorca,35,2975,1182,0,16.0,5,3,1.8488,1.809,0.2899,51,221,34,73,5,155,1394,1183,209,6,1,1,Defender
N. Tenaglia,Deportivo Alavés,35,2923,1183,1,27.0,9,2,2.1801,2.189,1.3813,96,111,47,47,4,204,973,724,144,85,5,19,Defender
J. Cruz,Osasuna,37,1514,1184,0,4.0,0,0,0.125,0.126,0.1808,26,62,9,9,0,38,517,426,50,11,0,2,Defender
A. Catena,Osasuna,36,3076,1185,3,20.0,5,1,2.2722,2.27,1.8369,46,219,35,68,3,135,1510,1271,292,2,4,10,Defender
J. Areso,Athletic Club,37,3088,1186,3,8.0,0,0,0.2216,0.219,3.1251,53,86,8,27,2,124,1038,840,83,169,4,30,Defender
