Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
L. Agoumé,Sevilla,3,4,10.0,2,1,2130,0.8685,0.869,1.5713,
G. Valera,Valencia,0,0,3.0,2,0,142,0.1329,0.133,0.0303,
F. Pérez,Rayo Vallecano,0,4,6.0,1,0,604,0.3138,0.314,1.5296,
O. Sancet,Athletic Club,1,1,50.0,20,15,1626,9.7292,7.311,1.4887,
Á. Sola,Granada,1,2,15.0,2,0,1035,0.965,0.967,0.7658,
T. Buchanan,Villarreal,2,1,7.0,2,1,423,0.9379,0.883,0.5199,
E. Camavinga,Real Madrid,2,1,8.0,2,1,1096,0.4366,0.436,0.7006,
J. Moncayola,Osasuna,0,4,21.0,9,0,2112,1.6771,1.588,4.6134,
R. Moro,Osasuna,5,8,46.0,16,4,2346,4.1736,4.118,5.4804,
B. Turrientes,Real Sociedad,0,1,7.0,2,0,939,0.5512,0.551,0.3672,
A. Oroz,Osasuna,4,6,48.0,16,5,2981,4.1606,3.549,3.4769,
S. Costa,Mallorca,2,3,30.0,8,0,2654,1.8375,1.827,1.8829,
R. Riquelme,Real Betis,1,1,14.0,4,0,522,0.8606,0.91,0.7789,
Johnny,Atlético Madrid,1,2,19.0,7,3,2143,2.0338,2.033,0.7821,
J. Bellingham,Real Madrid,8,4,62.0,23,9,2494,11.4952,9.929,4.4977,
I. Losada,Real Betis,0,2,8.0,3,1,718,1.527,1.629,0.7958,
Pedri,Barcelona,5,14,25.0,11,4,2892,2.1757,2.202,9.0021,
P. Alemañ,Granada,0,0,,0,0,0,0.0,,0.0,
P. Fernández,Sevilla,1,2,19.0,4,1,1164,2.4896,2.489,0.9236,
D. López,Valencia,5,11,44.0,14,8,2760,6.7,6.597,4.6581,
M. Casadó,Barcelona,3,3,14.0,1,1,1623,1.0592,1.058,1.7922,
S. Carreira,Celta Vigo,4,4,13.0,3,0,1657,0.5984,0.598,2.3644,
J. Ander Olasagasti,Levante UD,1,2,13.0,2,1,852,0.9196,0.933,0.6997,
J. Sánchez,Sevilla,4,4,13.0,6,4,1731,2.1458,2.147,1.6728,
A. Ezzalzouli,Real Betis,2,2,62.0,26,2,1995,7.7936,7.258,2.1116,
B. Prados,Athletic Club,0,1,16.0,5,1,1725,1.0136,1.016,1.3182,
A. Moleiro,Villarreal,1,6,68.0,24,6,2727,5.4807,5.607,3.6421,
