Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
P. Ibáñez,Deportivo Alavés,20,20,18,19,4,1307,81,
N. Williams,Athletic Club,28,4,7,11,14,1998,142,
R. Terrats,Espanyol,23,17,10,19,4,1374,90,
I. Akhomach,Rayo Vallecano,12,9,3,7,3,587,58,
A. Güler,Real Madrid,30,8,7,8,14,1273,88,
A. Roca,Espanyol,21,10,8,6,4,1042,79,
G. Simeone,Atlético Madrid,27,17,14,12,3,1950,110,
Gavi,Barcelona,30,5,10,21,7,1104,86,
I. Muñoz,Osasuna,5,11,4,11,4,618,31,
H. Sotelo,Celta Vigo,28,8,5,2,2,1269,47,
J. Guerra,Valencia,50,47,20,17,20,2593,126,
W. Swedberg,Celta Vigo,23,9,3,8,8,1347,73,
S. Altimira,Real Betis,61,42,24,13,6,1977,121,
P. Marín,Real Sociedad,25,14,5,18,7,1261,79,
M. Bueno,Sevilla,4,2,0,0,0,144,8,
P. Barrios,Atlético Madrid,46,30,34,35,3,2336,133,
DJD. Jiménez,Real Madrid,0,0,0,0,0,0,0,
J. Garcia,Osasuna,0,0,0,0,0,0,0,
F. López,Barcelona,19,2,5,9,11,1255,74,
M. Martín,Getafe,62,46,21,31,8,1761,156,
H. Álvarez,Celta Vigo,26,19,8,8,9,1570,80,
J. Llabrés,Mallorca,0,0,0,1,1,58,2,
J. El-Abdellaoui,Celta Vigo,0,0,0,0,0,0,0,
U. Gómez,Athletic Club,12,14,2,29,6,1277,71,
MRM. Román,Celta Vigo,0,0,0,0,0,0,0,
A. Osambela,Osasuna,0,0,0,0,0,0,0,
L. Yamal,Barcelona,42,3,16,1,46,2861,264,
Y. Enríquez,Deportivo Alavés,0,0,0,0,0,0,0,
P. Canales,Athletic Club,3,2,1,0,1,259,10,
M. Jauregizar,Athletic Club,84,34,29,35,5,2243,180,
E. Buján,Athletic Club,0,0,0,0,0,10,1,
M. Bernal,Barcelona,8,4,1,1,1,243,14,
OOso,Sevilla,0,0,0,0,0,0,0,
JSJ. Salas,Mallorca,3,0,0,1,2,44,7,
M. Domenech,Mallorca,4,2,0,8,3,305,14,
LNL. Núñez,Valencia,0,0,0,0,0,0,0,
