Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
R. Pasveer,Heracles Almelo,28,2160,942,1,,0,0,0.0,,0.0633,1,16,1,4,0,8,941,731,383,0,1,2,67,Goalkeeper
P. Tytoń,FC Twente,32,480,943,0,,0,0,0.0,,0.0,0,10,0,0,0,1,174,119,86,0,0,0,18,Goalkeeper
J. Zoet,AZ Alkmaar,31,540,944,0,,0,0,0.0,,0.0148,1,4,0,0,0,1,213,124,131,0,0,0,10,Goalkeeper
L. Unnerstall,FC Twente,31,2790,945,0,,0,0,0.0,,0.0831,0,28,0,5,0,9,918,667,378,0,0,1,64,Goalkeeper
H. Verhulst,AZ Alkmaar,36,0,946,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
L. Koopmans,Fortuna Sittard,32,540,947,0,,0,0,0.0,,0.0318,0,2,0,1,0,1,172,73,153,0,0,0,20,Goalkeeper
M. Branderhorst,FC Utrecht,28,2520,948,0,,0,0,0.0,,0.0947,1,21,1,15,0,19,692,331,522,0,0,0,93,Goalkeeper
N. Olij,PSV Eindhoven,34,3060,949,1,,0,0,0.0,,0.7306,0,28,0,18,0,20,1350,1019,617,0,3,6,111,Goalkeeper
M. Brouwer,FC Utrecht,33,270,950,0,,0,0,0.0,,0.0,0,6,0,0,0,0,95,50,70,0,0,0,9,Goalkeeper
T. Wellenreuther,Feyenoord,33,2610,951,1,,0,0,0.0,,0.0053,0,35,0,4,0,8,1095,857,403,0,2,3,71,Goalkeeper
A. Noppert,SC Heerenveen,33,1366,952,0,,0,0,0.0,,0.0055,0,15,0,3,0,5,572,385,272,0,0,0,44,Goalkeeper
T. Didillon,Willem II Tilburg,38,3450,953,0,,0,0,0.0,,0.0239,0,34,0,7,0,11,1146,708,723,0,0,0,140,Goalkeeper
H. Jurjus,FC Groningen,34,180,954,0,,0,0,0.0,,0.0082,0,4,0,0,0,0,82,55,40,0,0,0,4,Goalkeeper
V. Barkas,FC Utrecht,31,2790,955,0,,0,0,0.0,,0.0355,1,19,0,7,0,12,958,677,469,0,0,0,99,Goalkeeper
Y. van Osch,RKC Waalwijk,10,270,956,0,,0,0,0.0,,0.0052,0,6,0,0,0,0,127,85,76,0,0,0,17,Goalkeeper
J. Drommel,Sparta Rotterdam,34,45,957,0,,0,0,0.0,,0.0,0,0,0,0,0,0,25,18,14,0,0,0,0,Goalkeeper
E. Vaessen,FC Groningen,33,2880,958,0,1.0,0,0,0.0148,0.015,0.0994,5,21,0,9,0,26,1167,650,788,0,0,1,94,Goalkeeper
