Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
VZV. Zagaritis,SC Heerenveen,2,6,15.0,0,0,2960,0.7831,0.762,5.2148,
M. Bruns,FC Twente,1,1,6.0,1,0,1848,0.8197,0.82,0.4717,
M. Dekker,AZ Alkmaar,0,1,,0,0,678,0.0,,0.5443,
A. Gaaei,AFC Ajax,4,11,19.0,8,3,1790,1.6973,1.723,4.0837,
T. Blokzijl,FC Groningen,0,0,4.0,3,1,2241,1.0297,1.029,0.2473,
T. Beelen,Feyenoord,1,0,10.0,3,1,1695,0.8208,0.821,0.8464,
H. Petrov,SC Heerenveen,0,0,4.0,4,1,449,0.2591,0.276,0.0838,
M. Benita,Heracles Almelo,1,1,11.0,6,0,2044,0.3406,0.341,1.3063,
MWM. Willemsen,SC Heerenveen,0,0,,0,0,90,0.0,,0.0,
A. Adelgaard,Go Ahead Eagles,1,1,5.0,1,0,1224,0.291,0.29,1.2611,
W. Goes,AZ Alkmaar,4,2,8.0,4,1,2191,0.4455,0.445,1.0894,
T. Galvez,SC Cambuur,0,0,1.0,0,0,94,0.0,,0.0,
O. Braude,SC Heerenveen,2,1,19.0,2,0,2708,0.4227,0.414,1.4792,
D. van der Haar,PEC Zwolle,2,6,8.0,3,2,1835,1.019,1.026,2.4979,
M. Kleijn,Sparta Rotterdam,1,0,,0,0,279,0.0,,0.1296,
F. Al Mazyani,RKC Waalwijk,1,3,13.0,1,0,1634,0.4068,0.408,1.1027,
COC. Olde Keizer,Vitesse,0,0,,0,0,0,0.0,,0.0,
EDE. Dijkstra,AZ Alkmaar,0,0,,0,0,92,0.0,,0.149,
M. Rots,FC Twente,0,2,17.0,2,1,1318,1.0776,1.026,0.8169,
G. Read,Feyenoord,6,7,11.0,5,2,1983,1.8976,1.982,3.7616,
DJD. Janse,FC Groningen,0,0,1.0,0,0,329,0.019,0.019,0.6664,
W. Prins,FC Groningen,1,1,7.0,3,1,1673,0.5681,0.568,1.3171,
MDM. De Ligt,Sparta Rotterdam,0,0,,0,0,0,0.0,,0.0,
ABA. Bouwman,AFC Ajax,0,0,,0,0,0,0.0,,0.0,
T. Mercera,FC Groningen,0,0,,0,0,113,0.0,,0.0,
DRD. Ruward,PEC Zwolle,0,0,,0,0,0,0.0,,0.0,
S. Bouland,FC Groningen,0,0,,0,0,53,0.0,,0.0426,
M. Young,Sparta Rotterdam,0,1,5.0,1,0,2175,0.7543,0.656,0.5718,
J. Tijink,Heracles Almelo,0,0,,0,0,0,0.0,,0.0,
RNR. Nijstad,FC Twente,0,0,,0,0,0,0.0,,0.0,
J. Mathijsen,Willem II Tilburg,0,0,4.0,1,1,256,0.0,,0.0,
RBR. Bouw,SC Heerenveen,0,0,,0,0,13,0.0,,0.0,
ABA. Bah,Fortuna Sittard,0,0,,0,0,0,0.0,,0.0,
