Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
T. Booth,FC Twente,22,537,1028,1,3.0,0,0,0.0789,0.078,0.1106,11,8,3,9,1,36,120,74,9,24,2,7,Midfielder
M. Suray,Go Ahead Eagles,34,1468,1029,0,31.0,7,3,1.9981,2.004,2.2353,32,17,5,3,10,60,563,439,35,31,2,36,Midfielder
J. Kitolano,Sparta Rotterdam,27,1595,1030,2,24.0,6,0,1.963,1.973,1.7586,31,21,14,13,6,76,615,506,30,14,1,20,Midfielder
P. Koopmeiners,AZ Alkmaar,36,2973,1031,7,25.0,5,1,1.4639,1.378,5.4249,114,81,39,62,7,202,1758,1441,180,126,9,48,Midfielder
M. Ihattaren,Fortuna Sittard,27,1563,1032,4,55.0,21,4,3.984,2.395,5.3783,20,22,8,4,24,64,703,558,66,122,9,38,Midfielder
J. Žambůrek,Heracles Almelo,24,934,1033,1,1.0,0,0,0.1221,0.093,0.9301,28,28,15,8,1,54,368,297,36,36,1,9,Midfielder
E. Linthorst,Go Ahead Eagles,33,2522,1034,3,15.0,9,3,0.9373,0.909,2.8973,26,61,20,15,4,62,1504,1296,167,18,3,24,Midfielder
C. Bozdoğan,FC Utrecht,11,406,1035,1,6.0,1,1,0.6433,0.643,0.0524,10,7,4,11,4,32,160,127,8,3,0,2,Midfielder
S. Steijn,Feyenoord,35,2982,1036,7,98.0,48,27,17.0347,11.698,5.5969,13,25,10,19,25,66,862,664,66,30,6,39,Midfielder
N. Ünüvar,Heracles Almelo,15,391,1037,1,17.0,2,0,1.0969,1.23,1.136,9,2,1,3,6,30,120,94,7,17,1,8,Midfielder
D. Proper,NEC Nijmegen,26,2161,1038,1,17.0,4,0,1.4094,1.422,1.3785,47,54,21,28,8,103,1092,939,98,4,1,14,Midfielder
M. Kjølø,FC Twente,36,1048,1039,1,9.0,0,0,0.2034,0.207,0.9683,19,20,12,11,1,42,692,565,78,5,1,9,Midfielder
D. Cleonise,RKC Waalwijk,28,1102,1040,2,16.0,4,1,0.5949,0.611,2.8878,6,7,3,4,10,34,196,152,7,43,7,20,Midfielder
S. Mijnans,AZ Alkmaar,30,2412,1041,7,70.0,28,6,7.91,7.978,5.7228,43,19,19,21,20,109,1120,905,113,95,12,46,Midfielder
R. Zerrouki,FC Twente,27,1096,1042,2,7.0,4,1,0.7568,0.757,1.1487,25,14,17,16,1,55,755,661,76,20,2,12,Midfielder
