Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. Breum,Go Ahead Eagles,5,6,59.0,22,10,2062,6.269,6.288,5.5989,
S. Ltaief,FC Twente,2,2,30.0,9,1,1195,1.4643,1.441,3.8773,
JBJ. Baas,Sparta Rotterdam,2,1,4.0,2,0,850,0.1478,0.148,1.3662,
RKR. Kuijpers,RKC Waalwijk,0,0,9.0,1,0,230,0.8037,0.804,0.3324,
É. Michut,Fortuna Sittard,0,0,13.0,4,1,1041,1.6174,1.664,0.4498,
D. Rots,FC Twente,6,10,50.0,18,3,2299,4.9688,4.987,4.8406,
Z. Buurmeester,PEC Zwolle,1,2,20.0,8,4,1215,2.9362,2.937,2.0013,
I. Saibari,PSV Eindhoven,11,7,84.0,37,11,1786,11.2613,11.252,5.691,
C. Twigt,Willem II Tilburg,0,2,2.0,0,0,458,0.0437,0.044,1.1797,
S. Resink,FC Groningen,2,3,42.0,17,5,2370,2.9979,2.815,1.5212,
O. Targhalline,Feyenoord,0,0,1.0,0,0,292,0.0298,0.03,0.3958,
DAD. Al-Saed,SC Heerenveen,0,0,1.0,1,0,199,0.0207,0.021,0.4496,
Y. Cathline,FC Utrecht,5,4,64.0,16,6,1957,3.2866,3.309,3.8066,
L. Valente,Feyenoord,7,13,51.0,23,2,2608,3.1114,3.18,4.7574,
T. de Jonge,FC Groningen,1,1,15.0,3,1,1279,0.981,0.984,0.9972,
PBP. Brittijn,Fortuna Sittard,0,0,,0,0,21,0.0,,0.0,
L. Smans,SC Heerenveen,2,9,46.0,20,3,2388,3.771,4.216,4.9924,
D. Weidmann,FC Twente,0,0,7.0,0,0,798,0.2144,0.214,0.3386,
R. Daal,AZ Alkmaar,0,0,,0,0,69,0.0,,0.0323,
D. Kwakman,AZ Alkmaar,0,1,15.0,5,2,1194,1.2473,1.298,0.512,
Y. Taha,FC Groningen,0,0,6.0,3,1,319,0.204,0.207,0.5172,
LSL. Sauer,Feyenoord,2,3,67.0,21,7,2493,5.2031,4.725,3.5823,
K. Hlynsson,AFC Ajax,3,2,32.0,14,3,1407,3.6849,3.504,1.7652,
T. van de Loo,RKC Waalwijk,1,3,15.0,3,2,1828,1.4242,1.543,1.4942,
K. Sano,NEC Nijmegen,2,0,30.0,7,3,2078,1.4389,1.535,1.6459,
S. Scheperman,Heracles Almelo,1,0,10.0,4,1,1639,1.1373,1.168,0.4545,
RER. El Arguioui,FC Utrecht,0,0,,0,0,0,0.0,,0.0,
S. 't Zand,Feyenoord,0,2,25.0,13,1,1058,2.334,2.322,0.9966,
R. van Bommel,PSV Eindhoven,5,5,52.0,21,4,1673,6.0699,6.108,2.8882,
TvT. van Gilst,Heracles Almelo,0,0,1.0,0,0,83,0.0,,0.0,
JSJ. Slory,Go Ahead Eagles,0,0,5.0,2,2,262,0.0,,0.0,
J. Faberski,PEC Zwolle,0,0,,0,0,0,0.0,,0.0,
TKT. Kraaijeveld,Feyenoord,0,0,,0,0,0,0.0,,0.0,
