Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
K. Hlynsson,AFC Ajax,486,380,42,3,45,2,1407,20,
T. van de Loo,RKC Waalwijk,645,519,72,1,6,3,1828,18,
K. Sano,NEC Nijmegen,1016,866,99,2,17,0,2078,20,
S. Scheperman,Heracles Almelo,719,611,62,1,3,0,1639,7,
RER. El Arguioui,FC Utrecht,0,0,0,0,0,0,0,0,
S. 't Zand,Feyenoord,358,292,21,0,8,2,1058,14,
R. van Bommel,PSV Eindhoven,619,465,44,5,22,5,1673,30,
TvT. van Gilst,Heracles Almelo,27,20,2,0,4,0,83,0,
JSJ. Slory,Go Ahead Eagles,50,33,6,0,14,0,262,1,
J. Faberski,PEC Zwolle,0,0,0,0,0,0,0,0,
TKT. Kraaijeveld,Feyenoord,0,0,0,0,0,0,0,0,
R. Weijenberg,Go Ahead Eagles,169,142,16,0,0,1,344,5,
T. Schenkhuizen,Fortuna Sittard,6,4,0,0,0,0,5,0,
D. Mathieu,Willem II Tilburg,0,0,0,0,0,0,0,0,
S. Ouaissa,NEC Nijmegen,451,351,32,2,45,7,1970,25,
RBR. Bounida,AFC Ajax,9,8,0,0,0,0,13,0,
K. Smit,AZ Alkmaar,568,483,21,0,6,3,1152,24,
A. Lachkar,Willem II Tilburg,1109,947,96,2,21,0,2130,14,
J. Schreuders,FC Groningen,566,449,38,1,19,2,1960,22,
G. Zechiël,Feyenoord,596,510,42,3,3,4,1282,18,
G. Besselink,Willem II Tilburg,132,103,16,0,1,0,389,1,
T. Land,FC Groningen,45,42,0,0,0,0,41,0,
M. Witteveen,RKC Waalwijk,0,0,0,0,0,0,0,0,
ASA. Sliti,Feyenoord,22,16,0,0,2,0,90,3,
N. Fichtinger,PEC Zwolle,372,288,34,0,4,0,851,10,
HKH. Kuster,RKC Waalwijk,5,4,0,0,0,0,21,0,
IHI. Henstra,SC Cambuur,3,3,0,0,0,0,15,0,
J. Mokio,AFC Ajax,204,172,16,0,5,0,505,4,
