Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
R. van Bommel,PSV Eindhoven,42,4,16,21,9,1673,109,
TvT. van Gilst,Heracles Almelo,2,2,0,2,0,83,4,
JSJ. Slory,Go Ahead Eagles,9,0,2,2,2,262,21,
J. Faberski,PEC Zwolle,0,0,0,0,0,0,0,
TKT. Kraaijeveld,Feyenoord,0,0,0,0,0,0,0,
R. Weijenberg,Go Ahead Eagles,17,13,2,5,1,344,31,
T. Schenkhuizen,Fortuna Sittard,0,0,0,0,0,5,0,
D. Mathieu,Willem II Tilburg,0,0,0,0,0,0,0,
S. Ouaissa,NEC Nijmegen,22,14,16,14,6,1970,95,
RBR. Bounida,AFC Ajax,0,0,0,1,0,13,1,
K. Smit,AZ Alkmaar,28,23,6,7,13,1152,61,
A. Lachkar,Willem II Tilburg,65,58,24,44,5,2130,137,
J. Schreuders,FC Groningen,35,7,10,5,6,1960,72,
G. Zechiël,Feyenoord,29,38,19,9,9,1282,69,
G. Besselink,Willem II Tilburg,7,10,3,8,0,389,20,
T. Land,FC Groningen,0,0,0,0,1,41,2,
M. Witteveen,RKC Waalwijk,0,0,0,0,0,0,0,
ASA. Sliti,Feyenoord,1,0,1,2,0,90,4,
N. Fichtinger,PEC Zwolle,49,27,9,14,4,851,69,
HKH. Kuster,RKC Waalwijk,0,0,0,0,0,21,1,
IHI. Henstra,SC Cambuur,1,0,0,0,1,15,1,
J. Mokio,AFC Ajax,13,9,5,5,2,505,30,
KBK. Boogaard,AZ Alkmaar,0,0,0,0,0,0,0,
M. Linday,SC Heerenveen,37,20,15,11,3,1357,79,
AOA. Oufkir,AZ Alkmaar,3,1,1,0,0,50,5,
IAI. Ahmed,SC Heerenveen,1,0,0,0,0,8,1,
SSS. Steur,AFC Ajax,0,2,0,0,0,10,1,
D. van der Werff,FC Groningen,0,0,0,0,1,22,0,
GRG. Reiziger,PEC Zwolle,0,0,0,0,0,0,0,
L. Tunjić,Fortuna Sittard,7,4,4,7,2,481,25,
HKH. Korkmazyürek,Fortuna Sittard,0,0,0,0,1,4,0,
T. van den Elshout,Feyenoord,0,0,0,0,0,0,0,
UvU. van Aalst,Willem II Tilburg,1,1,0,2,1,37,5,
DVD. Visser,SC Cambuur,0,0,0,0,0,0,0,
ABA. Burak Sayin,Fortuna Sittard,0,0,0,0,0,3,0,
