Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
R. Lavia,Chelsea,20,0,801,0.2565,0.3595,
J. Devenny,Crystal Palace,30,1,519,0.7637,0.394,
T. Collyer,Manchester United,17,0,175,0.1719,0.3791,
T. Iroegbunam,Everton,22,0,582,0.2376,0.1218,
A. Fatawu Issahaku,Leicester City,11,0,577,0.4181,1.4162,
A. Wharton,Crystal Palace,21,0,1336,0.3707,2.1727,
F. Buonanotte,Brighton & Hove Albion,34,5,1529,3.9282,2.2547,
V. Barco,Brighton & Hove Albion,1,0,0,0,0,
K. Mainoo,Manchester United,26,0,1656,0.7711,1.7823,
M. Fernandes,West Ham United,36,2,2919,4.0104,3.6275,
T. Dibling,Everton,34,2,1883,2.5584,1.4483,
K. Rodney,Crystal Palace,3,0,0,0,0,
C. Baleba,Brighton & Hove Albion,36,3,2670,3.081,1.2019,
L. Bergvall,Tottenham Hotspur,34,0,1219,0.697,0.8095,
P. Dorgu,Manchester United,12,0,842,0.4306,1.2657,
Y. Minteh,Brighton & Hove Albion,33,6,1854,4.1104,5.0135,
L. Miley,Newcastle United,26,1,324,0.545,0.288,
M. Golding,Leicester City,2,0,1,0,0,
T. George,Everton,19,1,184,0.1989,0.2602,
C. Olusesi,Tottenham Hotspur,14,0,0,0,0,
S. Amo-Ameyaw,Southampton,9,0,26,0.0204,0.1269,
T. Nyoni,Liverpool,4,0,0,0,0,
C. Echeverri,Manchester City,1,0,11,0,0.0067,
H. Armstrong,Everton,23,0,47,0.3658,0,
HHH. Howell,Brighton & Hove Albion,5,0,14,0,0.0504,
