Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
Y. Mosquera,Wolverhampton,11,14,10,11,1,442,29,
J. Wilson-Esbrand,Manchester City,0,0,0,0,0,0,0,
N. Patterson,Everton,11,5,2,1,0,345,22,
C. Riad,Crystal Palace,5,0,2,2,0,90,7,
L. Bogarde,Aston Villa,14,12,1,6,0,481,33,
V. Kristiansen,Leicester City,87,66,42,23,0,2489,135,
M. Kerkez,Liverpool,52,99,45,28,8,3342,152,
L. Hall,Newcastle United,58,51,18,30,4,2192,120,
R. Lewis,Manchester City,30,40,13,6,2,1897,79,
TFT. Fredricson,Manchester United,5,11,1,7,0,166,15,
J. Hinshelwood,Brighton & Hove Albion,27,37,16,20,4,1854,58,
R. McConville,Norwich City,0,0,0,0,0,0,0,
A. Gray,Tottenham Hotspur,16,47,19,11,0,1764,45,
N. O'Reilly,Manchester City,9,10,4,6,2,532,28,
L. Yoro,Manchester United,29,43,18,16,2,1169,49,
A. Khusanov,Manchester City,5,28,3,7,1,504,14,
B. Nelson,Leicester City,0,0,0,0,0,0,0,
J. Acheampong,Chelsea,2,1,1,1,0,181,5,
M. Lewis-Skelly,Arsenal,22,24,7,11,2,1377,92,
A. Heaven,Manchester United,4,8,4,2,1,171,12,
A. García,Aston Villa,9,8,2,0,1,325,14,
C. Kporha,Crystal Palace,2,1,0,0,0,19,2,
OAO. Aluko,Leicester City,1,0,0,0,0,1,1,
P. Lima,Wolverhampton,1,4,2,0,0,70,3,
