Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
E. Cashin,Brighton & Hove Albion,11,0,19,0,0,
C. Bradley,Liverpool,25,0,756,0.7002,1.4172,
Welington,Southampton,13,0,486,0.0369,0.1504,
R. Edwards,Southampton,3,0,12,0,0,
Y. Mosquera,Wolverhampton,5,0,442,0.3495,0.0234,
J. Wilson-Esbrand,Manchester City,2,0,0,0,0,
N. Patterson,Everton,28,0,345,0.0728,0.376,
C. Riad,Crystal Palace,6,0,90,0,0.0204,
L. Bogarde,Aston Villa,22,0,481,0.041,0.1244,
V. Kristiansen,Leicester City,35,0,2489,0.1288,1.7199,
M. Kerkez,Liverpool,38,2,3342,0.5867,2.571,
L. Hall,Newcastle United,27,0,2192,0.4125,3.7247,
R. Lewis,Manchester City,36,1,1897,1.3773,1.0127,
TFT. Fredricson,Manchester United,8,0,166,0,0.018,
J. Hinshelwood,Brighton & Hove Albion,26,5,1854,2.6746,1.4976,
R. McConville,Norwich City,8,0,0,0,0,
A. Gray,Tottenham Hotspur,38,0,1764,0.021,0.1717,
N. O'Reilly,Manchester City,30,2,532,1.2854,0.6765,
L. Yoro,Manchester United,21,0,1169,0.7048,0.1456,
A. Khusanov,Manchester City,11,0,504,0.0192,0.0849,
B. Nelson,Leicester City,1,0,0,0,0,
J. Acheampong,Chelsea,23,0,181,0.2215,0.0101,
M. Lewis-Skelly,Arsenal,32,1,1377,0.1643,0.4782,
A. Heaven,Manchester United,11,0,171,0.1349,0.0091,
A. García,Aston Villa,16,0,325,0.0414,0.4441,
C. Kporha,Crystal Palace,27,0,19,0,0.0162,
OAO. Aluko,Leicester City,2,0,1,0,0,
P. Lima,Wolverhampton,21,0,70,0.0551,0.0875,
