Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
Á. Pastor,Málaga,39,2330,1521,0,10.0,2,1,0.0,,0.0,41,141,35,68,4,143,1283,1072,203,4,1,6,Defender
R. Pulido,Leganés,37,1504,1522,0,10.0,3,1,0.0,,0.0,20,131,26,37,3,76,654,569,84,1,0,1,Defender
Y. Kembo,UD Ibiza,39,0,1523,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Á. Centelles,Almería,44,2606,1524,4,19.0,5,2,0.0,,0.0,38,60,31,18,3,90,1146,922,227,130,10,47,Defender
D. Sánchez,Málaga,39,1971,1525,3,16.0,6,2,0.0,,0.0,41,50,21,15,1,86,746,622,81,85,2,24,Defender
Á. Carrillo,Huesca,39,1302,1526,0,4.0,1,1,0.0,,0.0,19,64,18,17,1,46,677,577,111,3,0,2,Defender
A. Arambarri,Eibar,37,2415,1527,0,7.0,1,0,0.0,,0.0,28,159,26,51,1,85,1436,1247,180,1,0,1,Defender
E. Clemente,Las Palmas,39,1317,1528,0,9.0,3,1,0.0,,0.0,33,63,28,17,3,67,670,496,131,15,1,10,Defender
P. García,Sporting Gijón,41,1899,1529,6,11.0,0,0,0.0,,0.0,38,54,28,26,4,71,775,586,129,152,4,32,Defender
T. Abad,Huesca,41,1773,1530,0,4.0,0,0,0.0,,0.0,31,68,18,23,1,66,830,726,65,51,1,16,Defender
G. Rosas,Sporting Gijón,39,3058,1531,3,20.0,6,2,0.0,,0.0,115,50,34,14,8,195,1209,985,114,73,7,26,Defender
S. Cubero,Eibar,42,1996,1532,2,18.0,6,0,0.0,,0.0,38,81,37,55,6,131,759,578,107,78,3,19,Defender
J. Gabilondo,Málaga,41,1253,1533,3,13.0,0,0,0.0,,0.0,22,34,11,10,6,47,499,391,73,46,1,17,Defender
D. Chirino,Almería,39,3014,1534,3,17.0,5,0,0.0,,0.0,67,103,32,32,7,148,1620,1372,153,39,5,26,Defender
D. Rodríguez Ramos,CD Tenerife,39,2351,1535,0,14.0,2,1,0.0,,0.0,61,72,43,31,4,122,908,752,96,36,1,9,Defender
C. Gutiérrez,Las Palmas,40,2222,1536,3,7.0,3,0,0.0,,0.0,42,54,41,12,1,88,760,593,93,124,3,32,Defender
D. Sánchez,Sporting Gijón,32,2392,1537,1,9.0,2,1,0.0,,0.0,43,101,25,41,3,93,1214,1002,190,19,0,12,Defender
D. Tasende,Real Zaragoza,35,2369,1538,7,34.0,9,2,0.0,,0.0,23,85,39,32,6,103,941,651,195,122,7,34,Defender
J. Gayá,CD Lugo,25,941,1539,1,6.0,0,0,0.0,,0.0,27,44,12,28,0,62,410,335,57,0,1,2,Defender
