Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
J. Placide,Bastia,16,1440,2411,0,,0,0,0.0,,0.0,0,15,0,2,0,2,438,267,274,0,0,0,39,Goalkeeper
A. Ortolá,Guingamp,10,900,2412,0,,0,0,0.0,,0.0,0,18,0,0,0,2,527,450,154,0,0,0,28,Goalkeeper
A. Sauvage,Amiens SC,15,90,2413,0,,0,0,0.0,,0.0,0,2,0,0,0,0,20,14,6,0,0,0,6,Goalkeeper
M. Jeannin,Sochaux,16,90,2414,0,,0,0,0.0,,0.0,0,0,0,0,0,0,24,19,6,0,0,0,3,Goalkeeper
J. Fabri,Bastia,12,0,2415,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
E. Basilio,Nancy,15,1350,2416,0,,0,0,0.0,,0.0,0,23,0,2,0,3,371,254,208,0,0,1,45,Goalkeeper
A. Mandrea,Caen,14,1170,2417,0,,0,0,0.0,,0.0,0,15,1,2,0,5,369,254,214,0,0,0,31,Goalkeeper
M. Diaw,Le Havre,11,990,2418,0,,0,0,0.0,,0.0,1,8,0,3,0,6,313,186,201,0,0,1,24,Goalkeeper
L. M'Pasi,Le Havre,16,450,2419,0,,0,0,0.0,,0.0,0,7,0,2,0,2,85,65,40,0,0,0,8,Goalkeeper
B. Allain,Grenoble Foot 38,10,0,2420,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Pattier,Grenoble Foot 38,6,90,2421,0,,0,0,0.0,,0.0,0,1,0,0,0,0,24,16,14,0,0,0,3,Goalkeeper
Y. Clementia,Caen,15,180,2422,0,,0,0,0.0,,0.0,0,1,0,0,0,0,54,42,18,0,0,0,12,Goalkeeper
T. Bartouche,Guingamp,1,0,2423,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
O. Nkambadio,Paris FC,16,1388,2424,0,,0,0,0.0,,0.0,0,18,0,3,0,8,539,442,170,0,0,0,33,Goalkeeper
M. Diop,Grenoble Foot 38,16,1350,2425,0,,0,0,0.0,,0.0,1,6,0,5,0,10,401,229,289,0,0,0,67,Goalkeeper
E. Crombez,Rodez AF,2,0,2426,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
