Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
Dante,Nice,1423,1263,143,0,2,0,1966,4,
I. Traoré,Metz,0,0,0,0,0,0,0,0,
S. Umtiti,Lille,0,0,0,0,0,0,0,0,
N. Pallois,Stade de Reims,843,707,138,2,7,1,2020,3,
A. Bamba,Angers,560,502,55,0,5,0,1520,6,
A. Mandi,Lille,1146,1026,127,0,10,0,1736,5,
D. Appiah,Saint-Étienne,921,705,97,1,53,4,2124,13,
M. Colin,Metz,6,5,1,0,0,0,17,0,
T. Meunier,Lille,1250,1039,104,0,62,0,1951,13,
K. Lala,Stade Brestois,1438,1173,207,2,125,10,2685,41,
C. Mata,Olympique Lyonnais,1546,1393,125,4,38,3,2370,11,
Marquinhos,Paris Saint-Germain,1813,1724,138,0,3,2,1725,9,
N. Tagliafico,Olympique Lyonnais,1165,1028,56,1,37,1,1911,5,
F. Hanin,Angers,1286,1044,145,2,106,4,2677,25,
C. Jullien,Montpellier,0,0,0,0,0,0,0,0,
T. Kehrer,AS Monaco,1781,1604,164,0,2,0,2376,5,
B. Chardonnet,Stade Brestois,1207,992,255,0,3,4,2417,8,
L. Hernández,Paris Saint-Germain,849,782,49,0,2,0,875,1,
A. Maitland-Niles,Olympique Lyonnais,1031,897,72,4,48,7,2013,27,
H. Hateboer,Olympique Lyonnais,1035,910,88,0,33,2,1680,15,
J. Lefort,Angers,1721,1438,256,1,12,4,3060,10,
O. El Hajjam,Bordeaux,0,0,0,0,0,0,0,0,
J. Gradit,RC Lens,1315,1128,151,0,10,1,2103,12,
M. Niakhaté,Olympique Lyonnais,1828,1665,127,0,5,1,2725,7,
M. Udol,RC Lens,156,121,17,0,15,1,300,1,
C. Arcus,Angers,809,689,55,1,55,3,2055,17,
Adryelson,Olympique Lyonnais,3,1,0,0,0,0,10,0,
F. Centonze,Nantes,115,92,5,0,11,0,267,3,
M. Bernauer,Saint-Étienne,465,412,66,0,0,0,717,1,
K. Amian,Nantes,699,571,78,0,37,0,2169,13,
A. Hakimi,Paris Saint-Germain,1907,1733,59,6,80,12,2067,51,
J. Teze,AS Monaco,287,239,20,0,12,2,586,13,
M. Sarr,RC Lens,941,843,121,0,2,1,1377,5,
S. Akieme,Stade de Reims,943,812,83,4,102,6,2721,25,
T. De Smet,Stade de Reims,114,104,9,0,0,0,204,0,
C. Henrique,AS Monaco,1071,833,126,6,125,10,1924,35,
F. Medina,Olympique de Marseille,1794,1590,183,1,16,1,2537,24,
M. Nade,Saint-Étienne,1362,1225,102,2,1,2,2215,7,
K. Kouao,Metz,116,100,17,0,7,0,278,1,
L. Østigård,Stade Rennais,796,675,99,0,0,0,1228,2,
N. Cozza,Nantes,555,432,56,0,27,2,2051,7,
I. Jakobs,AS Monaco,78,69,2,0,14,1,180,4,
T. Sainte Luce,Montpellier,251,197,14,0,21,1,971,7,
M. Bard,Nice,964,781,108,1,60,4,1941,16,
M. Abdelmonem,Nice,514,466,34,0,2,0,855,0,
L. Balerdi,Olympique de Marseille,2511,2359,128,0,2,1,2276,8,
MBM. Busi,Stade de Reims,0,0,0,0,0,0,0,0,
M. Salisu,AS Monaco,763,650,69,0,0,0,1027,3,
A. Vinícius,Olympique Lyonnais,560,482,35,1,31,1,1099,11,
W. Pacho,Paris Saint-Germain,1946,1846,81,1,0,1,2118,3,
A. Ndiaye,Troyes,926,804,110,0,2,0,1712,1,
J. Okumu,Stade de Reims,1162,944,231,0,7,0,1909,5,
Y. Ndayishimiye,Nice,1303,1171,103,0,2,0,1934,5,
L. Brassier,Stade Rennais,1525,1325,136,1,14,1,2024,7,
N. Mendes,Paris Saint-Germain,1292,1146,81,3,59,11,1671,31,
A. Rouault,Stade Rennais,679,623,53,0,0,0,973,1,
G. Doué,RC Strasbourg,1749,1518,125,2,46,1,2716,11,
A. Seidu,Stade Rennais,456,394,37,0,4,0,806,5,
I. Doukouré,RC Strasbourg,1662,1483,105,1,1,2,2645,11,
O. Camara,Angers,100,91,14,0,0,0,253,1,
A. Ribeiro,Lille,2396,2190,211,1,8,1,2700,9,
