Name,Team,Mins,Saves,Unnamed: 3
L. Butelle,Stade de Reims,0,0,
S. Mandanda,Stade Rennais,1486,30,
K. Johnsson,RC Strasbourg,270,16,
A. Lopes,Nantes,1564,47,
B. Maubleu,Saint-Étienne,0,0,
M. Dupé,Nice,0,0,
G. Rulli,Olympique de Marseille,3060,92,
P. Carlgren,Nantes,416,21,
B. Samba,Stade Rennais,2879,100,
M. Caillard,Lille,0,0,
R. Descamps,Olympique Lyonnais,90,4,
M. Safonov,Paris Saint-Germain,878,17,
J. de Lange,Olympique de Marseille,0,0,
G. Larsonneur,Saint-Étienne,2970,132,
A. Olliero,Stade de Reims,0,0,
Y. Diouf,Nice,3270,138,
R. Majecki,Stade Brestois,1342,43,
H. Koffi,Angers,438,17,
P. Köhn,AS Monaco,1710,46,
G. Coudert,Stade Brestois,180,9,
M. Zinga,Angers,90,2,
L. Chevalier,Paris Saint-Germain,3060,96,
Y. Lienard,AS Monaco,0,0,
E. Jaouen,Stade de Reims,180,6,
R. Risser,RC Lens,0,0,
N. Jauny,Stade Brestois,0,0,
