Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
M. Fofana,Olympique Lyonnais,29,1597,2212,4,31.0,15,5,3.8602,3.844,4.3758,22,3,8,2,9,84,554,463,12,70,6,26,Forward
E. Nuamah,Olympique Lyonnais,24,1065,2213,1,28.0,13,3,2.1875,2.254,1.3247,21,7,8,13,5,67,411,345,14,30,2,18,Forward
I. Salah,Stade Rennais,19,363,2214,1,13.0,4,1,0.5828,0.582,0.387,4,0,2,1,3,17,113,84,8,15,1,6,Forward
R. Labeau Lascary,Stade Brestois,14,635,2215,1,14.0,5,2,2.5567,2.555,0.6017,16,6,1,6,1,43,152,120,5,19,2,7,Forward
J. Agbonifo,RC Lens,11,299,2216,0,6.0,4,1,0.6847,0.686,0.3708,7,0,1,1,0,22,68,51,4,7,0,3,Forward
I. Orazi,Stade de Reims,5,2,2217,0,,0,0,0.0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,Forward
B. Guirassy,Nantes,28,357,2218,0,7.0,4,2,0.7022,0.711,0.238,11,5,2,7,2,29,111,83,6,7,0,2,Forward
YIY. Issoufou,Montpellier,7,82,2219,0,2.0,0,0,0.061,0.061,0.0093,6,1,0,0,1,7,16,10,0,3,0,0,Forward
ABA. Bojang,Stade de Reims,3,0,2220,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
NEN. Edjouma,Lille,12,149,2221,0,4.0,2,1,0.9039,0.904,0.0625,2,0,0,2,0,11,40,30,2,6,0,1,Forward
RVR. Vaz,Olympique de Marseille,2,29,2222,0,,0,0,0.0,,0.0,0,0,0,1,0,3,3,1,0,0,0,0,Forward
R. Fofana,RC Lens,3,24,2223,0,,0,0,0.0,,0.0,2,0,0,0,0,3,8,5,0,0,0,0,Forward
IMI. Mbaye,Paris Saint-Germain,17,336,2224,1,12.0,7,1,1.6416,1.81,0.2634,4,2,2,2,1,14,142,128,1,5,3,3,Forward
AGA. Gomes Rodriguez,Olympique Lyonnais,3,19,2225,0,,0,0,0.0,,0.0,0,0,0,0,0,0,1,1,0,1,0,0,Forward
N. Pays,Montpellier,10,444,2226,0,11.0,1,0,1.3215,1.321,0.4595,13,2,4,5,4,34,158,131,4,17,1,3,Forward
K. Abdallah,Olympique de Marseille,8,9,2227,0,,0,0,0.0,,0.0,1,0,0,0,0,1,2,2,0,0,0,0,Forward
QNQ. Ndjantou,Paris Saint-Germain,1,0,2228,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
EME. Molebe,Montpellier,6,0,2229,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
SDS. Diop,Stade Brestois,4,10,2230,0,,0,0,0.0,,0.0,1,0,0,0,0,1,2,2,0,0,0,0,Forward
