Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
T. Sainte Luce,Montpellier,19,971,2117,0,7.0,4,1,1.1035,1.035,0.7645,24,30,11,13,0,58,251,197,14,21,1,7,Defender
M. Bard,Nice,25,1941,2118,1,23.0,8,2,2.1997,2.198,2.5221,53,50,29,24,5,121,964,781,108,60,4,16,Defender
M. Abdelmonem,Nice,24,855,2119,0,,0,0,0.0,,0.1875,21,54,15,31,0,63,514,466,34,2,0,0,Defender
L. Balerdi,Olympique de Marseille,28,2276,2120,0,15.0,2,0,0.9141,0.914,0.7888,54,72,37,40,4,135,2511,2359,128,2,1,8,Defender
MBM. Busi,Stade de Reims,4,0,2121,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
M. Salisu,AS Monaco,30,1027,2122,0,8.0,5,1,0.7877,0.787,0.11,27,52,17,34,1,63,763,650,69,0,0,3,Defender
A. Vinícius,Olympique Lyonnais,32,1099,2123,1,7.0,3,1,0.5711,0.572,2.2977,29,35,5,7,2,46,560,482,35,31,1,11,Defender
W. Pacho,Paris Saint-Germain,31,2118,2124,1,4.0,1,0,0.3128,0.313,0.3849,56,87,39,29,0,94,1946,1846,81,0,1,3,Defender
A. Ndiaye,Troyes,28,1712,2125,0,11.0,2,1,0.919,0.957,0.1919,49,137,11,47,4,115,926,804,110,2,0,1,Defender
J. Okumu,Stade de Reims,26,1909,2126,0,13.0,2,1,0.987,1.017,0.4248,36,154,26,41,2,110,1162,944,231,7,0,5,Defender
Y. Ndayishimiye,Nice,23,1934,2127,0,11.0,4,3,0.9127,0.913,0.3897,40,114,21,37,2,96,1303,1171,103,2,0,5,Defender
L. Brassier,Stade Rennais,31,2024,2128,1,19.0,3,1,1.745,1.745,0.5201,23,86,31,48,5,88,1525,1325,136,14,1,7,Defender
N. Mendes,Paris Saint-Germain,27,1671,2129,3,21.0,9,1,2.1851,2.184,4.0957,30,34,18,16,7,98,1292,1146,81,59,11,31,Defender
A. Rouault,Stade Rennais,11,973,2130,0,7.0,3,0,0.505,0.505,0.2029,12,65,8,28,0,41,679,623,53,0,0,1,Defender
G. Doué,RC Strasbourg,32,2716,2131,2,18.0,6,1,1.1575,0.732,1.0715,65,148,34,58,4,169,1749,1518,125,46,1,11,Defender
A. Seidu,Stade Rennais,11,806,2132,0,3.0,0,0,0.1269,0.126,0.4355,22,17,14,10,0,68,456,394,37,4,0,5,Defender
I. Doukouré,RC Strasbourg,31,2645,2133,1,3.0,1,1,0.5664,0.566,0.4441,40,100,25,28,1,96,1662,1483,105,1,2,11,Defender
O. Camara,Angers,7,253,2134,0,1.0,0,0,0.0803,0.08,0.0058,4,17,0,4,0,8,100,91,14,0,0,1,Defender
A. Ribeiro,Lille,31,2700,2135,1,21.0,4,1,1.5688,1.597,0.9679,32,143,27,64,5,133,2396,2190,211,8,1,9,Defender
S. Sow,RC Strasbourg,26,1819,2136,1,9.0,3,1,1.0671,0.981,0.0922,26,78,28,29,1,70,1031,908,115,0,2,4,Defender
R. Fernandes,Lille,1,0,2137,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
T. Santos,Lille,7,405,2138,0,8.0,4,0,0.4181,0.417,0.7687,12,4,2,7,1,40,183,152,11,19,2,5,Defender
Vanderson,AS Monaco,31,2069,2139,3,21.0,8,1,2.213,2.212,3.7019,75,60,39,23,9,144,1131,903,146,56,5,22,Defender
E. Tchato Mbiayi,Montpellier,27,1894,2140,0,4.0,2,0,0.1611,0.117,1.2023,48,51,22,20,1,87,746,594,67,77,2,14,Defender
L. Beraldo,Paris Saint-Germain,33,1999,2141,0,12.0,4,1,0.8662,0.865,0.9427,38,58,21,47,0,93,2088,1977,102,3,1,8,Defender
A. Mendy,Nice,28,833,2142,0,9.0,1,0,0.6014,0.595,0.2555,30,27,8,17,1,61,436,364,35,7,0,2,Defender
B. Locko,Stade Brestois,3,97,2143,0,1.0,0,0,0.0259,0.025,0.0094,2,3,1,1,0,4,34,31,3,1,0,0,Defender
J. Le Cardinal,Saint-Étienne,24,1379,2144,1,10.0,4,0,0.4427,0.441,0.3392,27,71,33,29,1,72,806,703,128,6,0,5,Defender
B. Meïté,Lorient,26,458,2145,0,1.0,0,0,0.0216,0.022,0.0165,5,14,4,7,1,16,195,173,7,0,0,0,Defender
VBV. Burlet,Stade de Reims,1,0,2146,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
