Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
C. Castro,AVS - Futebol SAD,18,1575,1756,1,6.0,2,0,0.4627,0.384,0.1338,25,109,25,21,2,62,653,538,126,1,1,5,Defender
M. Rocha,FC Arouca,10,300,1757,0,2.0,0,0,0.0948,0.095,0.0165,4,17,2,3,0,8,241,223,16,0,0,0,Defender
G. Costa,Estoril Praia,30,414,1758,0,4.0,2,2,0.1288,0.129,0.2988,7,9,7,4,0,20,142,98,10,22,1,4,Defender
H. Santos,Gil Vicente,14,263,1759,0,2.0,1,0,0.02,0.018,0.0917,7,12,1,2,0,15,127,93,10,9,0,1,Defender
P. Bondo,Famalicão,11,190,1760,1,3.0,2,1,0.0466,0.093,0.4109,3,3,0,4,1,16,61,42,8,18,2,4,Defender
M. Araújo,Santa Clara,31,2663,1761,1,19.0,3,1,1.7316,1.804,0.9158,53,146,34,70,3,173,1327,1018,275,22,2,14,Defender
P. Victor,Santa Clara,26,1541,1762,0,5.0,2,0,0.3634,0.363,0.9589,61,55,26,34,0,165,444,288,98,28,0,10,Defender
M. Elimbi,Gil Vicente,22,433,1763,0,,0,0,0.0,,0.1216,7,30,5,6,0,17,200,171,44,0,0,1,Defender
Michel,Moreirense,7,100,1764,0,,0,0,0.0,,0.0,1,16,1,6,0,7,42,24,8,0,0,0,Defender
Z. Debast,Sporting,33,2036,1765,3,16.0,6,0,0.4993,0.501,1.4973,36,34,28,20,4,80,1475,1318,160,50,4,24,Defender
Lipe,Gil Vicente,1,0,1766,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
F. Souza,Moreirense,16,702,1767,0,2.0,0,0,0.0482,0.049,0.2989,12,22,12,5,2,41,278,209,54,22,0,2,Defender
M. Maga,Vitória SC,23,1403,1768,1,8.0,2,0,0.21,0.221,2.3708,34,38,14,25,4,75,623,512,37,38,2,9,Defender
S. Lima,Santa Clara,29,2199,1769,1,18.0,8,3,1.4172,1.357,0.5426,39,107,43,56,3,138,995,782,165,18,2,8,Defender
J. Mendes,Vitória SC,31,2684,1770,0,18.0,5,0,0.6354,0.732,1.991,65,76,21,41,7,124,1378,1086,149,111,1,24,Defender
D. Travassos,Moreirense,25,1716,1771,0,16.0,4,1,0.4439,0.483,1.3788,32,32,18,14,4,106,508,356,86,82,2,16,Defender
M. Fernandes,FC Porto,27,1237,1772,4,6.0,4,0,0.6996,0.7,3.2971,24,17,11,21,1,85,610,496,66,43,11,21,Defender
G. Batista,Moreirense,24,315,1773,0,,0,0,0.0,,0.3263,4,20,3,9,0,18,118,100,13,0,0,0,Defender
A. Costa,FC Porto,16,673,1774,2,7.0,0,0,0.2286,0.229,2.2495,24,20,9,9,3,57,286,214,28,20,2,11,Defender
D. Pinto,Moreirense,31,2083,1775,1,22.0,7,2,1.3668,1.452,2.1983,62,72,23,33,4,136,834,647,83,63,1,11,Defender
Habraão,Santa Clara,12,1,1776,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
I. Fresneda,Sporting,31,956,1777,0,9.0,6,3,1.9725,1.939,0.7891,25,9,10,3,1,44,389,324,21,23,1,8,Defender
Ó. Rivas,Vitória SC,17,797,1778,0,5.0,3,1,0.977,1.026,0.0699,9,46,13,19,0,39,479,412,60,3,0,0,Defender
ICI. Cabelinho,Santa Clara,1,0,1779,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
O. Diomande,Sporting,30,2436,1780,0,27.0,6,2,1.5344,1.531,0.9163,33,77,32,70,2,123,2024,1888,117,0,1,10,Defender
MAM. Augusto,Moreirense,4,149,1781,0,,0,0,0.0,,0.0,2,11,2,2,0,4,50,44,12,0,0,0,Defender
HSH. Silva,Santa Clara,1,0,1782,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
TAT. Araujo Brito,Estoril Praia,2,45,1783,0,,0,0,0.0,,0.0191,3,0,0,1,0,6,23,20,2,0,0,2,Defender
L. Santos,Moreirense,5,266,1784,0,1.0,0,0,0.0466,0.047,0.565,7,5,1,4,0,19,155,133,5,15,1,4,Defender
P. Carvalho,Estoril Praia,30,722,1785,2,6.0,1,0,0.7151,0.873,0.8272,17,28,11,4,1,40,295,224,31,39,4,8,Defender
J. Silva,FC Arouca,4,12,1786,0,,0,0,0.0,,0.0,1,0,0,0,0,1,3,1,1,0,0,0,Defender
J. Noro,Sporting Braga,6,12,1787,0,1.0,0,0,0.0108,0.011,0.0,0,1,0,0,0,0,7,7,0,0,0,0,Defender
EHE. Henrique,Portimonense,3,61,1788,0,1.0,0,0,0.1183,0.125,0.0,0,4,2,1,0,1,8,7,0,1,0,0,Defender
I. Ba,Famalicão,6,102,1789,0,1.0,0,0,0.2111,0.211,0.0053,1,11,1,4,0,5,37,29,6,0,0,0,Defender
JSJ. Sampaio,Vizela,1,0,1790,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
A. Marques,Boavista,23,98,1791,0,,0,0,0.0,,0.0,1,3,1,2,0,4,43,37,5,0,0,0,Defender
T. Silva,Boavista,18,87,1792,0,1.0,0,0,0.0493,0.049,0.0,0,2,1,1,0,1,21,12,5,2,0,0,Defender
RSR. Silva,Vitória SC,1,0,1793,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
