Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
H. Pickering,Blackburn Rovers,24,1040,507,1,3.0,1,0,0.3198,0.32,1.5855,17,38,10,18,1,50,439,365,65,45,1,7,Defender
J. Storey,Preston North End,39,3064,508,1,19.0,2,1,1.2545,1.174,0.7487,52,106,57,100,6,195,1434,1107,211,15,2,11,Defender
J. Latibeaudiere,Coventry City,48,2580,509,0,8.0,1,0,0.9202,0.921,1.3408,51,115,29,63,0,151,1621,1424,153,9,3,6,Defender
B. Wilmot,Stoke City,40,3248,510,0,22.0,7,3,1.8575,1.855,1.1753,54,219,45,80,6,161,1810,1433,312,17,2,9,Defender
C. Mepham,West Bromwich Albion,44,3370,511,0,14.0,6,1,1.6868,1.797,0.9203,53,246,35,112,3,189,2048,1781,212,0,0,12,Defender
L. Gibson,Preston North End,39,3256,512,1,22.0,6,2,2.1896,2.19,0.5296,53,203,37,92,5,184,2002,1676,254,10,0,12,Defender
C. Bramall,Luton Town,17,472,513,0,4.0,0,0,0.1359,0.133,0.556,6,13,3,14,1,28,160,118,19,19,0,4,Defender
S. McLoughlin,Blackburn Rovers,45,3215,514,1,30.0,11,0,1.5259,1.588,0.9425,35,202,36,108,7,172,1972,1618,235,24,1,11,Defender
P. Valentín,Preston North End,42,1528,515,0,9.0,2,1,0.855,0.854,2.242,43,49,21,21,4,97,426,303,51,72,4,17,Defender
H. Burrows,Sheffield United,49,3743,516,6,55.0,17,6,4.6817,2.452,7.4515,82,100,32,38,27,193,1638,1275,232,225,12,59,Defender
C. Pring,Bristol City,34,2299,517,3,7.0,2,0,0.436,0.437,2.5825,59,89,25,62,2,179,1205,921,126,54,3,22,Defender
R. Norrington-Davies,Queens Park Rangers,28,270,518,0,1.0,0,0,0.0265,0.041,0.0289,4,11,3,5,1,10,121,94,16,6,0,2,Defender
J. Dunne,Queens Park Rangers,45,4050,519,2,55.0,19,5,4.8046,4.917,3.0506,113,246,46,210,10,376,2053,1533,288,40,4,24,Defender
N. Borges,Bristol City,38,2898,520,3,19.0,4,1,1.3869,1.371,2.522,65,125,40,52,8,161,1381,1185,84,49,6,22,Defender
N. Phillips,West Bromwich Albion,36,2241,521,3,25.0,3,1,1.9289,1.926,1.0634,38,160,20,138,11,191,835,634,143,5,1,10,Defender
R. Atkinson,Bristol City,26,1101,522,1,6.0,2,2,0.5495,0.548,0.7031,7,101,9,64,2,88,470,360,59,0,1,3,Defender
L. Kitching,Coventry City,46,2494,523,1,16.0,4,0,1.5052,1.517,1.2489,37,162,20,86,5,150,1453,1189,205,6,1,15,Defender
G. Tanner,Bristol City,36,2104,524,0,12.0,5,2,0.5988,0.624,2.1666,58,69,20,34,4,110,1156,971,85,34,2,14,Defender
J. Key,Swansea City,46,3470,525,3,22.0,8,1,1.3296,1.329,3.7553,56,91,31,26,9,165,1931,1602,164,111,5,25,Defender
R. Giles,Hull City,41,1245,526,0,7.0,2,0,0.2613,0.261,0.993,12,40,6,8,2,29,611,494,64,79,3,13,Defender
B. Cabango,Swansea City,45,4034,527,1,23.0,5,2,2.6531,2.572,1.1902,84,269,41,133,3,243,3270,2826,391,4,0,14,Defender
J. Shackleton,Sheffield United,18,300,528,0,4.0,2,0,0.2821,0.276,0.0577,10,6,1,4,2,27,142,116,9,1,0,1,Defender
L. Engel,Middlesbrough,9,379,529,0,8.0,0,0,0.2226,0.223,0.3602,8,4,6,9,1,22,230,182,25,19,0,8,Defender
M. van Ewijk,Coventry City,47,4223,530,4,31.0,8,2,2.1171,2.15,6.5401,97,121,54,33,13,195,1866,1517,187,146,13,59,Defender
S. McCallum,Sheffield United,48,1053,531,0,15.0,3,2,1.494,1.5,0.5094,22,41,26,46,4,97,420,314,55,30,1,7,Defender
P. Kioso,Peterborough United,39,2307,532,1,6.0,0,0,0.5646,0.578,0.4679,56,97,34,55,2,161,881,669,114,32,2,6,Defender
F. Seriki,Sheffield United,29,1098,533,1,8.0,3,0,0.492,0.492,1.3486,33,36,9,21,5,101,427,365,23,31,2,10,Defender
W. Fish,Cardiff City,38,1380,534,0,10.0,3,0,0.9343,0.821,0.226,12,117,17,57,1,79,531,429,72,3,0,5,Defender
N. Ogbeta,Barnsley,44,627,535,1,4.0,1,1,0.4118,0.386,0.6879,20,35,5,6,0,35,195,154,25,21,1,4,Defender
D. Sanderson,Birmingham City,21,576,536,0,,0,0,0.0,,0.0144,3,36,6,16,0,24,297,258,34,0,0,1,Defender
H. Carter,Blackburn Rovers,19,1365,537,1,9.0,1,0,0.5308,0.518,0.9423,24,62,19,46,2,82,766,622,120,13,1,5,Defender
T. Mengi,Luton Town,21,1570,538,1,15.0,5,1,0.8978,0.897,0.3052,31,77,29,33,5,72,718,555,145,7,1,3,Defender
