Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
B. Gannon-Doak,Bournemouth,26,10,5,4,5,1787,90,
T. Watson,Millwall,15,13,5,2,14,935,49,
J. Bae,Stoke City,88,15,33,21,12,3274,214,
A. Matos,Sheffield United,49,15,18,13,2,947,95,
O. Arblaster,Sheffield United,12,23,9,9,5,977,44,
S. Peck,Sheffield United,68,82,21,56,19,3191,174,
A. Brooks,Sheffield United,39,11,7,15,8,1072,92,
K. Morgan,Queens Park Rangers,24,20,10,8,4,1592,48,
R. Esse,Coventry City,66,18,9,24,13,2029,204,
L. McCabe,Middlesbrough,0,0,0,0,0,0,0,
D. Bennie,Queens Park Rangers,0,7,1,7,2,228,8,
C. Ashford,Cardiff City,21,6,8,11,10,1532,80,
H. Armstrong,Preston North End,25,31,23,15,6,1110,58,
F. Vare,Blackburn Rovers,0,0,0,0,0,0,0,
IDI. Dunn,Blackburn Rovers,0,0,0,0,0,0,0,
RBR. Bangura-Williams,Millwall,23,9,3,5,5,609,40,
