Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
A. Randell,Bristol City,3,6,30.0,7,1,3385,1.3533,1.356,3.869,
T. Sakamoto,Coventry City,6,9,41.0,9,4,2803,3.5936,3.431,5.5829,
J. Rudoni,Coventry City,12,16,82.0,30,10,3721,8.7257,8.701,8.6381,
B. Mitchell,Millwall,0,0,4.0,0,0,887,0.1482,0.148,0.1781,
G. Franco,Swansea City,2,3,43.0,14,2,3160,4.0947,4.079,2.7323,
L. Cundle,Millwall,0,0,6.0,3,1,992,0.7941,0.794,0.5052,
M. Whittaker,Middlesbrough,2,5,86.0,25,3,2743,3.7649,3.787,2.8553,
S. Silvera,Middlesbrough,0,1,7.0,4,0,442,0.1872,0.187,0.5877,
X. Simons,Hull City,0,0,16.0,4,2,1207,1.4122,1.409,1.2125,
L. Thompson,Derby County,0,1,9.0,1,0,1630,0.4232,0.425,0.5695,
J. Eom,Swansea City,2,5,58.0,13,3,2300,6.0104,6.038,3.3259,
I. Jones,Luton Town,0,5,26.0,10,2,2105,3.0151,2.93,2.0422,
F. Azeez,Millwall,5,4,53.0,19,2,1906,4.9617,4.916,2.5301,
H. Hackney,Middlesbrough,3,9,80.0,24,5,3794,4.1842,4.178,5.9541,
T. Fornah,Derby County,0,0,,0,0,9,0.0,,0.0,
A. Morris,Middlesbrough,2,1,30.0,4,0,2920,1.7714,1.799,1.7648,
T. Gardner-Hickman,Blackburn Rovers,0,0,,0,0,0,0.0,,0.0,
T. Seko,Stoke City,0,2,9.0,1,0,1594,0.2275,0.216,0.5862,
J. Anthony,Bournemouth,7,14,97.0,34,8,3672,9.361,9.388,8.1348,
E. Matazo,Hull City,0,0,4.0,2,1,302,0.2379,0.238,1.0055,
I. Price,West Bromwich Albion,1,2,16.0,4,1,1055,1.1875,1.183,1.6309,
D. Gyabi,Hull City,2,2,33.0,9,1,2892,2.9899,3.03,1.0485,
A. Robertson,Cardiff City,3,1,18.0,6,3,2426,1.7561,1.375,3.7421,
M. Hamilton,Middlesbrough,0,0,5.0,1,0,313,0.2711,0.271,0.6648,
D. Turnbull,Cardiff City,0,1,20.0,11,1,825,1.3805,1.135,1.0445,
C. Neghli,Millwall,0,0,7.0,6,1,193,0.7639,0.765,0.1958,
K. Kesler-Hayden,Coventry City,3,6,40.0,11,2,3672,2.7645,2.753,3.7333,
R. Colwill,Cardiff City,4,4,55.0,21,1,2529,3.9342,4.053,4.1861,
J. Rak-Sakyi,Stoke City,2,3,46.0,17,7,1756,6.0713,6.077,3.5252,
J. Varane,Queens Park Rangers,2,2,20.0,4,0,2604,1.0043,1.033,0.7125,
Ronald,Swansea City,7,13,51.0,16,2,3775,3.8858,3.71,7.1246,
M. Belloumi,Hull City,2,4,25.0,11,2,820,2.3848,2.377,2.525,
KMK. Montgomery,Blackburn Rovers,0,0,,0,0,136,0.0,,0.0072,
B. Gannon-Doak,Bournemouth,7,7,27.0,14,3,1787,4.396,4.357,4.5212,
T. Watson,Millwall,0,2,27.0,6,3,935,1.798,1.962,1.5219,
J. Bae,Stoke City,5,5,40.0,14,3,3274,4.86,5.117,4.4589,
A. Matos,Sheffield United,0,0,2.0,0,0,947,0.1491,0.149,0.2105,
O. Arblaster,Sheffield United,1,2,10.0,3,2,977,0.6784,0.718,1.2922,
S. Peck,Sheffield United,2,5,44.0,12,0,3191,2.3313,2.324,2.989,
A. Brooks,Sheffield United,2,4,24.0,12,4,1072,3.3645,3.712,2.6419,
K. Morgan,Queens Park Rangers,2,4,17.0,3,1,1592,0.914,0.909,0.7821,
R. Esse,Coventry City,1,6,30.0,12,4,2029,2.1147,2.199,3.1746,
L. McCabe,Middlesbrough,0,0,,0,0,0,0.0,,0.0,
D. Bennie,Queens Park Rangers,0,0,3.0,1,0,228,0.2192,0.219,0.0836,
C. Ashford,Cardiff City,3,4,21.0,4,2,1532,1.4381,1.605,2.0916,
H. Armstrong,Preston North End,0,1,9.0,3,1,1110,0.4111,0.449,0.3436,
F. Vare,Blackburn Rovers,0,0,,0,0,0,0.0,,0.0,
IDI. Dunn,Blackburn Rovers,0,0,,0,0,0,0.0,,0.0,
RBR. Bangura-Williams,Millwall,3,1,8.0,2,0,609,1.06,1.051,0.3648,
