Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
D. Dike,West Bromwich Albion,14,224,616,1,7.0,2,1,0.7367,0.737,0.5116,2,7,0,18,1,27,41,23,2,0,2,5,Forward
K. Joseph,Hull City,18,1018,617,0,14.0,6,0,2.1821,2.485,0.6386,9,23,5,32,6,52,178,104,7,12,1,5,Forward
Y. Salech,Cardiff City,20,1283,618,1,45.0,21,8,7.0143,6.137,0.7445,13,24,3,98,9,144,283,125,19,2,0,7,Forward
S. Bell,Bristol City,31,439,619,0,15.0,7,0,1.3244,1.552,0.2016,10,4,2,15,2,37,134,96,5,14,0,8,Forward
T. Bany,West Bromwich Albion,6,68,620,1,3.0,0,0,0.139,0.139,0.0219,4,0,2,0,1,7,22,17,1,2,1,2,Forward
D. Jebbison,Preston North End,14,402,621,0,9.0,3,0,1.4776,1.619,0.0826,5,2,0,4,3,17,43,26,2,1,0,5,Forward
T. Conway,Middlesbrough,36,2362,622,1,58.0,28,13,12.2251,9.349,1.5943,15,9,3,9,16,62,492,426,18,15,1,28,Forward
P. Lane,Reading,22,1077,623,1,13.0,5,1,1.1031,1.103,1.1027,13,9,4,9,2,39,233,167,20,39,2,13,Forward
N. Bassette,Coventry City,37,935,624,0,18.0,7,2,4.8028,4.85,0.6373,4,9,0,13,4,34,70,45,2,11,0,3,Forward
H. Leonard,Peterborough United,15,164,625,0,7.0,4,1,1.7052,1.578,0.1955,1,4,1,14,1,17,37,21,2,0,1,2,Forward
J. Banel,Derby County,4,0,626,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
M. Ivanović,Millwall,41,2181,627,0,52.0,27,12,8.3887,7.649,1.5804,13,38,3,117,7,162,408,227,14,13,3,9,Forward
J. Dede,Middlesbrough,3,0,628,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
CLC. Lennon,Barnsley,1,0,629,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
LWL. Wheeldon,Derby County,7,1,630,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
L. Marsh,Sheffield United,13,0,631,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
KWK. Willox,Stoke City,1,0,632,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
R. Kolli,Queens Park Rangers,26,831,633,2,22.0,7,4,1.6255,1.646,0.6043,8,10,3,18,8,54,159,105,11,11,3,9,Forward
SKS. Kendall,Millwall,4,0,634,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
I. Tyjon,Blackburn Rovers,6,13,635,0,,0,0,0.0,,0.0,0,0,0,1,0,2,4,1,0,0,0,0,Forward
