Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
Y. Musah,Atalanta,678,603,42,2,24,3,1581,23,
E. Le Fée,Roma,253,222,13,0,7,0,319,3,
N. Zalewski,Roma,417,348,29,1,52,5,982,21,
K. Asllani,Torino,926,852,91,2,43,2,1007,14,
O. Zarraga,Udinese,264,231,19,0,20,1,893,7,
F. Miretti,Juventus,493,395,46,3,61,4,1694,23,
T. Baldanzi,Roma,344,293,8,1,7,2,848,10,
LBL. Bernasconi,Atalanta,0,0,0,0,0,0,0,0,
C. Casadei,Torino,404,322,17,1,2,1,1023,7,
G. Gineitis,Torino,473,383,34,1,51,3,1423,21,
A. Fadera,Sassuolo,502,387,20,3,39,6,1667,24,
G. Fabbian,Fiorentina,187,143,8,1,9,2,985,9,
F. Carboni,Empoli,74,54,13,0,8,0,228,2,
M. Prati,Torino,244,177,57,0,5,2,579,6,
C. Ndour,Fiorentina,216,179,6,0,7,0,407,1,
S. Pafundi,Sampdoria,61,53,4,0,14,1,113,3,
T. Corazza,Bologna,0,0,0,0,0,0,0,0,
I. Doumbia,Venezia,257,202,14,0,10,0,943,3,
E. İlkhan,Torino,0,0,0,0,0,0,0,0,
K. Yıldız,Juventus,983,847,42,4,115,8,2408,57,
V. Adžić,Juventus,20,15,1,0,0,0,50,0,
B. Domínguez,Bologna,324,261,21,2,10,1,1247,10,
N. Pisilli,Roma,549,468,36,1,10,1,1225,10,
R. Sagrado,Venezia,27,22,2,0,0,0,143,0,
R. Belahyane,Lazio,789,670,59,2,3,1,1848,16,
A. Hainaut,Venezia,386,296,42,0,26,2,1136,9,
H. Cuenca,Genoa,0,0,0,0,0,0,0,0,
M. Palestra,Cagliari,84,70,2,0,12,0,218,3,
C. Papadopoulos,Genoa,0,0,0,0,0,0,0,0,
N. Fortini,Fiorentina,0,0,0,0,0,0,0,0,
SPS. Perciun,Torino,47,31,4,0,5,0,148,2,
L. Kasa,Genoa,70,60,12,0,2,0,235,2,
LVL. Venturino,Genoa,44,25,3,0,10,0,163,3,
RSR. Scaglione,Genoa,0,0,0,0,0,0,0,0,
