Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
G. Gineitis,Torino,25,29,18,14,10,1423,70,
A. Fadera,Sassuolo,64,8,12,11,14,1667,151,
G. Fabbian,Fiorentina,10,4,2,19,7,985,51,
F. Carboni,Empoli,5,9,0,2,0,228,11,
M. Prati,Torino,10,10,7,1,1,579,20,
C. Ndour,Fiorentina,4,6,2,15,0,407,27,
S. Pafundi,Sampdoria,3,1,0,0,0,113,10,
T. Corazza,Bologna,0,0,0,0,0,0,0,
I. Doumbia,Venezia,14,12,9,18,5,943,55,
E. İlkhan,Torino,0,0,0,0,0,0,0,
K. Yıldız,Juventus,54,8,5,8,21,2408,169,
V. Adžić,Juventus,2,0,0,2,0,50,5,
B. Domínguez,Bologna,17,6,4,1,7,1247,76,
N. Pisilli,Roma,24,13,11,3,7,1225,45,
R. Sagrado,Venezia,2,4,3,2,0,143,6,
R. Belahyane,Lazio,44,24,11,7,0,1848,97,
A. Hainaut,Venezia,26,44,15,32,1,1136,87,
H. Cuenca,Genoa,0,0,0,0,0,0,0,
M. Palestra,Cagliari,6,4,2,2,0,218,22,
C. Papadopoulos,Genoa,0,0,0,0,0,0,0,
N. Fortini,Fiorentina,0,0,0,0,0,0,0,
SPS. Perciun,Torino,2,2,1,0,1,148,8,
L. Kasa,Genoa,4,5,3,1,0,235,9,
LVL. Venturino,Genoa,5,4,0,1,1,163,11,
RSR. Scaglione,Genoa,0,0,0,0,0,0,0,
