,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
17,3004,Defender,Serie A,R. Haps,Venezia,34,1376,1,15.0,3,1,1.23,1.23,0.82,30,36,8,18,4,65,481,388,61,26,2,7,0.0,0.07,0.07,2,0.13,0.98,0.2,4.25,31.46,25.38,3.99,1.7,0.13,0.46,1.96,2.35,0.52,1.18,0.26,0.0,0.08,0.08,0.05
18,3005,Defender,Serie A,A. Marušić,Lazio,37,2251,0,22.0,10,4,2.0,1.98,0.48,32,57,16,30,4,84,945,827,54,44,0,11,0.0,0.16,0.0,4,0.16,0.88,0.4,3.36,37.78,33.07,2.16,1.76,0.0,0.44,1.28,2.28,0.64,1.2,0.16,0.0,0.08,0.08,0.02
19,3006,Defender,Serie A,M. Lazzari,Lazio,28,1415,1,6.0,2,0,0.12,0.12,1.58,26,10,10,6,2,75,551,480,25,97,3,21,0.0,0.0,0.06,1,0.06,0.38,0.13,4.77,35.05,30.53,1.59,6.17,0.19,1.34,1.65,0.64,0.64,0.38,0.13,0.0,0.01,0.01,0.1
20,3007,Defender,Serie A,A. Rrahmani,Napoli,38,3406,3,28.0,4,1,2.88,2.89,0.72,39,177,27,128,5,183,2769,2521,281,1,2,11,0.0,0.03,0.08,4,0.11,0.74,0.11,4.84,73.17,66.61,7.43,0.03,0.05,0.29,1.03,4.68,0.71,3.38,0.13,0.0,0.08,0.08,0.02
21,3008,Defender,Serie A,G. Maripán,Torino,34,2341,1,12.0,5,1,0.95,0.93,0.9,40,134,41,74,4,123,1323,1148,147,2,4,5,0.0,0.04,0.04,2,0.08,0.46,0.19,4.73,50.86,44.13,5.65,0.08,0.15,0.19,1.54,5.15,1.58,2.84,0.15,0.0,0.04,0.04,0.03
22,3009,Defender,Serie A,S. Luperto,Cagliari,37,3150,3,21.0,6,1,2.43,2.15,0.71,48,147,30,57,3,124,1514,1284,170,8,2,8,0.0,0.03,0.09,4,0.11,0.6,0.17,3.54,43.26,36.69,4.86,0.23,0.06,0.23,1.37,4.2,0.86,1.63,0.09,0.0,0.07,0.06,0.02
23,3010,Defender,Serie A,M. Hermoso,Roma,13,255,0,1.0,0,0,0.06,0.06,0.05,2,13,4,3,1,8,193,175,11,3,0,0,0.0,0.0,0.0,0,0.0,0.35,0.0,2.82,68.12,61.76,3.88,1.06,0.0,0.0,0.71,4.59,1.41,1.06,0.35,0.0,0.02,0.02,0.02
24,3011,Defender,Serie A,Y. Mina,Cagliari,32,2576,0,26.0,8,1,2.34,2.32,0.66,65,155,37,97,7,220,1384,1190,135,1,1,4,0.0,0.03,0.0,1,0.03,0.91,0.28,7.69,48.35,41.58,4.72,0.03,0.03,0.14,2.27,5.42,1.29,3.39,0.24,0.0,0.08,0.08,0.02
25,3012,Defender,Serie A,T. Ebuehi,Empoli,9,74,0,0.0,0,0,0.0,0.0,0.06,3,0,2,3,0,9,28,18,1,2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.95,34.05,21.89,1.22,2.43,0.0,0.0,3.65,0.0,2.43,3.65,0.0,0.0,0.0,0.0,0.07
26,3013,Defender,Serie A,G. Mancini,Roma,37,3144,0,22.0,7,2,1.66,1.66,0.75,42,99,35,61,4,137,1908,1664,205,33,1,14,0.0,0.06,0.0,2,0.06,0.63,0.2,3.92,54.62,47.63,5.87,0.94,0.03,0.4,1.2,2.83,1.0,1.75,0.11,0.0,0.05,0.05,0.02
27,3014,Defender,Serie A,F. Tomori,Milan,37,1611,1,2.0,0,0,0.08,0.08,0.76,40,56,20,28,0,78,1069,993,65,6,1,8,0.0,0.0,0.06,1,0.06,0.11,0.0,4.36,59.72,55.47,3.63,0.34,0.06,0.45,2.23,3.13,1.12,1.56,0.0,0.0,0.0,0.0,0.04
28,3015,Defender,Serie A,A. Martín,Genoa,37,3088,8,16.0,4,0,0.89,0.93,6.09,71,65,19,20,5,131,1169,948,168,256,8,65,0.0,0.0,0.23,8,0.23,0.47,0.12,3.82,34.07,27.63,4.9,7.46,0.23,1.89,2.07,1.89,0.55,0.58,0.15,0.0,0.03,0.03,0.18
