,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
24,1965,Defender,Liga Portugal 2,D. Spencer,Benfica B U21,4,165,0,1.0,0,0,2,3,0,0,0,3,60,45,8,5,0,1,0.0,0.0,0.0,0,0.0,0.55,0.0,1.64,32.73,24.55,4.36,2.73,0.0,0.55,1.09,1.64,0.0,0.0,0.0,0.0
25,1966,Defender,Liga Portugal 2,I. Milioransa,Académico Viseu FC,4,214,1,3.0,0,0,1,4,4,2,0,8,76,52,12,8,1,6,0.0,0.0,0.42,1,0.42,1.26,0.0,3.36,31.96,21.87,5.05,3.36,0.42,2.52,0.42,1.68,1.68,0.84,0.0,0.0
26,1967,Defender,Liga Portugal 2,EFE. Fernandes,Feirense,6,316,1,3.0,0,0,7,24,4,9,1,20,144,115,36,2,0,3,0.0,0.0,0.28,1,0.28,0.85,0.0,5.7,41.01,32.75,10.25,0.57,0.0,0.85,1.99,6.84,1.14,2.56,0.28,0.0
29,1970,Defender,Liga Portugal 2,A. Ribeiro,FC Porto B,4,341,0,1.0,0,0,6,14,4,5,1,12,207,179,37,2,0,0,0.0,0.0,0.0,0,0.0,0.26,0.0,3.17,54.63,47.24,9.77,0.53,0.0,0.0,1.58,3.7,1.06,1.32,0.26,0.0
30,1971,Defender,Liga Portugal 2,L. Gomes,FC Porto B,5,110,0,1.0,0,0,2,11,0,2,0,4,63,46,20,0,0,0,0.0,0.0,0.0,0,0.0,0.82,0.0,3.27,51.55,37.64,16.36,0.0,0.0,0.0,1.64,9.0,0.0,1.64,0.0,0.0
32,1973,Defender,Liga Portugal 2,D. Rodrigues,FC Porto B,4,237,0,3.0,2,0,2,2,0,1,1,6,80,50,20,23,1,5,0.0,0.0,0.0,0,0.0,1.14,0.76,2.28,30.38,18.99,7.59,8.73,0.38,1.9,0.76,0.76,0.0,0.38,0.38,0.0
34,1975,Defender,Liga Portugal 2,J. Lomboto,Rio Ave,4,283,0,0.0,0,0,4,21,5,7,0,13,103,80,14,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.13,32.76,25.44,4.45,0.0,0.0,0.0,1.27,6.68,1.59,2.23,0.0,0.0
37,1978,Defender,Liga Portugal 2,B. Junior,CD Mafra,4,335,0,1.0,0,0,5,7,5,3,0,18,115,82,24,18,0,3,0.0,0.0,0.0,0,0.0,0.27,0.0,4.84,30.9,22.03,6.45,4.84,0.0,0.81,1.34,1.88,1.34,0.81,0.0,0.0
38,1979,Defender,Liga Portugal 2,K. Henrique,FC Porto B,5,286,1,0.0,0,0,2,4,2,0,0,6,102,82,16,4,0,2,0.0,0.0,0.31,1,0.31,0.0,0.0,1.89,32.1,25.8,5.03,1.26,0.0,0.63,0.63,1.26,0.63,0.0,0.0,0.0
40,1981,Defender,Liga Portugal 2,A. Silva,SC Farense,3,205,0,0.0,0,0,3,10,0,2,0,7,105,91,12,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.07,46.1,39.95,5.27,0.0,0.0,0.0,1.32,4.39,0.0,0.88,0.0,0.0
42,1983,Forward,Liga Portugal 2,Z. Manuel,Varzim SC,4,292,0,7.0,3,0,0,3,1,1,1,7,60,37,0,2,0,4,0.0,0.0,0.0,0,0.0,2.16,0.92,2.16,18.49,11.4,0.0,0.62,0.0,1.23,0.0,0.92,0.31,0.31,0.31,0.0
43,1984,Forward,Liga Portugal 2,R. Valente,Leixões SC,4,249,0,3.0,2,0,2,3,0,4,0,10,52,37,3,0,0,0,0.0,0.0,0.0,0,0.0,1.08,0.72,3.61,18.8,13.37,1.08,0.0,0.0,0.0,0.72,1.08,0.0,1.45,0.0,0.0
44,1985,Forward,Liga Portugal 2,Xavier,Académica Coimbra,4,108,0,2.0,1,0,1,2,0,0,1,3,22,17,3,6,0,1,0.0,0.0,0.0,0,0.0,1.67,0.83,2.5,18.33,14.17,2.5,5.0,0.0,0.83,0.83,1.67,0.0,0.0,0.83,0.0
46,1987,Forward,Liga Portugal 2,R. Alves,Penafiel,5,344,0,8.0,4,2,6,1,1,0,0,19,135,106,10,15,0,5,0.0,0.52,0.0,2,0.52,2.09,1.05,4.97,35.32,27.73,2.62,3.92,0.0,1.31,1.57,0.26,0.26,0.0,0.0,0.0
