,Position,League,Name,Team,playerProfile,Category,Score
851,Midfielder,LaLiga 2,RGR. González,Real Zaragoza,Defensive Midfielder,Assisting,51.78
852,Midfielder,LaLiga 2,A. Puigmal,Almería,Attacking Midfielder,Assisting,91.97
853,Midfielder,LaLiga 2,P. Nolaskoain,Eibar,Defensive Midfielder,Assisting,33.29
854,Midfielder,LaLiga 2,O. Sielva,Huesca,Defensive Midfielder,Assisting,49.36
855,Midfielder,LaLiga 2,M. Atienza,Burgos Club de Fútbol,Defensive Midfielder,Assisting,21.56
856,Midfielder,LaLiga 2,J. Martínez,Eibar,Defensive Midfielder,Assisting,53.67
857,Midfielder,LaLiga 2,I. Baba,Almería,Defensive Midfielder,Assisting,23.88
858,Midfielder,LaLiga 2,H. Hassan,Real Oviedo,Attacking Midfielder,Assisting,76.51
859,Midfielder,LaLiga 2,R. Marchán,AD Alcorcón,Defensive Midfielder,Assisting,23.02
860,Midfielder,LaLiga 2,J. Morcillo,Almería,Attacking Midfielder,Assisting,90.01
861,Midfielder,LaLiga 2,J. Mier,Huesca,Defensive Midfielder,Assisting,37.74
862,Midfielder,LaLiga 2,Á. Cantero,Huesca,Attacking Midfielder,Assisting,85.38
863,Midfielder,LaLiga 2,D. Lopy,Almería,Defensive Midfielder,Assisting,54.24
864,Midfielder,LaLiga 2,N. Melamed,Almería,Attacking Midfielder,Assisting,75.96
865,Midfielder,LaLiga 2,R. Enríquez,Málaga,Defensive Midfielder,Assisting,50.68
866,Midfielder,LaLiga 2,S. Arribas,Almería,Attacking Midfielder,Assisting,81.19
867,Midfielder,LaLiga 2,C. Dotor,Málaga,Defensive Midfielder,Assisting,23.42
868,Midfielder,LaLiga 2,F. Serrano,Real Zaragoza,Defensive Midfielder,Assisting,55.55
869,Midfielder,LaLiga 2,D. Larrubia,Málaga,Defensive Midfielder,Assisting,56.53
870,Midfielder,LaLiga 2,I. Chaira,Real Oviedo,Attacking Midfielder,Assisting,69.2
871,Midfielder,LaLiga 2,V. Meseguer,Real Valladolid,Defensive Midfielder,Assisting,40.93
872,Midfielder,LaLiga 2,J. Martín,Huesca,Defensive Midfielder,Assisting,36.53
873,Midfielder,LaLiga 2,I. Gil,Las Palmas,Attacking Midfielder,Assisting,87.29
874,Midfielder,LaLiga 2,D. Luna,Huesca,Defensive Midfielder,Assisting,45.36
875,Midfielder,LaLiga 2,G. Campos,Sporting Gijón,Attacking Midfielder,Assisting,69.57
876,Midfielder,LaLiga 2,Á. Cardero,Mirandés,Attacking Midfielder,Assisting,68.21
877,Midfielder,LaLiga 2,J. Guruzeta,Eibar,Attacking Midfielder,Assisting,84.49
878,Midfielder,LaLiga 2,M. Lachuer,Real Valladolid,Attacking Midfielder,Assisting,62.11
879,Midfielder,LaLiga 2,D. González,Burgos Club de Fútbol,Attacking Midfielder,Assisting,73.99
880,Midfielder,LaLiga 2,N. García,Leganés,Attacking Midfielder,Assisting,62.59
881,Midfielder,LaLiga 2,J. Magunazelaia,Eibar,Defensive Midfielder,Assisting,36.03
882,Midfielder,LaLiga 2,I. Martín,Sporting Gijón,Defensive Midfielder,Assisting,52.28
883,Midfielder,LaLiga 2,D. Lorenzo,Málaga,Defensive Midfielder,Assisting,32.7
884,Midfielder,LaLiga 2,S. Clúa,Mirandés,Defensive Midfielder,Assisting,18.08
885,Midfielder,LaLiga 2,A. Madariaga,Eibar,Defensive Midfielder,Assisting,41.04
886,Midfielder,LaLiga 2,A. Ochoa,Málaga,Defensive Midfielder,Assisting,53.35
887,Midfielder,LaLiga 2,A. Martín,Mirandés,Defensive Midfielder,Assisting,50.22
888,Defender,Liga Portugal 2,R. Alves,Chaves,Centerback,Assisting,33.02
889,Defender,Liga Portugal 2,R. Rossi,CD Mafra,Centerback,Assisting,37.74
890,Defender,Liga Portugal 2,Carraça,Chaves,Fullback,Assisting,77.26
891,Defender,Liga Portugal 2,A. Correia,Académico Viseu FC,Centerback,Assisting,85.53
892,Defender,Liga Portugal 2,B. Rodrigues,Chaves,Centerback,Assisting,33.02
893,Forward,Liga Portugal 2,T. Monteiro,Rio Ave,Target Man,Assisting,48.01
894,Goalkeeper,Liga Portugal 2,Vozinha,Chaves,Sweeper Keeper,Assisting,0.0
895,Goalkeeper,Liga Portugal 2,M. Fraisl,CD Mafra,Shot Stopper,Assisting,0.0
896,Goalkeeper,Liga Portugal 2,G. Tabuaço,Leixões SC,Sweeper Keeper,Assisting,0.0
897,Goalkeeper,Liga Portugal 2,G. Ribeiro,FC Porto B,All-round Goalkeeper,Assisting,0.0
898,Midfielder,Liga Portugal 2,M. Paulo,Académica Coimbra,Defensive Midfielder,Assisting,32.55
899,Defender,Ligue 2,V. Sasso,USL Dunkerque,Centerback,Assisting,45.98
900,Defender,Ligue 2,Abner,USL Dunkerque,Fullback,Assisting,85.22
901,Defender,Ligue 2,G. Paquiez,Grenoble Foot 38,Fullback,Assisting,65.08
902,Defender,Ligue 2,P. Lemonnier,Guingamp,Centerback,Assisting,31.23
903,Defender,Ligue 2,Y. Salmier,Le Havre,Centerback,Assisting,44.22
904,Defender,Ligue 2,F. Bohnert,Bastia,Fullback,Assisting,54.84
905,Defender,Ligue 2,A. Georgen,USL Dunkerque,Fullback,Assisting,55.73
906,Defender,Ligue 2,J. Ruiz,Pau FC,Centerback,Assisting,62.49
907,Defender,Ligue 2,O. Sangante,USL Dunkerque,Centerback,Assisting,31.23
908,Defender,Ligue 2,T. De Smet,Paris FC,Fullback,Assisting,82.89
909,Defender,Ligue 2,A. Hakim Abdallah,Guingamp,Fullback,Assisting,97.58
910,Defender,Ligue 2,G. Akueson,Bastia,Centerback,Assisting,26.73
911,Defender,Ligue 2,O. Kanté,Pau FC,Centerback,Assisting,26.73
912,Defender,Ligue 2,D. Guidi,Bastia,Centerback,Assisting,35.99
913,Defender,Ligue 2,C. Vidal,Grenoble Foot 38,Centerback,Assisting,26.73
914,Defender,Ligue 2,A. Sissoko,Guingamp,Fullback,Assisting,54.84
915,Defender,Ligue 2,A. Roncaglia,Bastia,Centerback,Assisting,37.32
916,Defender,Ligue 2,M. Mbow,Paris FC,Centerback,Assisting,26.73
917,Defender,Ligue 2,S. Muzalimoja Mambo,Grenoble Foot 38,Centerback,Assisting,81.53
918,Defender,Ligue 2,S. Delos,Grenoble Foot 38,Fullback,Assisting,87.2
919,Defender,Ligue 2,A. Tchaptchet,Grenoble Foot 38,Centerback,Assisting,26.73
920,Defender,Ligue 2,L. Mouyokolo,Grenoble Foot 38,Centerback,Assisting,32.6
921,Defender,Ligue 2,D. Gomis,Guingamp,Centerback,Assisting,43.39
922,Defender,Ligue 2,J. Gaudin,Paris FC,Fullback,Assisting,87.76
923,Defender,Ligue 2,M. Xantippe,Grenoble Foot 38,Fullback,Assisting,81.89
924,Defender,Ligue 2,Y. Koré,Paris FC,Centerback,Assisting,33.74
925,Defender,Ligue 2,N. Galves,Rodez AF,Fullback,Assisting,62.11
926,Defender,Ligue 2,L. Sy,Auxerre,Fullback,Assisting,47.9
927,Defender,Ligue 2,Z. Ariss,Bastia,Fullback,Assisting,56.49
928,Defender,Ligue 2,S. Nair,Guingamp,Centerback,Assisting,35.72
929,Defender,Ligue 2,T. Meynadier,Bastia,Fullback,Assisting,40.07
930,Defender,Ligue 2,S. Bakayoko,Amiens SC,Centerback,Assisting,26.73
931,Defender,Ligue 2,J. Kalulu Kyatengwa,Pau FC,Fullback,Assisting,59.89
932,Forward,Ligue 2,G. Courtet,Valenciennes,Target Man,Assisting,80.55
933,Forward,Ligue 2,A. Kanté,USL Dunkerque,Target Man,Assisting,50.52
934,Forward,Ligue 2,A. Gory,Paris FC,Creative Forward,Assisting,77.38
935,Forward,Ligue 2,L. Mafouta,Guingamp,Target Man,Assisting,69.71
936,Forward,Ligue 2,P. Hamel,Paris FC,Target Man,Assisting,33.95
937,Forward,Ligue 2,K. Djoco,Sochaux,Target Man,Assisting,25.63
938,Forward,Ligue 2,J. Krasso,Paris FC,Target Man,Assisting,77.7
939,Forward,Ligue 2,Y. Diaby,Grenoble Foot 38,Target Man,Assisting,73.69
940,Forward,Ligue 2,I. Baldé,Rodez AF,Target Man,Assisting,71.99
941,Forward,Ligue 2,A. Hemia,Guingamp,Creative Forward,Assisting,91.88
942,Goalkeeper,Ligue 2,J. Placide,Bastia,All-round Goalkeeper,Assisting,0.0
943,Goalkeeper,Ligue 2,A. Ortolá,Guingamp,All-round Goalkeeper,Assisting,0.0
944,Goalkeeper,Ligue 2,E. Basilio,Nancy,All-round Goalkeeper,Assisting,0.0
945,Goalkeeper,Ligue 2,A. Mandrea,Caen,All-round Goalkeeper,Assisting,0.0
946,Goalkeeper,Ligue 2,M. Diaw,Le Havre,All-round Goalkeeper,Assisting,0.0
947,Goalkeeper,Ligue 2,L. M'Pasi,Le Havre,All-round Goalkeeper,Assisting,0.0
948,Goalkeeper,Ligue 2,O. Nkambadio,Paris FC,All-round Goalkeeper,Assisting,0.0
949,Goalkeeper,Ligue 2,M. Diop,Grenoble Foot 38,Shot Stopper,Assisting,0.0
950,Midfielder,Ligue 2,Y. M'Vila,Caen,Defensive Midfielder,Assisting,31.14
951,Midfielder,Ligue 2,M. Barreto,Dijon,Attacking Midfielder,Assisting,92.05
952,Midfielder,Ligue 2,T. Monconduit,Amiens SC,Defensive Midfielder,Assisting,22.67
953,Midfielder,Ligue 2,C. Vincent,Bastia,Attacking Midfielder,Assisting,32.55
954,Midfielder,Ligue 2,O. Orinel,Nîmes Olympique,Defensive Midfielder,Assisting,53.74
955,Midfielder,Ligue 2,J. Eickmayer,Bastia,Defensive Midfielder,Assisting,22.82
956,Midfielder,Ligue 2,M. López,Paris FC,Attacking Midfielder,Assisting,95.73
957,Midfielder,Ligue 2,Y. Demoncy,Guingamp,Attacking Midfielder,Assisting,80.44
958,Midfielder,Ligue 2,D. Louiserre,Guingamp,Defensive Midfielder,Assisting,26.3
959,Midfielder,Ligue 2,J. Benet,Grenoble Foot 38,Attacking Midfielder,Assisting,68.11
960,Midfielder,Ligue 2,V. Marchetti,Paris FC,Attacking Midfielder,Assisting,77.64
961,Midfielder,Ligue 2,M. Cafaro,Paris FC,Attacking Midfielder,Assisting,87.65
962,Midfielder,Ligue 2,A. Leautey,Amiens SC,Attacking Midfielder,Assisting,72.38
963,Midfielder,Ligue 2,J. Anziani,Pau FC,Attacking Midfielder,Assisting,71.74
964,Midfielder,Ligue 2,S. Beusnard,Pau FC,Defensive Midfielder,Assisting,56.38
965,Midfielder,Ligue 2,K. Kaiboue,Amiens SC,Defensive Midfielder,Assisting,46.29
966,Midfielder,Ligue 2,V. Lobry,Amiens SC,Defensive Midfielder,Assisting,67.05
967,Midfielder,Ligue 2,K. Sidibé,Guingamp,Defensive Midfielder,Assisting,53.2
968,Midfielder,Ligue 2,G. Kyeremeh,Le Havre,Attacking Midfielder,Assisting,86.08
969,Midfielder,Ligue 2,A. Boutrah,Bastia,Defensive Midfielder,Assisting,68.59
970,Midfielder,Ligue 2,T. Ducrocq,Bastia,Attacking Midfielder,Assisting,78.07
971,Midfielder,Ligue 2,E. Bardeli,USL Dunkerque,Attacking Midfielder,Assisting,93.96
972,Midfielder,Ligue 2,K. Diawara,Le Havre,Attacking Midfielder,Assisting,54.43
973,Midfielder,Ligue 2,F. Doucouré,Le Havre,Defensive Midfielder,Assisting,32.35
974,Midfielder,Ligue 2,W. Younoussa,Rodez AF,Defensive Midfielder,Assisting,70.44
975,Midfielder,Ligue 2,I. Kebbal,Paris FC,Attacking Midfielder,Assisting,95.63
976,Midfielder,Ligue 2,D. Gaucho,Caen,Defensive Midfielder,Assisting,47.33
977,Midfielder,Ligue 2,S. Belloumou,Valenciennes,Defensive Midfielder,Assisting,23.42
978,Midfielder,Ligue 2,N. Kandil,Amiens SC,Attacking Midfielder,Assisting,61.71
979,Midfielder,Ligue 2,J. Janneh,Bastia,Defensive Midfielder,Assisting,28.92
980,Midfielder,Ligue 2,R. Lutin,Amiens SC,Defensive Midfielder,Assisting,51.77
981,Midfielder,Ligue 2,I. Fofana,Amiens SC,Defensive Midfielder,Assisting,28.36
982,Midfielder,Ligue 2,A. Ipiele,Valenciennes,Attacking Midfielder,Assisting,80.54
983,Midfielder,Ligue 2,A. Camara,Paris FC,Defensive Midfielder,Assisting,41.36
984,Defender,Premiership,C. Robertson,Dundee FC,Centerback,Assisting,34.28
985,Defender,Premiership,J. Tavernier,Rangers,Fullback,Assisting,97.4
986,Defender,Premiership,M. Fraser,St. Mirren,Fullback,Assisting,77.1
987,Defender,Premiership,J. Obita,Hibernian,Fullback,Assisting,92.2
988,Defender,Premiership,S. Kingsley,Heart of Midlothian,Centerback,Assisting,42.86
989,Defender,Premiership,K. Holt,Dundee United,Centerback,Assisting,72.25
990,Defender,Premiership,S. O'Donnell,Motherwell,Centerback,Assisting,76.81
991,Defender,Premiership,SFS. Findlay,Heart of Midlothian,Centerback,Assisting,41.71
992,Defender,Premiership,P. McGinn,Motherwell,Centerback,Assisting,42.36
993,Defender,Premiership,D. Gallagher,Ross County,Centerback,Assisting,59.09
994,Defender,Premiership,D. Wright,Dundee FC,Fullback,Assisting,71.12
995,Defender,Premiership,J. Souttar,Rangers,Centerback,Assisting,36.68
996,Defender,Premiership,J. McGhee,Motherwell,Centerback,Assisting,46.38
997,Defender,Premiership,L. Gordon,Motherwell,Centerback,Assisting,59.75
998,Defender,Premiership,F. Kent,Heart of Midlothian,Centerback,Assisting,36.91
999,Defender,Premiership,B. Mikulić,St. Johnstone,Centerback,Assisting,31.76
1000,Defender,Premiership,J. McCart,Heart of Midlothian,Centerback,Assisting,30.73
1001,Defender,Premiership,C. Halkett,Heart of Midlothian,Centerback,Assisting,37.02
1002,Defender,Premiership,N. Devlin,Aberdeen,Centerback,Assisting,35.5
1003,Defender,Premiership,A. Wright,Ross County,Centerback,Assisting,56.52
1004,Defender,Premiership,D. Sterling,Rangers,Centerback,Assisting,42.93
1005,Defender,Premiership,M. Knoester,Aberdeen,Centerback,Assisting,70.75
1006,Defender,Premiership,C. Carter-Vickers,Celtic,Centerback,Assisting,38.48
1007,Defender,Premiership,A. Trusty,Celtic,Centerback,Assisting,57.64
1008,Defender,Premiership,A. Iacovitti,Ross County,Centerback,Assisting,36.68
1009,Defender,Premiership,A. Ralston,Celtic,Fullback,Assisting,94.84
1010,Defender,Premiership,L. Scales,Celtic,Centerback,Assisting,78.08
1011,Defender,Premiership,K. Tobers,Aberdeen,Centerback,Assisting,26.73
1012,Defender,Premiership,A. Gogić,St. Mirren,Centerback,Assisting,50.77
1013,Defender,Premiership,R. Bushiri Kiranga,Hibernian,Centerback,Assisting,56.04
1014,Defender,Premiership,J. Iredale,Hibernian,Centerback,Assisting,67.82
1015,Defender,Premiership,M. Steinwender,Heart of Midlothian,Centerback,Assisting,31.23
1016,Defender,Premiership,W. O'Hora,Hibernian,Centerback,Assisting,47.77
1017,Defender,Premiership,A. Johnston,Celtic,Fullback,Assisting,96.87
1018,Defender,Premiership,R. Astley,Dundee FC,Centerback,Assisting,66.36
1019,Defender,Premiership,G. Molloy,Aberdeen,Centerback,Assisting,26.73
1020,Defender,Premiership,R. Graham,Dundee United,Centerback,Assisting,34.28
1021,Defender,Premiership,B. Koumetio,Dundee FC,Centerback,Assisting,41.94
1022,Defender,Premiership,T. Sparrow,Motherwell,Fullback,Assisting,77.79
1023,Defender,Premiership,A. Jensen,Aberdeen,Fullback,Assisting,92.03
1024,Defender,Premiership,A. Donnelly,Dundee FC,Centerback,Assisting,51.26
1025,Defender,Premiership,Z. Mitchell,Hibernian,Centerback,Assisting,26.73
1026,Forward,Premiership,J. White,Ross County,Target Man,Assisting,28.3
1027,Forward,Premiership,M. Boyle,Hibernian,Creative Forward,Assisting,79.21
1028,Forward,Premiership,D. Gayle,Hibernian,Creative Forward,Assisting,81.47
1029,Forward,Premiership,L. Shankland,Heart of Midlothian,Creative Forward,Assisting,86.96
1030,Forward,Premiership,C. McMenamin,St. Mirren,Target Man,Assisting,63.72
1031,Forward,Premiership,M. Mandron,St. Mirren,Target Man,Assisting,72.28
1032,Forward,Premiership,S. Murray,Dundee FC,Target Man,Assisting,52.17
1033,Forward,Premiership,D. Maeda,Celtic,Creative Forward,Assisting,84.95
1034,Forward,Premiership,J. Ayunga,St. Mirren,Target Man,Assisting,73.4
1035,Forward,Premiership,T. Olusanya,Aberdeen,Target Man,Assisting,52.09
1036,Forward,Premiership,E. Kabangu,Heart of Midlothian,Target Man,Assisting,55.99
1037,Forward,Premiership,Jota,Celtic,Creative Forward,Assisting,92.72
1038,Forward,Premiership,K. Phillips,Ross County,Target Man,Assisting,60.47
1039,Forward,Premiership,Z. Robinson,Motherwell,Target Man,Assisting,25.31
1040,Forward,Premiership,T. Maswanhise,Motherwell,Target Man,Assisting,60.05
1041,Forward,Premiership,Y. Hyun-Jun,Celtic,Creative Forward,Assisting,82.38
1042,Forward,Premiership,MTM. Thomson,Ross County,Target Man,Assisting,45.65
1043,Goalkeeper,Premiership,K. Schmeichel,Celtic,All-round Goalkeeper,Assisting,0.0
1044,Goalkeeper,Premiership,C. Gordon,Heart of Midlothian,All-round Goalkeeper,Assisting,0.0
1045,Goalkeeper,Premiership,T. Carson,Ross County,Shot Stopper,Assisting,0.0
1046,Goalkeeper,Premiership,J. Butland,Rangers,All-round Goalkeeper,Assisting,0.0
1047,Goalkeeper,Premiership,R. Laidlaw,Ross County,Shot Stopper,Assisting,0.0
1048,Goalkeeper,Premiership,L. Kelly,Rangers,Sweeper Keeper,Assisting,0.0
1049,Goalkeeper,Premiership,KOK. O'Hara,Dundee FC,Shot Stopper,Assisting,0.0
1050,Goalkeeper,Premiership,D. Mitov,Aberdeen,Sweeper Keeper,Assisting,0.0
1051,Goalkeeper,Premiership,J. Smith,Hibernian,Shot Stopper,Assisting,0.0
1052,Goalkeeper,Premiership,R. Doohan,Celtic,All-round Goalkeeper,Assisting,0.0
1053,Goalkeeper,Premiership,J. McCracken,Dundee FC,Shot Stopper,Assisting,0.0
1054,Goalkeeper,Premiership,R. Sinclair,St. Johnstone,Sweeper Keeper,Assisting,0.0
1055,Midfielder,Premiership,A. Halliday,Motherwell,Defensive Midfielder,Assisting,54.66
1056,Midfielder,Premiership,G. Shinnie,Aberdeen,Defensive Midfielder,Assisting,60.38
1057,Midfielder,Premiership,J. Forrest,Celtic,Attacking Midfielder,Assisting,97.55
1058,Midfielder,Premiership,C. McGregor,Celtic,Attacking Midfielder,Assisting,59.26
1059,Midfielder,Premiership,J. Holt,St. Johnstone,Defensive Midfielder,Assisting,31.71
1060,Midfielder,Premiership,J. Newell,Hibernian,Defensive Midfielder,Assisting,34.92
1061,Midfielder,Premiership,C. Sibbald,Dundee United,Defensive Midfielder,Assisting,46.29
1062,Midfielder,Premiership,D. John,St. Mirren,Attacking Midfielder,Assisting,56.25
1063,Midfielder,Premiership,LDL. Donnelly,St. Mirren,Defensive Midfielder,Assisting,56.02
1064,Midfielder,Premiership,M. O'Hara,St. Mirren,Defensive Midfielder,Assisting,59.11
1065,Midfielder,Premiership,S. Tanser,St. Mirren,Attacking Midfielder,Assisting,68.97
1066,Midfielder,Premiership,N. Cadden,Hibernian,Attacking Midfielder,Assisting,95.44
1067,Midfielder,Premiership,C. Cadden,Hibernian,Defensive Midfielder,Assisting,49.48
1068,Midfielder,Premiership,C. Randall,Ross County,Defensive Midfielder,Assisting,24.23
1069,Midfielder,Premiership,J. McGrath,Hibernian,Attacking Midfielder,Assisting,90.89
1070,Midfielder,Premiership,N. Bajrami,Rangers,Attacking Midfielder,Assisting,74.39
1071,Midfielder,Premiership,R. Docherty,Ross County,Defensive Midfielder,Assisting,25.29
1072,Midfielder,Premiership,A. Forrest,Heart of Midlothian,Attacking Midfielder,Assisting,74.71
1073,Midfielder,Premiership,R. Strain,Dundee United,Attacking Midfielder,Assisting,79.78
1074,Midfielder,Premiership,W. Ferry,Dundee United,Defensive Midfielder,Assisting,77.69
1075,Midfielder,Premiership,N. Raskin,Rangers,Defensive Midfielder,Assisting,79.96
1076,Midfielder,Premiership,R. Hatate,Celtic,Attacking Midfielder,Assisting,83.55
1077,Midfielder,Premiership,E. Bwomono,Aberdeen,Defensive Midfielder,Assisting,59.56
1078,Midfielder,Premiership,A. Palaversa,Aberdeen,Defensive Midfielder,Assisting,60.15
1079,Midfielder,Premiership,B. Baningime,Heart of Midlothian,Defensive Midfielder,Assisting,47.83
1080,Midfielder,Premiership,C. Slattery,Motherwell,Attacking Midfielder,Assisting,61.74
1081,Midfielder,Premiership,Y. Dhanda,Dundee FC,Attacking Midfielder,Assisting,75.3
1082,Midfielder,Premiership,T. Elie Youan,Hibernian,Attacking Midfielder,Assisting,66.89
1083,Midfielder,Premiership,L. McCowan,Celtic,Attacking Midfielder,Assisting,97.1
1084,Midfielder,Premiership,K. Trapanovski,Dundee United,Attacking Midfielder,Assisting,61.22
1085,Midfielder,Premiership,M. Sylla,Livingston,Defensive Midfielder,Assisting,21.56
1086,Midfielder,Premiership,C. Devlin,Heart of Midlothian,Defensive Midfielder,Assisting,46.28
1087,Midfielder,Premiership,N. Chilvers,Ross County,Attacking Midfielder,Assisting,81.61
1088,Midfielder,Premiership,V. Ševelj,Dundee United,Defensive Midfielder,Assisting,51.07
1089,Midfielder,Premiership,J. Campbell,Hibernian,Defensive Midfielder,Assisting,50.02
1090,Midfielder,Premiership,R. Idowu,St. Mirren,Attacking Midfielder,Assisting,61.72
1091,Midfielder,Premiership,P. Bernardo,Celtic,Attacking Midfielder,Assisting,89.61
1092,Midfielder,Premiership,F. Robertson,Dundee FC,Attacking Midfielder,Assisting,79.17
1093,Midfielder,Premiership,L. Cameron,Rangers,Attacking Midfielder,Assisting,79.99
1094,Midfielder,Premiership,J. Mulligan,Hibernian,Defensive Midfielder,Assisting,73.86
1095,Midfielder,Premiership,C. Barron,Rangers,Defensive Midfielder,Assisting,35.48
1096,Midfielder,Premiership,A. Engels,Celtic,Attacking Midfielder,Assisting,92.01
1097,Midfielder,Premiership,M. Diomande,Rangers,Attacking Midfielder,Assisting,79.87
1098,Midfielder,Premiership,T. Keskinen,Aberdeen,Attacking Midfielder,Assisting,63.89
1099,Midfielder,Premiership,B. Spittal,Heart of Midlothian,Attacking Midfielder,Assisting,84.16
1100,Midfielder,Premiership,K. Fotheringham,St. Johnstone,Defensive Midfielder,Assisting,21.0
1101,Midfielder,Premiership,A. Denholm,Livingston,Defensive Midfielder,Assisting,67.6
1102,Midfielder,Premiership,R. Allan Molotnikov,Hibernian,Defensive Midfielder,Assisting,23.02
1103,Midfielder,Premiership,K. Andrews,Hibernian,Defensive Midfielder,Assisting,20.8
1104,Defender,Serie B,A. Caracciolo,Pisa,Centerback,Assisting,39.52
1105,Defender,Serie B,A. Salvi,Cittadella,Centerback,Assisting,74.26
1106,Defender,Serie B,P. Rozzio,Reggiana,Centerback,Assisting,35.99
1107,Defender,Serie B,F. Ceccherini,Cremonese,Centerback,Assisting,68.19
1108,Defender,Serie B,M. Sampirisi,Reggiana,Centerback,Assisting,46.23
1109,Defender,Serie B,M. Bianchetti,Cremonese,Centerback,Assisting,68.65
1110,Defender,Serie B,S. Scognamillo,Benevento,Centerback,Assisting,68.84
1111,Defender,Serie B,CAC. Andreoni,Crotone,Fullback,Assisting,54.76
1112,Defender,Serie B,A. Calabresi,Pisa,Centerback,Assisting,64.12
1113,Defender,Serie B,F. Vicari,Reggiana,Centerback,Assisting,34.28
1114,Defender,Serie B,A. Redolfi,Cittadella,Centerback,Assisting,30.24
1115,Defender,Serie B,N. Pavan,Cittadella,Centerback,Assisting,35.5
1116,Defender,Serie B,L. Libutti,Reggiana,Centerback,Assisting,64.88
1117,Defender,Serie B,G. Ricci,Benevento,Fullback,Assisting,59.28
1118,Defender,Serie B,R. Marchizza,Frosinone,Fullback,Assisting,86.33
1119,Defender,Serie B,L. Ravanelli,Monza,Centerback,Assisting,69.23
1120,Defender,Serie B,V. Antov,Monza,Centerback,Assisting,43.65
1121,Defender,Serie B,G. Altare,Pescara,Centerback,Assisting,30.43
1122,Defender,Serie B,S. Canestrelli,Pisa,Centerback,Assisting,62.36
1123,Defender,Serie B,A. Caporale,Cosenza,Centerback,Assisting,62.48
1124,Defender,Serie B,L. Lucchesi,Monza,Centerback,Assisting,40.92
1125,Defender,Serie B,I. Monterisi,Frosinone,Centerback,Assisting,42.11
1126,Defender,Serie B,A. Papetti,Reggiana,Centerback,Assisting,68.93
1127,Defender,Serie B,M. Angeli,Cittadella,Centerback,Assisting,39.15
1128,Defender,Serie B,A. Oyono,Frosinone,Fullback,Assisting,64.42
1129,Defender,Serie B,F. D'Alessio,Cittadella,Fullback,Assisting,78.32
1130,Defender,Serie B,B. Cimino,Cosenza,Fullback,Assisting,92.08
1131,Defender,Serie B,G. Bracaglia,Frosinone,Centerback,Assisting,37.32
1132,Defender,Serie B,F. Folino,Cremonese,Centerback,Assisting,33.74
1133,Defender,Serie B,M. Lusuardi,Reggiana,Centerback,Assisting,30.58
1134,Forward,Serie B,L. Strizzolo,Cosenza,Target Man,Assisting,82.64
1135,Forward,Serie B,F. Galuppini,Ascoli,Target Man,Assisting,69.58
1136,Forward,Serie B,F. Bonazzoli,Cremonese,Target Man,Assisting,57.88
1137,Forward,Serie B,S. Moreo,Pisa,Target Man,Assisting,79.37
1138,Forward,Serie B,A. Novakovich,Reggiana,Target Man,Assisting,77.15
1139,Forward,Serie B,C. Gondo,Reggiana,Target Man,Assisting,56.26
1140,Forward,Serie B,M. Ravasio,Cittadella,Target Man,Assisting,81.34
1141,Forward,Serie B,M. Tramoni,Pisa,Creative Forward,Assisting,76.49
1142,Forward,Serie B,L. Sgarbi,Pescara,Creative Forward,Assisting,94.01
1143,Forward,Serie B,C. Kouan,Benevento,Target Man,Assisting,56.49
1144,Forward,Serie B,F. Tsadjout,Pescara,Target Man,Assisting,50.47
1145,Forward,Serie B,G. Caso,Monza,Target Man,Assisting,73.48
1146,Forward,Serie B,T. Fumagalli,Reggiana,Creative Forward,Assisting,72.46
1147,Forward,Serie B,M. Zilli,Frosinone,Target Man,Assisting,60.16
1148,Forward,Serie B,S. Rabbi,Cittadella,Target Man,Assisting,59.01
1149,Forward,Serie B,A. Raimondo,Frosinone,Target Man,Assisting,25.16
1150,Forward,Serie B,F. Russo,Virtus Entella,Target Man,Assisting,58.43
1151,Forward,Serie B,G. Kvernadze,Frosinone,Creative Forward,Assisting,85.42
1152,Forward,Serie B,H. Wendel Meister,Pisa,Target Man,Assisting,25.0
1153,Forward,Serie B,M. Maggio,Crotone,Creative Forward,Assisting,71.52
1154,Forward,Serie B,F. Ghedjemis,Frosinone,Target Man,Assisting,55.08
1155,Forward,Serie B,N. Girma,Reggiana,Creative Forward,Assisting,71.96
1156,Forward,Serie B,A. Debenedetti,Virtus Entella,Target Man,Assisting,27.59
1157,Goalkeeper,Serie B,M. Silvestri,Cremonese,All-round Goalkeeper,Assisting,0.0
1158,Goalkeeper,Serie B,M. Pisseri,Frosinone,All-round Goalkeeper,Assisting,0.0
1159,Goalkeeper,Serie B,L. Maniero,Cittadella,Shot Stopper,Assisting,0.0
1160,Goalkeeper,Serie B,A. Micai,Reggiana,Shot Stopper,Assisting,0.0
1161,Goalkeeper,Serie B,E. Audero,Cremonese,Shot Stopper,Assisting,0.0
1162,Goalkeeper,Serie B,A. Šemper,Pisa,Shot Stopper,Assisting,0.0
1163,Goalkeeper,Serie B,D. Thiam,Monza,Shot Stopper,Assisting,0.0
1164,Goalkeeper,Serie B,S. Desplanches,Pescara,All-round Goalkeeper,Assisting,0.0
1165,Midfielder,Serie B,P. Obiang,Monza,Defensive Midfielder,Assisting,35.22
1166,Midfielder,Serie B,M. Maita,Benevento,Defensive Midfielder,Assisting,48.44
