,Position,League,Name,Team,playerProfile,Category,Score
63,Goalkeeper,2. Bundesliga,F. Gebhardt,SSV Jahn Regensburg,Shot Stopper,GoalScoring,0.0
64,Goalkeeper,2. Bundesliga,J. Reichert,1. FC Nürnberg,All-round Goalkeeper,GoalScoring,0.0
65,Midfielder,2. Bundesliga,D. Soares,1. FC Nürnberg,Defensive Midfielder,GoalScoring,45.17
66,Midfielder,2. Bundesliga,A. Geipl,SSV Jahn Regensburg,Defensive Midfielder,GoalScoring,29.37
67,Midfielder,2. Bundesliga,R. Krausse,SV Sandhausen,Defensive Midfielder,GoalScoring,31.58
68,Midfielder,2. Bundesliga,J. Meffert,Holstein Kiel,Defensive Midfielder,GoalScoring,20.62
69,Midfielder,2. Bundesliga,D. Kinsombi,SC Paderborn 07,Attacking Midfielder,GoalScoring,77.2
70,Midfielder,2. Bundesliga,P. Förster,Karlsruher SC,Attacking Midfielder,GoalScoring,80.54
71,Midfielder,2. Bundesliga,M. Wanitzek,Karlsruher SC,Attacking Midfielder,GoalScoring,94.13
72,Midfielder,2. Bundesliga,J. Bachmann,FC Schalke 04,Defensive Midfielder,GoalScoring,67.82
73,Midfielder,2. Bundesliga,N. Rapp,Karlsruher SC,Defensive Midfielder,GoalScoring,50.12
74,Midfielder,2. Bundesliga,R. Obermair,SC Paderborn 07,Attacking Midfielder,GoalScoring,74.83
75,Midfielder,2. Bundesliga,J. Justvan,1. FC Nürnberg,Attacking Midfielder,GoalScoring,85.4
76,Midfielder,2. Bundesliga,C. Antwi-Adjei,FC Schalke 04,Attacking Midfielder,GoalScoring,64.31
77,Midfielder,2. Bundesliga,D. Burnić,Karlsruher SC,Defensive Midfielder,GoalScoring,62.87
78,Midfielder,2. Bundesliga,S. Klaas,SC Paderborn 07,Defensive Midfielder,GoalScoring,83.57
79,Midfielder,2. Bundesliga,L. Herrmann,SG Dynamo Dresden,Defensive Midfielder,GoalScoring,49.15
80,Midfielder,2. Bundesliga,K. Klefisch,Darmstadt 98,Defensive Midfielder,GoalScoring,56.15
81,Midfielder,2. Bundesliga,N. Katterbach,Hamburger SV,Defensive Midfielder,GoalScoring,67.82
82,Midfielder,2. Bundesliga,M. Papela,Darmstadt 98,Defensive Midfielder,GoalScoring,49.9
83,Midfielder,2. Bundesliga,A. Suhonen,Hamburger SV,Defensive Midfielder,GoalScoring,49.15
84,Midfielder,2. Bundesliga,S. Karl Appelkamp,Fortuna Düsseldorf,Attacking Midfielder,GoalScoring,60.86
85,Midfielder,2. Bundesliga,B. Hein,SSV Jahn Regensburg,Defensive Midfielder,GoalScoring,27.17
86,Midfielder,2. Bundesliga,E. Leopold,Hannover 96,Attacking Midfielder,GoalScoring,53.6
87,Midfielder,2. Bundesliga,T. Breithaupt,Fortuna Düsseldorf,Defensive Midfielder,GoalScoring,20.62
88,Midfielder,2. Bundesliga,B. Allgeier,Hannover 96,Defensive Midfielder,GoalScoring,20.62
89,Midfielder,2. Bundesliga,A. Müller,Karlsruher SC,Defensive Midfielder,GoalScoring,57.1
90,Midfielder,2. Bundesliga,M. Hansen,SC Paderborn 07,Defensive Midfielder,GoalScoring,39.49
91,Midfielder,2. Bundesliga,K. Corredor,Darmstadt 98,Attacking Midfielder,GoalScoring,93.05
92,Midfielder,2. Bundesliga,K. Oudenne,Hannover 96,Defensive Midfielder,GoalScoring,20.62
93,Midfielder,2. Bundesliga,T. Rossmann,Fortuna Düsseldorf,Attacking Midfielder,GoalScoring,76.73
94,Midfielder,2. Bundesliga,B. Yılmaz,1. FC Nürnberg,Defensive Midfielder,GoalScoring,36.89
95,Midfielder,2. Bundesliga,S. Castaneda,SC Paderborn 07,Defensive Midfielder,GoalScoring,29.89
96,Midfielder,2. Bundesliga,R. Lubach,1. FC Nürnberg,Defensive Midfielder,GoalScoring,60.6
97,Midfielder,2. Bundesliga,P. Muller,SSV Jahn Regensburg,Defensive Midfielder,GoalScoring,78.8
98,Midfielder,2. Bundesliga,TJT. Janisch,1. FC Nürnberg,Defensive Midfielder,GoalScoring,20.62
99,Midfielder,2. Bundesliga,M. Grüger,FC Schalke 04,Defensive Midfielder,GoalScoring,54.25
100,Midfielder,2. Bundesliga,L. Ben Farhat,Karlsruher SC,Attacking Midfielder,GoalScoring,98.66
101,Defender,LaLiga 2,J. Ángel,Sporting Gijón,Fullback,GoalScoring,75.95
102,Defender,LaLiga 2,J. Pulido,Huesca,Centerback,GoalScoring,73.7
103,Defender,LaLiga 2,M. Mateu,CD Tenerife,Fullback,GoalScoring,73.7
104,Defender,LaLiga 2,N. Maraš,Mirandés,Centerback,GoalScoring,36.68
105,Defender,LaLiga 2,A. Arbilla,Eibar,Centerback,GoalScoring,42.76
106,Defender,LaLiga 2,I. Miquel,Leganés,Centerback,GoalScoring,34.98
107,Defender,LaLiga 2,S. Postigo,Mirandés,Centerback,GoalScoring,27.62
108,Defender,LaLiga 2,P. Insua,Real Zaragoza,Centerback,GoalScoring,75.08
109,Defender,LaLiga 2,J. Antonio Ríos,FC Cartagena,Fullback,GoalScoring,27.62
110,Defender,LaLiga 2,N. Martínez,FC Cartagena,Fullback,GoalScoring,86.6
111,Defender,LaLiga 2,E. Galilea,Málaga,Centerback,GoalScoring,39.97
112,Defender,LaLiga 2,D. Costas,Real Oviedo,Centerback,GoalScoring,59.73
113,Defender,LaLiga 2,J. León,CD Tenerife,Centerback,GoalScoring,81.91
114,Defender,LaLiga 2,D. Calvo,Real Oviedo,Centerback,GoalScoring,69.21
115,Defender,LaLiga 2,L. Ahijado,Real Oviedo,Fullback,GoalScoring,84.97
116,Defender,LaLiga 2,V. Garcia Marin,Málaga,Fullback,GoalScoring,33.93
117,Defender,LaLiga 2,F. Miguel,Burgos Club de Fútbol,Fullback,GoalScoring,39.97
118,Defender,LaLiga 2,K. Vázquez,Sporting Gijón,Fullback,GoalScoring,37.87
119,Defender,LaLiga 2,A. Buñuel,Burgos Club de Fútbol,Fullback,GoalScoring,70.4
120,Defender,LaLiga 2,C. Pomares,Real Zaragoza,Fullback,GoalScoring,37.87
121,Defender,LaLiga 2,A. Radovanović,Real Zaragoza,Centerback,GoalScoring,41.25
122,Defender,LaLiga 2,A. Landázuri,CD Tenerife,Centerback,GoalScoring,77.56
123,Defender,LaLiga 2,N. Monte,Almería,Centerback,GoalScoring,72.42
124,Defender,LaLiga 2,C. Michelin,Real Valladolid,Fullback,GoalScoring,82.8
125,Defender,LaLiga 2,J. Amador,Eibar,Centerback,GoalScoring,88.26
126,Defender,LaLiga 2,N. Vidal,Real Oviedo,Centerback,GoalScoring,96.81
127,Defender,LaLiga 2,N. Šipčić,CD Tenerife,Centerback,GoalScoring,41.71
128,Defender,LaLiga 2,I. Sebastián Magana,Huesca,Centerback,GoalScoring,60.27
129,Defender,LaLiga 2,PVP. Vázquez,Sporting Gijón,Centerback,GoalScoring,62.94
130,Defender,LaLiga 2,O. Luengo,Burgos Club de Fútbol,Centerback,GoalScoring,75.53
131,Defender,LaLiga 2,A. Rodríguez,Real Zaragoza,Centerback,GoalScoring,41.71
132,Defender,LaLiga 2,Á. Rodríguez,Eibar,Fullback,GoalScoring,34.98
133,Defender,LaLiga 2,E. Curbelo,Sporting Gijón,Centerback,GoalScoring,40.75
134,Defender,LaLiga 2,M. Aguirregabiria,Real Zaragoza,Fullback,GoalScoring,61.62
135,Defender,LaLiga 2,G. Sierra,Burgos Club de Fútbol,Centerback,GoalScoring,37.87
136,Defender,LaLiga 2,J. Gutiérrez,Mirandés,Centerback,GoalScoring,34.34
137,Defender,LaLiga 2,F. Medrano,Mirandés,Fullback,GoalScoring,44.68
138,Defender,LaLiga 2,Chumi,Almería,Centerback,GoalScoring,34.98
139,Defender,LaLiga 2,S. González,Burgos Club de Fútbol,Centerback,GoalScoring,63.8
140,Defender,LaLiga 2,J. Alonso,Huesca,Fullback,GoalScoring,33.52
141,Defender,LaLiga 2,FMF. Montero,Málaga,Centerback,GoalScoring,64.31
142,Defender,LaLiga 2,Á. Pastor,Málaga,Centerback,GoalScoring,61.62
143,Defender,LaLiga 2,R. Pulido,Leganés,Centerback,GoalScoring,72.2
144,Defender,LaLiga 2,Á. Centelles,Almería,Fullback,GoalScoring,73.93
145,Defender,LaLiga 2,D. Sánchez,Málaga,Fullback,GoalScoring,82.67
146,Defender,LaLiga 2,Á. Carrillo,Huesca,Centerback,GoalScoring,67.21
147,Defender,LaLiga 2,A. Arambarri,Eibar,Centerback,GoalScoring,33.52
148,Defender,LaLiga 2,E. Clemente,Las Palmas,Centerback,GoalScoring,76.91
149,Defender,LaLiga 2,P. García,Sporting Gijón,Fullback,GoalScoring,27.62
150,Defender,LaLiga 2,T. Abad,Huesca,Fullback,GoalScoring,27.62
151,Defender,LaLiga 2,G. Rosas,Sporting Gijón,Fullback,GoalScoring,72.2
152,Defender,LaLiga 2,S. Cubero,Eibar,Fullback,GoalScoring,46.92
153,Defender,LaLiga 2,J. Gabilondo,Málaga,Fullback,GoalScoring,27.62
154,Defender,LaLiga 2,D. Chirino,Almería,Fullback,GoalScoring,40.75
155,Defender,LaLiga 2,D. Rodríguez Ramos,CD Tenerife,Fullback,GoalScoring,61.62
156,Defender,LaLiga 2,C. Gutiérrez,Las Palmas,Fullback,GoalScoring,38.6
157,Defender,LaLiga 2,D. Sánchez,Sporting Gijón,Centerback,GoalScoring,61.62
158,Defender,LaLiga 2,D. Tasende,Real Zaragoza,Fullback,GoalScoring,82.67
159,Defender,LaLiga 2,J. Gayá,CD Lugo,Centerback,GoalScoring,27.62
160,Defender,LaLiga 2,A. Rahim,Real Oviedo,Fullback,GoalScoring,33.52
161,Defender,LaLiga 2,P. Tomeo,Real Valladolid,Centerback,GoalScoring,82.45
162,Defender,LaLiga 2,Marvel,Leganés,Centerback,GoalScoring,36.68
163,Defender,LaLiga 2,BMB. Martínez,Burgos Club de Fútbol,Fullback,GoalScoring,39.24
164,Defender,LaLiga 2,C. Puga,Málaga,Fullback,GoalScoring,35.9
165,Defender,LaLiga 2,LAL. Aguilar,Leganés,Centerback,GoalScoring,33.2
166,Defender,LaLiga 2,M. Luna,Almería,Fullback,GoalScoring,84.91
167,Defender,LaLiga 2,D. Murillo,Málaga,Centerback,GoalScoring,79.79
168,Defender,LaLiga 2,H. Arrillaga,Eibar,Fullback,GoalScoring,34.34
169,Defender,LaLiga 2,I. Merino,Málaga,Fullback,GoalScoring,45.27
170,Defender,LaLiga 2,CÁC. Álvarez,CD Tenerife,Fullback,GoalScoring,27.62
171,Defender,LaLiga 2,H. Rincón,Girona FC,Fullback,GoalScoring,81.66
172,Defender,LaLiga 2,J. Cabello,Mirandés,Centerback,GoalScoring,27.62
173,Forward,LaLiga 2,Á. Rodríguez,CF Fuenlabrada,Target Man,GoalScoring,48.64
174,Forward,LaLiga 2,A. Ortuño,FC Cartagena,Target Man,GoalScoring,25.5
175,Forward,LaLiga 2,S. Enrich,Real Zaragoza,Target Man,GoalScoring,55.29
176,Forward,LaLiga 2,Ó. Plano,Leganés,Target Man,GoalScoring,48.53
177,Forward,LaLiga 2,M. Mesa,CD Tenerife,Target Man,GoalScoring,56.7
178,Forward,LaLiga 2,J. Bautista,Eibar,Target Man,GoalScoring,80.21
