,Position,League,Name,Team,playerProfile,Category,Score
0,Defender,Bundesliga,K. Vogt,VfL Bochum 1848,Centerback,GoalScoring,64.5
1,Defender,Bundesliga,D. da Costa,1. FSV Mainz 05,Centerback,GoalScoring,17.17
2,Defender,Bundesliga,A. Jung,SC Freiburg,Centerback,GoalScoring,11.85
3,Defender,Bundesliga,S. Bell,1. FSV Mainz 05,Centerback,GoalScoring,70.91
4,Defender,Bundesliga,W. Orbán,RB Leipzig,Centerback,GoalScoring,94.3
5,Defender,Bundesliga,C. Günter,SC Freiburg,Fullback,GoalScoring,56.62
6,Defender,Bundesliga,M. Ginter,SC Freiburg,Centerback,GoalScoring,81.58
7,Defender,Bundesliga,L. Kübler,SC Freiburg,Centerback,GoalScoring,96.68
8,Defender,Bundesliga,J. Gouweleeuw,FC Augsburg,Centerback,GoalScoring,64.56
9,Defender,Bundesliga,D. Kohr,1. FSV Mainz 05,Centerback,GoalScoring,74.66
10,Defender,Bundesliga,N. Süle,Borussia Dortmund,Centerback,GoalScoring,66.32
11,Defender,Bundesliga,K. Akpoguma,TSG Hoffenheim,Centerback,GoalScoring,17.17
12,Defender,Bundesliga,J. Tah,FC Bayern München,Centerback,GoalScoring,55.67
13,Defender,Bundesliga,R. Guerreiro,FC Bayern München,Fullback,GoalScoring,98.33
14,Defender,Bundesliga,M. Wittek,VfL Bochum 1848,Fullback,GoalScoring,70.62
15,Defender,Bundesliga,M. Friedrich,Borussia M'gladbach,Centerback,GoalScoring,60.83
16,Defender,Bundesliga,N. Elvedi,Borussia M'gladbach,Centerback,GoalScoring,82.48
17,Defender,Bundesliga,D. Vavro,VfL Wolfsburg,Centerback,GoalScoring,71.18
18,Defender,Bundesliga,L. Klostermann,RB Leipzig,Centerback,GoalScoring,39.36
19,Defender,Bundesliga,B. Henrichs,RB Leipzig,Fullback,GoalScoring,60.68
20,Defender,Bundesliga,K. Laimer,FC Bayern München,Fullback,GoalScoring,92.45
21,Defender,Bundesliga,P. Lienhart,SC Freiburg,Centerback,GoalScoring,34.65
22,Defender,Bundesliga,R. Bensebaini,Borussia Dortmund,Fullback,GoalScoring,66.09
23,Defender,Bundesliga,R. Koch,Eintracht Frankfurt,Centerback,GoalScoring,75.31
24,Defender,Bundesliga,M. Mittelstädt,VfB Stuttgart,Fullback,GoalScoring,51.05
25,Defender,Bundesliga,J. Juranović,1. FC Union Berlin,Fullback,GoalScoring,43.24
26,Defender,Bundesliga,A. Hanche-Olsen,1. FSV Mainz 05,Centerback,GoalScoring,69.83
27,Defender,Bundesliga,D. Upamecano,FC Bayern München,Centerback,GoalScoring,79.02
28,Defender,Bundesliga,C. Zesiger,VfL Wolfsburg,Centerback,GoalScoring,70.69
29,Defender,Bundesliga,W. Anton,Borussia Dortmund,Centerback,GoalScoring,77.67
30,Defender,Bundesliga,J. Ryerson,Borussia Dortmund,Fullback,GoalScoring,55.02
31,Defender,Bundesliga,Bernardo,TSG Hoffenheim,Centerback,GoalScoring,50.72
32,Defender,Bundesliga,D. Doekhi,1. FC Union Berlin,Centerback,GoalScoring,72.87
33,Defender,Bundesliga,E. Mašović,VfL Bochum 1848,Centerback,GoalScoring,80.71
34,Defender,Bundesliga,J. Mæhle,VfL Wolfsburg,Fullback,GoalScoring,86.29
35,Defender,Bundesliga,M. Leitsch,1. FSV Mainz 05,Centerback,GoalScoring,85.29
36,Defender,Bundesliga,A. Davies,FC Bayern München,Fullback,GoalScoring,77.11
37,Defender,Bundesliga,D. Leite,1. FC Union Berlin,Centerback,GoalScoring,72.31
38,Defender,Bundesliga,D. Raum,RB Leipzig,Fullback,GoalScoring,47.22
39,Defender,Bundesliga,J. Chabot,VfB Stuttgart,Centerback,GoalScoring,79.44
40,Defender,Bundesliga,E. Tapsoba,Bayer 04 Leverkusen,Centerback,GoalScoring,52.0
41,Defender,Bundesliga,D. Köhn,1. FC Union Berlin,Fullback,GoalScoring,71.18
42,Defender,Bundesliga,K. Schlotterbeck,FC Augsburg,Centerback,GoalScoring,73.93
43,Defender,Bundesliga,M. Kim,FC Bayern München,Centerback,GoalScoring,74.66
44,Defender,Bundesliga,S. N'Soki,1. FC Union Berlin,Centerback,GoalScoring,29.75
45,Defender,Bundesliga,J. Vagnoman,VfB Stuttgart,Fullback,GoalScoring,84.43
46,Defender,Bundesliga,R. Hendriks,VfB Stuttgart,Centerback,GoalScoring,45.71
47,Defender,Bundesliga,M. Jenz,VfL Wolfsburg,Centerback,GoalScoring,88.09
48,Defender,Bundesliga,R. Kristensen,Eintracht Frankfurt,Fullback,GoalScoring,88.47
49,Defender,Bundesliga,J. Stanišić,FC Bayern München,Fullback,GoalScoring,37.61
50,Defender,Bundesliga,M. Bauer,Arminia Bielefeld,Centerback,GoalScoring,42.38
51,Defender,Bundesliga,N. Schlotterbeck,Borussia Dortmund,Centerback,GoalScoring,73.33
52,Defender,Bundesliga,V. Gendrey,TSG Hoffenheim,Fullback,GoalScoring,83.93
53,Defender,Bundesliga,A. Theate,Eintracht Frankfurt,Centerback,GoalScoring,86.59
54,Defender,Bundesliga,C. Lukeba,RB Leipzig,Centerback,GoalScoring,36.35
55,Defender,Bundesliga,K. Fischer,VfL Wolfsburg,Fullback,GoalScoring,27.83
56,Defender,Bundesliga,J. Scally,Borussia M'gladbach,Fullback,GoalScoring,27.34
57,Defender,Bundesliga,E. Chadaille Bitshiabu,RB Leipzig,Centerback,GoalScoring,49.3
58,Defender,Bundesliga,N. Collins,Eintracht Frankfurt,Centerback,GoalScoring,62.08
59,Defender,Bundesliga,L. Ullrich,Borussia M'gladbach,Fullback,GoalScoring,53.58
60,Defender,Bundesliga,L. Querfeld,1. FC Union Berlin,Centerback,GoalScoring,75.31
61,Defender,Bundesliga,A. Chaves,FC Augsburg,Centerback,GoalScoring,45.71
62,Defender,Bundesliga,M. Rosenfelder,SC Freiburg,Centerback,GoalScoring,44.86
63,Defender,Bundesliga,J. Makengo,SC Freiburg,Fullback,GoalScoring,11.85
64,Defender,Bundesliga,T. Oermann,Bayer 04 Leverkusen,Centerback,GoalScoring,22.51
65,Defender,Bundesliga,K. Nedeljković,RB Leipzig,Fullback,GoalScoring,69.0
66,Defender,Bundesliga,N. Brown,Eintracht Frankfurt,Fullback,GoalScoring,88.02
67,Defender,Bundesliga,Arthur,Bayer 04 Leverkusen,Fullback,GoalScoring,22.51
68,Defender,Bundesliga,K. Koulierakis,VfL Wolfsburg,Centerback,GoalScoring,47.85
69,Defender,Bundesliga,F. Jeltsch,VfB Stuttgart,Centerback,GoalScoring,22.51
70,Forward,Bundesliga,A. Kramarić,TSG Hoffenheim,Creative Forward,GoalScoring,62.12
71,Forward,Bundesliga,H. Kane,FC Bayern München,Target Man,GoalScoring,96.75
72,Forward,Bundesliga,M. Gregoritsch,FC Augsburg,Target Man,GoalScoring,46.41
73,Forward,Bundesliga,T. Kleindienst,Borussia M'gladbach,Target Man,GoalScoring,81.44
74,Forward,Bundesliga,G. Holtmann,VfL Bochum 1848,Creative Forward,GoalScoring,30.63
75,Forward,Bundesliga,H. Tabaković,Borussia M'gladbach,Target Man,GoalScoring,69.91
76,Forward,Bundesliga,L. Höler,SC Freiburg,Target Man,GoalScoring,63.41
77,Forward,Bundesliga,P. Schick,Bayer 04 Leverkusen,Target Man,GoalScoring,95.37
78,Forward,Bundesliga,S. Guirassy,Borussia Dortmund,Target Man,GoalScoring,91.6
79,Forward,Bundesliga,P. Hofmann,VfL Bochum 1848,Target Man,GoalScoring,39.28
80,Forward,Bundesliga,M. Bülter,1. FC Köln,Creative Forward,GoalScoring,36.93
81,Forward,Bundesliga,J. Lee,1. FSV Mainz 05,Creative Forward,GoalScoring,28.15
82,Forward,Bundesliga,O. Burke,1. FC Union Berlin,Target Man,GoalScoring,76.46
