,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
21,1141,Defender,LaLiga,Djené,Getafe,32,2553,0,6.0,0,0,0.36,0.28,0.81,25,102,21,44,0,101,794,619,122,32,0,9,0.0,0.0,0.0,0,0.0,0.21,0.0,3.56,27.99,21.82,4.3,1.13,0.0,0.32,0.88,3.6,0.74,1.55,0.0,0.0,0.01,0.01,0.03
22,1142,Defender,LaLiga,J. María Giménez,Atlético Madrid,35,1994,1,5.0,1,0,0.45,0.44,0.25,26,115,27,38,0,78,1356,1245,149,0,1,2,0.0,0.0,0.05,1,0.05,0.23,0.05,3.52,61.2,56.19,6.73,0.0,0.05,0.09,1.17,5.19,1.22,1.72,0.0,0.0,0.02,0.02,0.01
23,1143,Defender,LaLiga,J. Mojica,Mallorca,37,2753,2,17.0,3,1,0.92,0.92,4.42,36,69,27,9,5,102,1183,923,206,143,9,40,0.0,0.03,0.07,3,0.1,0.56,0.1,3.33,38.67,30.17,6.73,4.67,0.29,1.31,1.18,2.26,0.88,0.29,0.16,0.0,0.03,0.03,0.14
24,1144,Defender,LaLiga,D. Rico,Getafe,34,2825,3,16.0,3,0,0.35,0.35,3.41,81,88,33,28,5,169,1004,697,175,148,6,36,0.0,0.0,0.1,3,0.1,0.51,0.1,5.38,31.99,22.21,5.58,4.72,0.19,1.15,2.58,2.8,1.05,0.89,0.16,0.0,0.01,0.01,0.11
25,1145,Defender,LaLiga,M. Llorente,Atlético Madrid,33,2513,4,16.0,5,2,0.77,0.77,3.11,69,49,27,15,6,123,1322,1162,63,62,8,28,0.0,0.07,0.14,6,0.21,0.57,0.18,4.41,47.35,41.62,2.26,2.22,0.29,1.0,2.47,1.75,0.97,0.54,0.21,0.0,0.03,0.03,0.11
27,1147,Defender,LaLiga,C. Starfelt,Celta Vigo,30,2271,0,5.0,1,1,0.5,0.5,0.19,40,129,31,63,2,112,1643,1539,75,0,0,6,0.0,0.04,0.0,1,0.04,0.2,0.04,4.44,65.11,60.99,2.97,0.0,0.0,0.24,1.59,5.11,1.23,2.5,0.08,0.0,0.02,0.02,0.01
29,1149,Defender,LaLiga,A. Espino,Rayo Vallecano,29,841,1,10.0,2,0,0.45,0.45,0.61,41,28,12,14,2,75,388,298,47,24,2,5,0.0,0.0,0.11,1,0.11,1.07,0.21,8.03,41.52,31.89,5.03,2.57,0.21,0.54,4.39,3.0,1.28,1.5,0.21,0.0,0.05,0.05,0.06
30,1150,Defender,LaLiga,D. Duarte,Getafe,37,1869,0,3.0,1,1,0.2,0.21,0.07,28,151,18,28,1,69,629,495,136,0,0,2,0.0,0.05,0.0,1,0.05,0.14,0.05,3.32,30.29,23.84,6.55,0.0,0.0,0.1,1.35,7.27,0.87,1.35,0.05,0.0,0.01,0.01,0.0
31,1151,Defender,LaLiga,C. Lenglet,Barcelona,33,1976,1,10.0,4,2,2.41,2.41,0.71,27,103,22,38,3,86,1356,1190,197,4,2,5,0.0,0.09,0.05,3,0.14,0.46,0.18,3.92,61.76,54.2,8.97,0.18,0.09,0.23,1.23,4.69,1.0,1.73,0.14,0.0,0.11,0.11,0.03
32,1152,Defender,LaLiga,A. Elustondo,Real Sociedad,30,1463,0,4.0,0,0,0.43,0.43,0.36,20,93,11,29,1,70,871,752,100,4,0,4,0.0,0.0,0.0,0,0.0,0.25,0.0,4.31,53.58,46.26,6.15,0.25,0.0,0.25,1.23,5.72,0.68,1.78,0.06,0.0,0.03,0.03,0.02
33,1153,Defender,LaLiga,R. Le Normand,Atlético Madrid,30,2153,0,11.0,3,1,1.39,1.46,0.98,27,119,10,54,3,107,1292,1170,96,1,2,4,0.0,0.04,0.0,1,0.04,0.46,0.13,4.47,54.01,48.91,4.01,0.04,0.08,0.17,1.13,4.97,0.42,2.26,0.13,0.0,0.06,0.06,0.04
34,1154,Defender,LaLiga,P. Maffeo,Mallorca,32,2373,2,7.0,1,0,0.27,0.26,3.51,60,85,25,21,2,159,717,546,105,96,8,29,0.0,0.0,0.08,2,0.08,0.27,0.04,6.03,27.19,20.71,3.98,3.64,0.3,1.1,2.28,3.22,0.95,0.8,0.08,0.0,0.01,0.01,0.13
35,1155,Defender,LaLiga,F. Mendy,Real Madrid,25,1007,1,0.0,0,0,0.0,0.0,0.72,17,6,9,4,0,31,599,565,24,1,1,3,0.0,0.0,0.09,1,0.09,0.0,0.0,2.77,53.54,50.5,2.14,0.09,0.09,0.27,1.52,0.54,0.8,0.36,0.0,0.0,0.0,0.0,0.06
