,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
0,2075,Defender,Ligue 1,Dante,Nice,26,1966,0,9.0,2,0,0.46,0.47,0.49,32,71,34,41,3,93,1423,1263,143,2,0,4,0.0,0.0,0.0,0,0.0,0.41,0.09,4.26,65.14,57.82,6.55,0.09,0.0,0.18,1.46,3.25,1.56,1.88,0.14,0.0,0.02,0.02,0.02
3,2078,Defender,Ligue 1,N. Pallois,Stade de Reims,32,2020,2,3.0,1,0,0.42,0.43,0.37,61,155,28,20,0,95,843,707,138,7,1,3,0.0,0.0,0.09,2,0.09,0.13,0.04,4.23,37.56,31.5,6.15,0.31,0.04,0.13,2.72,6.91,1.25,0.89,0.0,0.0,0.02,0.02,0.02
4,2079,Defender,Ligue 1,A. Bamba,Angers,31,1520,0,1.0,0,0,0.08,0.09,0.27,22,76,19,11,0,42,560,502,55,5,0,6,0.0,0.0,0.0,0,0.0,0.06,0.0,2.49,33.16,29.72,3.26,0.3,0.0,0.36,1.3,4.5,1.12,0.65,0.0,0.0,0.0,0.01,0.02
5,2080,Defender,Ligue 1,A. Mandi,Lille,34,1736,0,6.0,2,0,0.34,0.34,1.25,31,51,15,15,0,57,1146,1026,127,10,0,5,0.0,0.0,0.0,0,0.0,0.31,0.1,2.96,59.41,53.19,6.58,0.52,0.0,0.26,1.61,2.64,0.78,0.78,0.0,0.0,0.02,0.02,0.06
6,2081,Defender,Ligue 1,D. Appiah,Saint-Étienne,30,2124,1,5.0,2,0,0.2,0.2,2.18,71,74,28,28,1,128,921,705,97,53,4,13,0.0,0.0,0.04,1,0.04,0.21,0.08,5.42,39.03,29.87,4.11,2.25,0.17,0.55,3.01,3.14,1.19,1.19,0.04,0.0,0.01,0.01,0.09
8,2083,Defender,Ligue 1,T. Meunier,Lille,31,1951,0,28.0,11,2,1.89,1.85,2.42,53,54,34,33,8,103,1250,1039,104,62,0,13,0.0,0.09,0.0,2,0.09,1.29,0.51,4.75,57.66,47.93,4.8,2.86,0.0,0.6,2.44,2.49,1.57,1.52,0.37,0.0,0.09,0.09,0.11
9,2084,Defender,Ligue 1,K. Lala,Stade Brestois,32,2685,2,12.0,7,3,3.0,0.64,4.99,66,64,25,8,2,103,1438,1173,207,125,10,41,0.0,0.1,0.07,5,0.17,0.4,0.23,3.45,48.2,39.32,6.94,4.19,0.34,1.37,2.21,2.15,0.84,0.27,0.07,0.0,0.1,0.02,0.17
10,2085,Defender,Ligue 1,C. Mata,Olympique Lyonnais,31,2370,4,5.0,0,0,0.24,0.24,2.19,41,70,46,21,3,110,1546,1393,125,38,3,11,0.0,0.0,0.15,4,0.15,0.19,0.0,4.18,58.71,52.9,4.75,1.44,0.11,0.42,1.56,2.66,1.75,0.8,0.11,0.0,0.01,0.01,0.08
11,2086,Defender,Ligue 1,Marquinhos,Paris Saint-Germain,27,1725,0,8.0,3,2,1.08,1.08,0.96,30,61,11,32,0,72,1813,1724,138,3,2,9,0.0,0.1,0.0,2,0.1,0.42,0.16,3.76,94.59,89.95,7.2,0.16,0.1,0.47,1.57,3.18,0.57,1.67,0.0,0.0,0.06,0.06,0.05
12,2087,Defender,Ligue 1,N. Tagliafico,Olympique Lyonnais,27,1911,1,28.0,7,3,3.02,3.02,1.44,57,49,36,25,16,110,1165,1028,56,37,1,5,0.0,0.14,0.05,4,0.19,1.32,0.33,5.18,54.87,48.41,2.64,1.74,0.05,0.24,2.68,2.31,1.7,1.18,0.75,0.0,0.14,0.14,0.07
