,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
20,3359,Defender,Serie B,G. Altare,Pescara,14,1061,0,9.0,1,0,13,77,9,42,3,62,432,349,73,4,0,1,0.0,0.0,0.0,0,0.0,0.76,0.08,5.26,36.64,29.6,6.19,0.34,0.0,0.08,1.1,6.53,0.76,3.56,0.25,0.0
21,3360,Defender,Serie B,A. Cagnano,Pescara,10,234,0,2.0,2,0,4,3,3,7,0,17,138,106,17,12,0,2,0.0,0.0,0.0,0,0.0,0.77,0.77,6.54,53.08,40.77,6.54,4.62,0.0,0.77,1.54,1.15,1.15,2.69,0.0,0.0
22,3361,Defender,Serie B,S. Canestrelli,Pisa,37,3090,2,30.0,10,3,39,193,29,119,4,180,1376,1099,224,19,1,7,0.0,0.09,0.06,5,0.15,0.87,0.29,5.24,40.08,32.01,6.52,0.55,0.03,0.2,1.14,5.62,0.84,3.47,0.12,0.0
23,3362,Defender,Serie B,A. Caporale,Cosenza,34,2173,1,9.0,2,0,28,109,36,84,3,140,1129,876,204,49,0,17,0.0,0.0,0.04,1,0.04,0.37,0.08,5.8,46.76,36.28,8.45,2.03,0.0,0.7,1.16,4.51,1.49,3.48,0.12,0.0
24,3363,Defender,Serie B,S. Kalaj,Frosinone,8,272,0,2.0,0,0,1,25,7,19,0,26,149,114,21,0,0,0,0.0,0.0,0.0,0,0.0,0.66,0.0,8.6,49.3,37.72,6.95,0.0,0.0,0.0,0.33,8.27,2.32,6.29,0.0,0.0
25,3364,Defender,Serie B,L. Lucchesi,Monza,29,2259,0,10.0,6,2,33,107,19,40,0,99,1020,850,140,8,1,6,0.0,0.08,0.0,2,0.08,0.4,0.24,3.94,40.64,33.86,5.58,0.32,0.04,0.24,1.31,4.26,0.76,1.59,0.0,0.0
26,3365,Defender,Serie B,L. Moretti,Virtus Entella,34,350,0,1.0,1,0,1,16,14,11,0,17,184,171,7,1,0,1,0.0,0.0,0.0,0,0.0,0.26,0.26,4.37,47.31,43.97,1.8,0.26,0.0,0.26,0.26,4.11,3.6,2.83,0.0,0.0
27,3366,Defender,Serie B,A. Ceresoli,Benevento,24,434,0,6.0,1,0,10,5,0,2,2,23,139,99,6,9,0,1,0.0,0.0,0.0,0,0.0,1.24,0.21,4.77,28.82,20.53,1.24,1.87,0.0,0.21,2.07,1.04,0.0,0.41,0.41,0.0
28,3367,Defender,Serie B,I. Monterisi,Frosinone,36,3076,0,15.0,4,1,38,167,28,111,3,185,1695,1461,233,1,1,11,0.0,0.03,0.0,1,0.03,0.44,0.12,5.41,49.59,42.75,6.82,0.03,0.03,0.32,1.11,4.89,0.82,3.25,0.09,0.0
29,3368,Defender,Serie B,RTR. Turicchia,Virtus Entella,18,35,0,1.0,0,0,0,0,1,1,0,1,14,11,2,5,0,0,0.0,0.0,0.0,0,0.0,2.57,0.0,2.57,36.0,28.29,5.14,12.86,0.0,0.0,0.0,0.0,2.57,2.57,0.0,0.0
30,3369,Defender,Serie B,A. Papetti,Reggiana,38,1157,1,6.0,0,0,21,66,9,16,4,47,444,355,73,5,1,3,0.0,0.0,0.08,1,0.08,0.47,0.0,3.66,34.54,27.61,5.68,0.39,0.08,0.23,1.63,5.13,0.7,1.24,0.31,0.0
31,3370,Defender,Serie B,A. Rizza,Cittadella,30,192,0,2.0,0,0,2,5,0,2,0,11,40,28,8,24,0,4,0.0,0.0,0.0,0,0.0,0.94,0.0,5.16,18.75,13.12,3.75,11.25,0.0,1.88,0.94,2.34,0.0,0.94,0.0,0.0
32,3371,Defender,Serie B,M. Angeli,Cittadella,20,1344,0,2.0,0,0,37,71,18,63,1,114,674,540,107,1,1,2,0.0,0.0,0.0,0,0.0,0.13,0.0,7.63,45.13,36.16,7.17,0.07,0.07,0.13,2.48,4.75,1.21,4.22,0.07,0.0
33,3372,Defender,Serie B,A. Oyono,Frosinone,37,2437,1,20.0,7,1,55,64,16,35,4,133,772,614,61,34,0,23,0.0,0.04,0.04,2,0.07,0.74,0.26,4.91,28.51,22.68,2.25,1.26,0.0,0.85,2.03,2.36,0.59,1.29,0.15,0.0
34,3373,Defender,Serie B,F. D'Alessio,Cittadella,37,1589,2,6.0,2,0,53,64,14,15,2,110,414,306,47,32,1,13,0.0,0.0,0.11,2,0.11,0.34,0.11,6.23,23.45,17.33,2.66,1.81,0.06,0.74,3.0,3.62,0.79,0.85,0.11,0.0
35,3374,Defender,Serie B,B. Cimino,Cosenza,35,647,2,4.0,2,0,19,21,4,9,0,37,120,78,17,26,2,7,0.0,0.0,0.28,2,0.28,0.56,0.28,5.15,16.69,10.85,2.36,3.62,0.28,0.97,2.64,2.92,0.56,1.25,0.0,0.0
36,3375,Defender,Serie B,G. Bracaglia,Frosinone,37,1606,0,13.0,3,1,28,78,20,33,0,77,670,558,97,16,0,7,0.0,0.06,0.0,1,0.06,0.73,0.17,4.32,37.55,31.27,5.44,0.9,0.0,0.39,1.57,4.37,1.12,1.85,0.0,0.0
37,3376,Defender,Serie B,F. Folino,Cremonese,37,2088,0,14.0,8,3,29,117,23,68,1,136,1050,862,179,19,0,5,0.0,0.13,0.0,3,0.13,0.6,0.34,5.86,45.26,37.16,7.72,0.82,0.0,0.22,1.25,5.04,0.99,2.93,0.04,0.0
38,3377,Defender,Serie B,A. Cecchetto,Cittadella,19,161,0,0.0,0,0,3,6,4,4,0,7,52,39,9,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.91,29.07,21.8,5.03,0.0,0.0,0.0,1.68,3.35,2.24,2.24,0.0,0.0
39,3378,Defender,Serie B,M. Lusuardi,Reggiana,28,916,0,6.0,4,2,12,67,5,31,0,47,479,415,53,3,0,1,0.0,0.2,0.0,2,0.2,0.59,0.39,4.62,47.06,40.78,5.21,0.29,0.0,0.1,1.18,6.58,0.49,3.05,0.0,0.0
