,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
20,2844,Defender,Premiership,D. Sterling,Rangers,20,1149,0,5.0,1,0,25,50,14,25,0,64,665,586,57,11,1,3,0.0,0.0,0.0,0,0.0,0.39,0.08,5.01,52.09,45.9,4.46,0.86,0.08,0.23,1.96,3.92,1.1,1.96,0.0,0.0
21,2845,Defender,Premiership,M. Knoester,Aberdeen,10,867,1,12.0,1,0,21,82,10,35,2,58,487,391,93,7,1,2,0.0,0.0,0.1,1,0.1,1.25,0.1,6.02,50.55,40.59,9.65,0.73,0.1,0.21,2.18,8.51,1.04,3.63,0.21,0.0
22,2846,Defender,Premiership,C. Carter-Vickers,Celtic,29,2438,0,10.0,2,1,27,139,33,117,0,160,2989,2835,109,0,1,5,0.0,0.04,0.0,1,0.04,0.37,0.07,5.91,110.34,104.66,4.02,0.0,0.04,0.18,1.0,5.13,1.22,4.32,0.0,0.0
23,2847,Defender,Premiership,A. Trusty,Celtic,30,1827,1,15.0,3,1,35,77,14,95,4,148,2304,2162,89,1,0,5,0.0,0.05,0.05,2,0.1,0.74,0.15,7.29,113.5,106.5,4.38,0.05,0.0,0.25,1.72,3.79,0.69,4.68,0.2,0.0
24,2848,Defender,Premiership,A. Iacovitti,Ross County,16,793,0,5.0,2,1,10,54,12,37,1,52,283,172,61,4,0,3,0.0,0.11,0.0,1,0.11,0.57,0.23,5.9,32.12,19.52,6.92,0.45,0.0,0.34,1.13,6.13,1.36,4.2,0.11,0.0
25,2849,Defender,Premiership,A. Ralston,Celtic,35,625,2,4.0,2,2,19,18,8,10,0,44,616,558,51,36,2,10,0.0,0.29,0.29,4,0.58,0.58,0.29,6.34,88.7,80.35,7.34,5.18,0.29,1.44,2.74,2.59,1.15,1.44,0.0,0.0
26,2850,Defender,Premiership,J. Koutroumbis,Motherwell,20,283,0,1.0,0,0,6,14,2,4,1,14,127,93,21,2,0,4,0.0,0.0,0.0,0,0.0,0.32,0.0,4.45,40.39,29.58,6.68,0.64,0.0,1.27,1.91,4.45,0.64,1.27,0.32,0.0
27,2851,Defender,Premiership,H. Milne,Heart of Midlothian,9,239,0,2.0,0,0,7,11,1,1,1,13,106,89,12,4,0,2,0.0,0.0,0.0,0,0.0,0.75,0.0,4.9,39.92,33.51,4.52,1.51,0.0,0.75,2.64,4.14,0.38,0.38,0.38,0.0
28,2852,Defender,Premiership,L. Scales,Celtic,32,1734,3,15.0,5,2,19,101,22,124,4,161,2265,2082,91,1,1,9,0.0,0.1,0.16,5,0.26,0.78,0.26,8.36,117.56,108.06,4.72,0.05,0.05,0.47,0.99,5.24,1.14,6.44,0.21,0.0
29,2853,Defender,Premiership,K. Tobers,Aberdeen,9,709,0,5.0,5,0,10,63,3,24,0,42,444,395,59,0,0,0,0.0,0.0,0.0,0,0.0,0.63,0.63,5.33,56.36,50.14,7.49,0.0,0.0,0.0,1.27,8.0,0.38,3.05,0.0,0.0
30,2854,Defender,Premiership,A. Gogić,St. Mirren,34,2825,1,14.0,3,1,39,220,41,71,1,131,963,711,261,3,0,5,0.0,0.03,0.03,2,0.06,0.45,0.1,4.17,30.68,22.65,8.32,0.1,0.0,0.16,1.24,7.01,1.31,2.26,0.03,0.0
31,2855,Defender,Premiership,S. Welsh,Celtic,8,90,0,1.0,0,0,0,10,0,3,0,4,151,145,2,0,0,2,0.0,0.0,0.0,0,0.0,1.0,0.0,4.0,151.0,145.0,2.0,0.0,0.0,2.0,0.0,10.0,0.0,3.0,0.0,0.0
32,2856,Defender,Premiership,R. Bushiri Kiranga,Hibernian,35,2114,1,12.0,3,3,17,168,18,54,3,84,793,680,104,0,0,6,0.0,0.13,0.04,4,0.17,0.51,0.13,3.58,33.76,28.95,4.43,0.0,0.0,0.26,0.72,7.15,0.77,2.3,0.13,0.0
33,2857,Defender,Premiership,J. Iredale,Hibernian,30,2002,1,4.0,1,1,48,153,39,53,1,111,889,651,230,11,2,9,0.0,0.04,0.04,2,0.09,0.18,0.04,4.99,39.97,29.27,10.34,0.49,0.09,0.4,2.16,6.88,1.75,2.38,0.04,0.0
34,2858,Defender,Premiership,M. Steinwender,Heart of Midlothian,11,712,0,5.0,1,1,8,65,10,28,2,45,447,376,62,0,0,1,0.0,0.13,0.0,1,0.13,0.63,0.13,5.69,56.5,47.53,7.84,0.0,0.0,0.13,1.01,8.22,1.26,3.54,0.25,0.0
35,2859,Defender,Premiership,W. O'Hora,Hibernian,35,2303,0,13.0,3,1,25,180,27,109,6,147,985,771,147,2,2,12,0.0,0.04,0.0,1,0.04,0.51,0.12,5.74,38.49,30.13,5.74,0.08,0.08,0.47,0.98,7.03,1.06,4.26,0.23,0.0
36,2860,Defender,Premiership,A. Johnston,Celtic,33,2540,9,18.0,9,4,46,67,14,33,4,112,2132,1851,133,98,14,46,0.0,0.14,0.32,13,0.46,0.64,0.32,3.97,75.54,65.59,4.71,3.47,0.5,1.63,1.63,2.37,0.5,1.17,0.14,0.0
37,2861,Defender,Premiership,R. Astley,Dundee FC,33,1941,2,9.0,1,0,37,122,19,62,3,105,750,539,133,10,1,4,0.0,0.0,0.09,2,0.09,0.42,0.05,4.87,34.78,24.99,6.17,0.46,0.05,0.19,1.72,5.66,0.88,2.87,0.14,0.0
38,2862,Defender,Premiership,G. Molloy,Aberdeen,20,1698,0,4.0,0,0,22,141,33,66,2,106,1107,931,134,4,0,0,0.0,0.0,0.0,0,0.0,0.21,0.0,5.62,58.67,49.35,7.1,0.21,0.0,0.0,1.17,7.47,1.75,3.5,0.11,0.0
