,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
19,1734,Defender,Liga Portugal,S. Niakaté,Sporting Braga,25,1873,1,12.0,3,1,1.12,1.14,0.61,18,96,32,57,4,94,1354,1194,139,5,1,6,0.0,0.05,0.05,2,0.1,0.58,0.14,4.52,65.06,57.37,6.68,0.24,0.05,0.29,0.86,4.61,1.54,2.74,0.19,0.0,0.05,0.05,0.03
20,1735,Defender,Liga Portugal,J. De Haas,Famalicão,30,2386,0,12.0,5,1,1.65,0.92,0.33,39,155,43,72,5,126,1397,1188,215,1,0,3,0.0,0.04,0.0,1,0.04,0.45,0.19,4.75,52.69,44.81,8.11,0.04,0.0,0.11,1.47,5.85,1.62,2.72,0.19,0.0,0.06,0.03,0.01
21,1736,Defender,Liga Portugal,V. Gómez,Sporting Braga,31,1917,2,14.0,3,0,0.95,0.92,1.54,42,63,28,16,5,85,1040,841,157,87,2,24,0.0,0.0,0.09,2,0.09,0.66,0.14,3.99,48.83,39.48,7.37,4.08,0.09,1.13,1.97,2.96,1.31,0.75,0.23,0.0,0.04,0.04,0.07
22,1737,Defender,Liga Portugal,R. Mangas,Sporting,3,250,0,1.0,1,0,0.21,0.2,0.67,2,7,0,3,0,14,47,39,2,4,1,2,0.0,0.0,0.0,0,0.0,0.36,0.36,5.04,16.92,14.04,0.72,1.44,0.36,0.72,0.72,2.52,0.0,1.08,0.0,0.0,0.07,0.07,0.24
23,1738,Defender,Liga Portugal,Weverson,Gil Vicente,28,1796,2,10.0,2,1,0.58,0.58,1.16,39,62,22,25,4,102,667,513,91,62,3,15,0.0,0.05,0.1,3,0.15,0.5,0.1,5.11,33.42,25.71,4.56,3.11,0.15,0.75,1.95,3.11,1.1,1.25,0.2,0.0,0.03,0.03,0.06
24,1739,Defender,Liga Portugal,Maracás,Moreirense,31,2306,1,11.0,5,1,1.45,1.45,0.11,31,152,27,47,2,96,1132,986,134,0,2,2,0.0,0.04,0.04,2,0.08,0.43,0.2,3.75,44.18,38.48,5.23,0.0,0.08,0.08,1.21,5.93,1.05,1.83,0.08,0.0,0.06,0.06,0.0
25,1740,Defender,Liga Portugal,F. Bacher,Estoril Praia,25,1879,0,4.0,2,2,0.34,0.36,0.1,38,138,32,60,1,125,844,710,104,0,0,1,0.0,0.1,0.0,2,0.1,0.19,0.1,5.99,40.43,34.01,4.98,0.0,0.0,0.05,1.82,6.61,1.53,2.87,0.05,0.0,0.02,0.02,0.0
26,1741,Defender,Liga Portugal,J. Fontán,FC Arouca,27,2412,0,6.0,1,1,0.73,0.86,0.15,28,142,26,46,0,87,1633,1441,191,3,0,3,0.0,0.04,0.0,1,0.04,0.22,0.04,3.25,60.93,53.77,7.13,0.11,0.0,0.11,1.04,5.3,0.97,1.72,0.0,0.0,0.03,0.03,0.01
27,1742,Defender,Liga Portugal,T. Araújo,Benfica,30,2230,2,6.0,5,1,0.93,0.98,0.98,69,43,26,50,1,139,1396,1204,140,23,2,11,0.0,0.04,0.08,3,0.12,0.24,0.2,5.61,56.34,48.59,5.65,0.93,0.08,0.44,2.78,1.74,1.05,2.02,0.04,0.0,0.04,0.04,0.04
28,1743,Defender,Liga Portugal,F. Moura,FC Porto,31,2488,10,8.0,5,3,0.4,0.38,3.71,49,41,23,27,0,106,1140,938,67,87,10,42,0.0,0.11,0.36,13,0.47,0.29,0.18,3.83,41.24,33.93,2.42,3.15,0.36,1.52,1.77,1.48,0.83,0.98,0.0,0.0,0.01,0.01,0.13
