,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
20,1498,Defender,LaLiga 2,C. Pomares,Real Zaragoza,38,1676,2,13.0,2,0,50,57,22,30,4,105,749,565,130,70,2,17,0.0,0.0,0.11,2,0.11,0.7,0.11,5.64,40.22,30.34,6.98,3.76,0.11,0.91,2.68,3.06,1.18,1.61,0.21,0.0
21,1499,Defender,LaLiga 2,A. Radovanović,Real Zaragoza,43,1155,0,8.0,2,0,15,81,13,39,2,61,594,511,88,0,0,1,0.0,0.0,0.0,0,0.0,0.62,0.16,4.75,46.29,39.82,6.86,0.0,0.0,0.08,1.17,6.31,1.01,3.04,0.16,0.0
22,1500,Defender,LaLiga 2,A. Landázuri,CD Tenerife,13,846,1,3.0,1,1,8,51,10,16,1,33,461,394,87,2,2,5,0.0,0.11,0.11,2,0.21,0.32,0.11,3.51,49.04,41.91,9.26,0.21,0.21,0.53,0.85,5.43,1.06,1.7,0.11,0.0
23,1501,Defender,LaLiga 2,N. Monte,Almería,36,2955,0,8.0,3,3,33,174,38,60,0,108,1551,1329,262,5,0,9,0.0,0.09,0.0,3,0.09,0.24,0.09,3.29,47.24,40.48,7.98,0.15,0.0,0.27,1.01,5.3,1.16,1.83,0.0,0.0
24,1502,Defender,LaLiga 2,C. Michelin,Real Valladolid,34,2333,1,31.0,9,2,63,62,27,40,5,159,779,631,80,69,1,21,0.0,0.08,0.04,3,0.12,1.2,0.35,6.13,30.05,24.34,3.09,2.66,0.04,0.81,2.43,2.39,1.04,1.54,0.19,0.0
25,1503,Defender,LaLiga 2,J. Amador,Eibar,35,1651,2,13.0,6,2,16,139,27,62,1,87,721,572,121,0,2,3,0.0,0.11,0.11,4,0.22,0.71,0.33,4.74,39.3,31.18,6.6,0.0,0.11,0.16,0.87,7.58,1.47,3.38,0.05,0.0
26,1504,Defender,LaLiga 2,N. Vidal,Real Oviedo,21,1862,0,23.0,9,6,29,80,19,47,8,114,751,590,87,36,1,15,0.0,0.29,0.0,6,0.29,1.11,0.44,5.51,36.3,28.52,4.21,1.74,0.05,0.73,1.4,3.87,0.92,2.27,0.39,0.0
27,1505,Defender,LaLiga 2,N. Šipčić,CD Tenerife,33,1620,0,11.0,3,0,20,93,18,43,2,66,640,517,112,2,0,3,0.0,0.0,0.0,0,0.0,0.61,0.17,3.67,35.56,28.72,6.22,0.11,0.0,0.17,1.11,5.17,1.0,2.39,0.11,0.0
28,1506,Defender,LaLiga 2,I. Sebastián Magana,Huesca,32,2766,0,15.0,3,1,32,129,37,48,2,106,1085,881,202,6,1,6,0.0,0.03,0.0,1,0.03,0.49,0.1,3.45,35.3,28.67,6.57,0.2,0.03,0.2,1.04,4.2,1.2,1.56,0.07,0.0
29,1507,Defender,LaLiga 2,PVP. Vázquez,Sporting Gijón,42,3705,0,19.0,3,2,58,270,37,130,6,209,2580,2220,307,8,0,5,0.0,0.05,0.0,2,0.05,0.46,0.07,5.08,62.67,53.93,7.46,0.19,0.0,0.12,1.41,6.56,0.9,3.16,0.15,0.0
30,1508,Defender,LaLiga 2,O. Luengo,Burgos Club de Fútbol,43,2150,1,13.0,4,2,64,79,23,63,2,154,916,735,144,18,1,7,0.0,0.08,0.04,3,0.13,0.54,0.17,6.45,38.34,30.77,6.03,0.75,0.04,0.29,2.68,3.31,0.96,2.64,0.08,0.0
31,1509,Defender,LaLiga 2,A. Rodríguez,Real Zaragoza,40,1614,0,8.0,3,0,36,96,31,49,2,122,647,482,159,1,1,9,0.0,0.0,0.0,0,0.0,0.45,0.17,6.8,36.08,26.88,8.87,0.06,0.06,0.5,2.01,5.35,1.73,2.73,0.11,0.0
32,1510,Defender,LaLiga 2,Á. Rodríguez,Eibar,32,1327,0,12.0,1,0,21,29,5,19,2,58,498,360,82,51,1,8,0.0,0.0,0.0,0,0.0,0.81,0.07,3.93,33.78,24.42,5.56,3.46,0.07,0.54,1.42,1.97,0.34,1.29,0.14,0.0
33,1511,Defender,LaLiga 2,E. Curbelo,Sporting Gijón,17,586,0,3.0,1,0,21,19,14,9,0,41,315,246,61,2,0,0,0.0,0.0,0.0,0,0.0,0.46,0.15,6.3,48.38,37.78,9.37,0.31,0.0,0.0,3.23,2.92,2.15,1.38,0.0,0.0
34,1512,Defender,LaLiga 2,M. Aguirregabiria,Real Zaragoza,33,2287,1,10.0,2,1,57,90,37,17,3,105,927,700,119,64,2,16,0.0,0.04,0.04,2,0.08,0.39,0.08,4.13,36.48,27.55,4.68,2.52,0.08,0.63,2.24,3.54,1.46,0.67,0.12,0.0
36,1514,Defender,LaLiga 2,G. Sierra,Burgos Club de Fútbol,18,1618,0,5.0,2,0,30,123,17,44,1,89,793,662,144,2,0,1,0.0,0.0,0.0,0,0.0,0.28,0.11,4.95,44.11,36.82,8.01,0.11,0.0,0.06,1.67,6.84,0.95,2.45,0.06,0.0
37,1515,Defender,LaLiga 2,J. Gutiérrez,Mirandés,42,3170,5,18.0,2,0,54,186,40,89,6,161,1246,924,227,50,9,22,0.0,0.0,0.14,5,0.14,0.51,0.06,4.57,35.38,26.23,6.44,1.42,0.26,0.62,1.53,5.28,1.14,2.53,0.17,0.0
38,1516,Defender,LaLiga 2,F. Medrano,Mirandés,35,863,1,4.0,2,0,13,34,18,16,2,39,307,208,35,21,0,7,0.0,0.0,0.1,1,0.1,0.42,0.21,4.07,32.02,21.69,3.65,2.19,0.0,0.73,1.36,3.55,1.88,1.67,0.21,0.0
39,1517,Defender,LaLiga 2,Chumi,Almería,32,2557,0,5.0,2,0,40,108,22,41,1,95,1691,1511,154,1,1,9,0.0,0.0,0.0,0,0.0,0.18,0.07,3.34,59.52,53.18,5.42,0.04,0.04,0.32,1.41,3.8,0.77,1.44,0.04,0.0
40,1518,Defender,LaLiga 2,S. González,Burgos Club de Fútbol,37,3030,1,21.0,5,1,76,123,47,46,5,170,1647,1360,269,7,2,13,0.0,0.03,0.03,2,0.06,0.62,0.15,5.05,48.92,40.4,7.99,0.21,0.06,0.39,2.26,3.65,1.4,1.37,0.15,0.0
41,1519,Defender,LaLiga 2,J. Alonso,Huesca,40,2118,0,8.0,1,0,53,34,10,4,3,91,656,455,99,61,0,18,0.0,0.0,0.0,0,0.0,0.34,0.04,3.87,27.88,19.33,4.21,2.59,0.0,0.76,2.25,1.44,0.42,0.17,0.13,0.0
42,1520,Defender,LaLiga 2,FMF. Montero,Málaga,36,2167,1,12.0,3,1,13,125,30,74,4,110,1180,941,189,3,1,3,0.0,0.04,0.04,2,0.08,0.5,0.12,4.57,49.01,39.08,7.85,0.12,0.04,0.12,0.54,5.19,1.25,3.07,0.17,0.0
43,1521,Defender,LaLiga 2,Á. Pastor,Málaga,39,2330,0,10.0,2,1,41,141,35,68,4,143,1283,1072,203,4,1,6,0.0,0.04,0.0,1,0.04,0.39,0.08,5.52,49.56,41.41,7.84,0.15,0.04,0.23,1.58,5.45,1.35,2.63,0.15,0.0
44,1522,Defender,LaLiga 2,R. Pulido,Leganés,37,1504,0,10.0,3,1,20,131,26,37,3,76,654,569,84,1,0,1,0.0,0.06,0.0,1,0.06,0.6,0.18,4.55,39.14,34.05,5.03,0.06,0.0,0.06,1.2,7.84,1.56,2.21,0.18,0.0
46,1524,Defender,LaLiga 2,Á. Centelles,Almería,44,2606,4,19.0,5,2,38,60,31,18,3,90,1146,922,227,130,10,47,0.0,0.07,0.14,6,0.21,0.66,0.17,3.11,39.58,31.84,7.84,4.49,0.35,1.62,1.31,2.07,1.07,0.62,0.1,0.0
47,1525,Defender,LaLiga 2,D. Sánchez,Málaga,39,1971,3,16.0,6,2,41,50,21,15,1,86,746,622,81,85,2,24,0.0,0.09,0.14,5,0.23,0.73,0.27,3.93,34.06,28.4,3.7,3.88,0.09,1.1,1.87,2.28,0.96,0.68,0.05,0.0
48,1526,Defender,LaLiga 2,Á. Carrillo,Huesca,39,1302,0,4.0,1,1,19,64,18,17,1,46,677,577,111,3,0,2,0.0,0.07,0.0,1,0.07,0.28,0.07,3.18,46.8,39.88,7.67,0.21,0.0,0.14,1.31,4.42,1.24,1.18,0.07,0.0
49,1527,Defender,LaLiga 2,A. Arambarri,Eibar,37,2415,0,7.0,1,0,28,159,26,51,1,85,1436,1247,180,1,0,1,0.0,0.0,0.0,0,0.0,0.26,0.04,3.17,53.52,46.47,6.71,0.04,0.0,0.04,1.04,5.93,0.97,1.9,0.04,0.0
50,1528,Defender,LaLiga 2,E. Clemente,Las Palmas,39,1317,0,9.0,3,1,33,63,28,17,3,67,670,496,131,15,1,10,0.0,0.07,0.0,1,0.07,0.62,0.21,4.58,45.79,33.9,8.95,1.03,0.07,0.68,2.26,4.31,1.91,1.16,0.21,0.0
51,1529,Defender,LaLiga 2,P. García,Sporting Gijón,41,1899,6,11.0,0,0,38,54,28,26,4,71,775,586,129,152,4,32,0.0,0.0,0.28,6,0.28,0.52,0.0,3.36,36.73,27.77,6.11,7.2,0.19,1.52,1.8,2.56,1.33,1.23,0.19,0.0
52,1530,Defender,LaLiga 2,T. Abad,Huesca,41,1773,0,4.0,0,0,31,68,18,23,1,66,830,726,65,51,1,16,0.0,0.0,0.0,0,0.0,0.2,0.0,3.35,42.13,36.85,3.3,2.59,0.05,0.81,1.57,3.45,0.91,1.17,0.05,0.0
53,1531,Defender,LaLiga 2,G. Rosas,Sporting Gijón,39,3058,3,20.0,6,2,115,50,34,14,8,195,1209,985,114,73,7,26,0.0,0.06,0.09,5,0.15,0.59,0.18,5.74,35.58,28.99,3.36,2.15,0.21,0.77,3.38,1.47,1.0,0.41,0.24,0.0
54,1532,Defender,LaLiga 2,S. Cubero,Eibar,42,1996,2,18.0,6,0,38,81,37,55,6,131,759,578,107,78,3,19,0.0,0.0,0.09,2,0.09,0.81,0.27,5.91,34.22,26.06,4.82,3.52,0.14,0.86,1.71,3.65,1.67,2.48,0.27,0.0
55,1533,Defender,LaLiga 2,J. Gabilondo,Málaga,41,1253,3,13.0,0,0,22,34,11,10,6,47,499,391,73,46,1,17,0.0,0.0,0.22,3,0.22,0.93,0.0,3.38,35.84,28.08,5.24,3.3,0.07,1.22,1.58,2.44,0.79,0.72,0.43,0.0
56,1534,Defender,LaLiga 2,D. Chirino,Almería,39,3014,3,17.0,5,0,67,103,32,32,7,148,1620,1372,153,39,5,26,0.0,0.0,0.09,3,0.09,0.51,0.15,4.42,48.37,40.97,4.57,1.16,0.15,0.78,2.0,3.08,0.96,0.96,0.21,0.0
57,1535,Defender,LaLiga 2,D. Rodríguez Ramos,CD Tenerife,39,2351,0,14.0,2,1,61,72,43,31,4,122,908,752,96,36,1,9,0.0,0.04,0.0,1,0.04,0.54,0.08,4.67,34.76,28.79,3.68,1.38,0.04,0.34,2.34,2.76,1.65,1.19,0.15,0.0
