,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
0,0,Defender,2. Bundesliga,E. Valentini,1. FC Nürnberg,14,90,1,1.0,0,0,3,2,0,1,0,9,66,56,12,8,2,4,0.0,0.0,1.0,1,1.0,1.0,0.0,9.0,66.0,56.0,12.0,8.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0
1,1,Defender,2. Bundesliga,S. Jung,Karlsruher SC,31,2712,1,26.0,6,2,38,64,22,13,10,64,1047,813,135,106,3,21,0.0,0.07,0.03,3,0.1,0.86,0.2,2.12,34.75,26.98,4.48,3.52,0.1,0.7,1.26,2.12,0.73,0.43,0.33,0.0
2,2,Defender,2. Bundesliga,M. Zimmermann,Fortuna Düsseldorf,33,2221,2,24.0,10,3,64,62,24,33,6,126,1212,1023,69,58,3,18,0.0,0.12,0.08,5,0.2,0.97,0.41,5.11,49.11,41.45,2.8,2.35,0.12,0.73,2.59,2.51,0.97,1.34,0.24,0.0
3,3,Defender,2. Bundesliga,T. Kalas,FC Schalke 04,27,1319,1,6.0,2,1,16,95,27,62,0,95,699,580,86,9,1,6,0.0,0.07,0.07,2,0.14,0.41,0.14,6.48,47.7,39.58,5.87,0.61,0.07,0.41,1.09,6.48,1.84,4.23,0.0,0.0
4,4,Defender,2. Bundesliga,M. Halstenberg,Hannover 96,28,2492,2,26.0,8,3,42,99,37,42,8,110,1536,1303,222,37,2,15,0.0,0.11,0.07,5,0.18,0.94,0.29,3.97,55.47,47.06,8.02,1.34,0.07,0.54,1.52,3.58,1.34,1.52,0.29,0.0
5,5,Defender,2. Bundesliga,M. Franke,Karlsruher SC,30,2587,0,17.0,5,3,22,162,24,92,2,129,1481,1314,202,3,0,2,0.0,0.1,0.0,3,0.1,0.59,0.17,4.49,51.52,45.71,7.03,0.1,0.0,0.07,0.77,5.64,0.83,3.2,0.07,0.0
6,6,Defender,2. Bundesliga,B. Saller,SSV Jahn Regensburg,5,332,0,2.0,0,0,17,5,5,3,0,22,132,92,42,7,0,1,0.0,0.0,0.0,0,0.0,0.54,0.0,5.96,35.78,24.94,11.39,1.9,0.0,0.27,4.61,1.36,1.36,0.81,0.0,0.0
8,8,Defender,2. Bundesliga,L. Paqarada,1. FC Heidenheim,31,2443,6,33.0,3,0,61,74,28,27,13,127,1511,1206,172,258,15,82,0.0,0.0,0.22,6,0.22,1.22,0.11,4.68,55.67,44.43,6.34,9.5,0.55,3.02,2.25,2.73,1.03,0.99,0.48,0.0
9,9,Defender,2. Bundesliga,M. Heyer,Fortuna Düsseldorf,23,1441,0,3.0,2,1,35,57,14,8,1,68,523,451,29,13,2,5,0.0,0.06,0.0,1,0.06,0.19,0.12,4.25,32.66,28.17,1.81,0.81,0.12,0.31,2.19,3.56,0.87,0.5,0.06,0.0
10,10,Defender,2. Bundesliga,J. de Wijs,Fortuna Düsseldorf,12,103,0,2.0,0,0,1,9,0,4,2,5,52,41,10,0,0,0,0.0,0.0,0.0,0,0.0,1.75,0.0,4.37,45.44,35.83,8.74,0.0,0.0,0.0,0.87,7.86,0.0,3.5,1.75,0.0
11,11,Defender,2. Bundesliga,M. Neubauer,Hannover 96,34,3060,7,27.0,9,3,61,93,28,30,5,112,1506,1198,168,197,10,60,0.0,0.09,0.21,10,0.29,0.79,0.26,3.29,44.29,35.24,4.94,5.79,0.29,1.76,1.79,2.74,0.82,0.88,0.15,0.0
12,12,Defender,2. Bundesliga,E. Iyoha,Fortuna Düsseldorf,22,1415,0,25.0,8,1,24,39,15,12,5,71,609,486,52,42,2,15,0.0,0.06,0.0,1,0.06,1.59,0.51,4.52,38.73,30.91,3.31,2.67,0.13,0.95,1.53,2.48,0.95,0.76,0.32,0.0
13,13,Defender,2. Bundesliga,M. Muheim,Hamburger SV,30,2667,11,24.0,6,1,86,89,31,29,6,173,1794,1510,192,175,15,71,0.0,0.03,0.37,12,0.4,0.81,0.2,5.84,60.54,50.96,6.48,5.91,0.51,2.4,2.9,3.0,1.05,0.98,0.2,0.0
14,14,Defender,2. Bundesliga,R. Ziegele,SSV Jahn Regensburg,31,1444,0,10.0,5,1,18,77,16,33,1,69,487,331,142,14,1,5,0.0,0.06,0.0,1,0.06,0.62,0.31,4.3,30.35,20.63,8.85,0.87,0.06,0.31,1.12,4.8,1.0,2.06,0.06,0.0
15,15,Defender,2. Bundesliga,A. Donkor,FC Schalke 04,34,811,1,12.0,4,0,13,17,15,10,6,40,382,301,27,32,4,11,0.0,0.0,0.11,1,0.11,1.33,0.44,4.44,42.39,33.4,3.0,3.55,0.44,1.22,1.44,1.89,1.66,1.11,0.67,0.0
16,16,Defender,2. Bundesliga,C. Kobald,Karlsruher SC,25,1318,0,6.0,3,2,19,76,11,22,2,55,688,573,114,6,1,4,0.0,0.14,0.0,2,0.14,0.41,0.2,3.76,46.98,39.13,7.78,0.41,0.07,0.27,1.3,5.19,0.75,1.5,0.14,0.0
17,17,Defender,2. Bundesliga,F. Götze,SC Paderborn 07,30,2642,2,13.0,4,3,35,133,22,66,1,142,1759,1584,143,6,3,12,0.0,0.1,0.07,5,0.17,0.44,0.14,4.84,59.92,53.96,4.87,0.2,0.1,0.41,1.19,4.53,0.75,2.25,0.03,0.0
18,18,Defender,2. Bundesliga,T. Christopher Oberdorf,Fortuna Düsseldorf,33,2961,4,19.0,7,2,59,166,42,45,8,121,1984,1666,275,45,4,13,0.0,0.06,0.12,6,0.18,0.58,0.21,3.68,60.3,50.64,8.36,1.37,0.12,0.4,1.79,5.05,1.28,1.37,0.24,0.0
19,19,Defender,2. Bundesliga,A. Vukotić,Darmstadt 98,32,2847,2,35.0,9,3,53,210,31,108,3,204,1767,1483,282,6,5,7,0.0,0.09,0.06,5,0.16,1.11,0.28,6.45,55.86,46.88,8.91,0.19,0.16,0.22,1.68,6.64,0.98,3.41,0.09,0.0
20,20,Defender,2. Bundesliga,R. Schallenberg,FC Schalke 04,31,2630,1,17.0,8,3,62,119,57,70,2,159,1562,1376,161,6,1,13,0.0,0.1,0.03,4,0.14,0.58,0.27,5.44,53.45,47.09,5.51,0.21,0.03,0.44,2.12,4.07,1.95,2.4,0.07,0.0
21,21,Defender,2. Bundesliga,B. Tomiak,Hannover 96,29,2181,2,18.0,9,4,46,84,26,51,2,132,1253,1081,109,15,2,10,0.0,0.17,0.08,6,0.25,0.74,0.37,5.45,51.71,44.61,4.5,0.62,0.08,0.41,1.9,3.47,1.07,2.1,0.08,0.0
22,22,Defender,2. Bundesliga,S. López,Darmstadt 98,31,2425,3,11.0,7,3,44,51,13,10,2,73,1153,967,132,165,6,49,0.0,0.11,0.11,6,0.22,0.41,0.26,2.71,42.79,35.89,4.9,6.12,0.22,1.82,1.63,1.89,0.48,0.37,0.07,0.0
23,23,Defender,2. Bundesliga,P. Pfeiffer,Darmstadt 98,12,276,0,2.0,0,0,2,16,4,13,1,18,270,237,32,2,0,0,0.0,0.0,0.0,0,0.0,0.65,0.0,5.87,88.04,77.28,10.43,0.65,0.0,0.0,0.65,5.22,1.3,4.24,0.33,0.0
24,24,Defender,2. Bundesliga,M. Hoffmeier,SC Paderborn 07,29,1385,0,10.0,2,0,23,46,9,9,6,65,813,699,114,15,0,8,0.0,0.0,0.0,0,0.0,0.65,0.13,4.22,52.83,45.42,7.41,0.97,0.0,0.52,1.49,2.99,0.58,0.58,0.39,0.0
25,25,Defender,2. Bundesliga,V. Lunddal,Fortuna Düsseldorf,26,1331,0,9.0,3,0,13,34,7,14,2,52,553,463,48,35,1,15,0.0,0.0,0.0,0,0.0,0.61,0.2,3.52,37.39,31.31,3.25,2.37,0.07,1.01,0.88,2.3,0.47,0.95,0.14,0.0
26,26,Defender,2. Bundesliga,F. Nürnberger,Darmstadt 98,28,2148,1,32.0,10,1,49,24,27,8,11,97,1151,991,103,99,5,39,0.0,0.04,0.04,2,0.08,1.34,0.42,4.06,48.23,41.52,4.32,4.15,0.21,1.63,2.05,1.01,1.13,0.34,0.46,0.0
27,27,Defender,2. Bundesliga,LPL. Perrin,Hamburger SV,13,325,0,2.0,0,0,13,14,3,3,0,18,191,164,23,1,0,0,0.0,0.0,0.0,0,0.0,0.55,0.0,4.98,52.89,45.42,6.37,0.28,0.0,0.0,3.6,3.88,0.83,0.83,0.0,0.0
28,28,Defender,2. Bundesliga,D. Elfadli,Hamburger SV,31,2653,3,18.0,6,3,44,134,52,52,3,122,1558,1452,76,6,0,15,0.0,0.1,0.1,6,0.2,0.61,0.2,4.14,52.85,49.26,2.58,0.2,0.0,0.51,1.49,4.55,1.76,1.76,0.1,0.0
30,30,Defender,2. Bundesliga,L. Curda,SC Paderborn 07,31,1221,0,15.0,6,1,28,50,19,18,1,65,831,668,137,35,1,6,0.0,0.07,0.0,1,0.07,1.11,0.44,4.79,61.25,49.24,10.1,2.58,0.07,0.44,2.06,3.69,1.4,1.33,0.07,0.0
31,31,Defender,2. Bundesliga,M. Beifus,Karlsruher SC,33,2671,0,12.0,1,0,36,110,48,54,2,109,1634,1450,235,1,0,2,0.0,0.0,0.0,0,0.0,0.4,0.03,3.67,55.06,48.86,7.92,0.03,0.0,0.07,1.21,3.71,1.62,1.82,0.07,0.0
32,32,Defender,2. Bundesliga,D. Herold,Karlsruher SC,33,2044,1,10.0,3,0,54,55,16,34,3,144,800,610,76,157,5,29,0.0,0.0,0.04,1,0.04,0.44,0.13,6.34,35.23,26.86,3.35,6.91,0.22,1.28,2.38,2.42,0.7,1.5,0.13,0.0
33,33,Defender,2. Bundesliga,O. Schönfelder,SSV Jahn Regensburg,5,374,0,1.0,0,0,9,20,1,4,0,35,177,125,19,12,0,5,0.0,0.0,0.0,0,0.0,0.24,0.0,8.42,42.59,30.08,4.57,2.89,0.0,1.2,2.17,4.81,0.24,0.96,0.0,0.0
