Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
N. Brown,Eintracht Frankfurt,688,590,48,6,92,11,1953,40,
J. Belocian,VfL Wolfsburg,36,32,0,0,0,0,68,0,
Arthur,Bayer 04 Leverkusen,327,269,20,1,16,1,765,2,
K. Koulierakis,VfL Wolfsburg,1522,1275,256,2,13,2,2476,10,
E. Baum,Eintracht Frankfurt,68,46,9,0,5,1,180,3,
A. Kabar,Borussia Dortmund,83,76,5,0,1,1,144,3,
F. Jeltsch,VfB Stuttgart,612,565,27,0,3,0,793,2,
JBJ. Bürger,VfL Wolfsburg,0,0,0,0,0,0,0,0,
B. Ogbus,SC Freiburg,4,4,0,0,0,0,17,0,
N. Banks,FC Augsburg,160,151,12,0,2,0,281,0,
JNJ. Norbye,RB Leipzig,0,0,0,0,0,0,0,0,
KKK. Kościerski,VfL Bochum 1848,0,0,0,0,0,0,6,0,
FMF. Meiser,FC Augsburg,0,0,0,0,0,0,0,0,
