Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
C. Lukeba,RB Leipzig,0,0,4.0,1,0,1577,0.4039,0.404,0.541,
D. Deger,FC Augsburg,0,0,,0,0,0,0.0,,0.0,
K. Fischer,VfL Wolfsburg,0,0,6.0,1,1,2306,0.3297,0.328,0.9445,
A. Amenda,Eintracht Frankfurt,0,1,,0,0,121,0.0,,0.3378,
J. Scally,Borussia M'gladbach,0,2,6.0,1,0,2586,0.3834,0.384,1.2897,
E. Chadaille Bitshiabu,RB Leipzig,0,0,5.0,3,0,1130,0.2833,0.283,0.5911,
N. Collins,Eintracht Frankfurt,1,1,5.0,2,1,1489,0.7854,0.787,1.2281,
K. Schmidt,SC Freiburg,0,0,,0,0,0,0.0,,0.0,
L. Ullrich,Borussia M'gladbach,2,3,8.0,2,1,1916,0.8749,0.875,1.8986,
L. Querfeld,1. FC Union Berlin,2,2,16.0,4,2,1750,1.1387,1.138,1.2312,
NKN. König,SpVgg Greuther Fürth,0,0,,0,0,0,0.0,,0.0,
A. Chaves,FC Augsburg,0,0,10.0,2,1,2191,0.8125,0.813,0.3452,
L. Jaquez,VfB Stuttgart,0,0,1.0,0,0,253,0.214,0.214,0.0819,
F. Chiarodia,Borussia M'gladbach,0,1,4.0,1,1,385,0.2957,0.295,0.3513,
M. Rosenfelder,SC Freiburg,0,2,5.0,1,1,1243,0.3927,0.391,0.2124,
J. Makengo,SC Freiburg,0,1,,0,0,753,0.0,,0.4644,
F. Mané,Borussia Dortmund,0,0,,0,0,0,0.0,,0.0,
N. Veratschnig,1. FSV Mainz 05,0,0,7.0,1,0,369,0.2213,0.234,0.316,
T. Oermann,Bayer 04 Leverkusen,2,0,8.0,0,0,2133,0.1558,0.154,0.7181,
K. Nedeljković,RB Leipzig,0,0,4.0,0,0,477,0.5231,0.523,0.6095,
N. Brown,Eintracht Frankfurt,6,11,13.0,5,3,1953,2.1827,2.183,4.6041,
J. Belocian,VfL Wolfsburg,0,0,,0,0,68,0.0,,0.074,
Arthur,Bayer 04 Leverkusen,1,1,1.0,0,0,765,0.0589,0.063,0.9805,
K. Koulierakis,VfL Wolfsburg,2,2,22.0,3,0,2476,0.9554,0.954,0.7829,
E. Baum,Eintracht Frankfurt,0,1,1.0,0,0,180,0.0,,0.0,
A. Kabar,Borussia Dortmund,0,1,,0,0,144,0.0,,0.3524,
F. Jeltsch,VfB Stuttgart,0,0,2.0,0,0,793,0.0511,0.051,0.3413,
JBJ. Bürger,VfL Wolfsburg,0,0,,0,0,0,0.0,,0.0,
B. Ogbus,SC Freiburg,0,0,,0,0,17,0.0,,0.0,
N. Banks,FC Augsburg,0,0,1.0,0,0,281,0.0703,0.07,0.0274,
JNJ. Norbye,RB Leipzig,0,0,,0,0,0,0.0,,0.0,
KKK. Kościerski,VfL Bochum 1848,0,0,,0,0,6,0.0,,0.0,
FMF. Meiser,FC Augsburg,0,0,,0,0,0,0.0,,0.0,
