Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
K. Koulierakis,VfL Wolfsburg,31,0,2476,0.9554,0.7829,
E. Baum,Eintracht Frankfurt,2,0,180,0.0,0.0,
A. Kabar,Borussia Dortmund,17,0,144,0.0,0.3524,
F. Jeltsch,VfB Stuttgart,13,0,793,0.0511,0.3413,
JBJ. Bürger,VfL Wolfsburg,1,0,0,0.0,0.0,
B. Ogbus,SC Freiburg,7,0,17,0.0,0.0,
N. Banks,FC Augsburg,20,0,281,0.0703,0.0274,
JNJ. Norbye,RB Leipzig,5,0,0,0.0,0.0,
KKK. Kościerski,VfL Bochum 1848,1,0,6,0.0,0.0,
FMF. Meiser,FC Augsburg,5,0,0,0.0,0.0,
